business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Water tank cleaning service howrah, kolkata",Housekeeping Services,House cleaning service,House cleaning service,711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 95762 71463,http://facebook.com/watertankcleaninghowarh,5.0,1.0,"Kali Majumdar Rd, Surendranagar, Liluah, Howrah, West Bengal 711201","Surendranagar, Liluah",22.6137803,88.3430806,ChIJ-9jmSnud-DkRCIMHj6v7a4E,https://www.google.com/maps/place/?q=place_id:ChIJ-9jmSnud-DkRCIMHj6v7a4E,part_316,2026-09-20 20:21:21
SWEEPERMAN,Housekeeping Services,Cleaning Services,"Cleaning Services, Garbage collection service, Industrial consultant, Waste management service",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 94338 15849,N/A,4.7,70.0,"156, 1, Maharaja Nand Kumar Rd, Barada Basak Street, Baranagar, Kolkata, Baranagar, West Bengal 700036","Barada Basak Street, Baranagar",22.634454299999998,88.3698826,ChIJJwTDTYqd-DkRXSKRJVtl-2Q,https://www.google.com/maps/place/?q=place_id:ChIJJwTDTYqd-DkRXSKRJVtl-2Q,part_316,2026-09-20 20:21:21
Fresh N Clean Laundry,Housekeeping Services,Laundry service,Laundry service,711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 90077 70317,N/A,4.7,,"273, GT Rd, opposite railway colony, Belur Math, Belur, Liluah, Howrah, West Bengal 711204","Belur Math, Belur, Liluah",22.6220645,88.3491567,ChIJQX57c5Cd-DkR33e9PHXavcs,https://www.google.com/maps/place/?q=place_id:ChIJQX57c5Cd-DkR33e9PHXavcs,part_316,2026-09-20 20:21:22
CLEAN SOURCE,Housekeeping Services,Cleaning Services,"Cleaning Services, Payroll Service Provider, Pest control service, Security guard service",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 84208 19143,http://cleansource.co.in/,4.3,,"83/14, Dum Dum Rd, Kundubagan, Ghughudanga, Dum Dum, Kolkata, West Bengal 700074","Kundubagan, Ghughudanga, Dum Dum",22.619254299999998,88.3955041,ChIJYZNGwfud-DkR0gWDp7kAyvI,https://www.google.com/maps/place/?q=place_id:ChIJYZNGwfud-DkR0gWDp7kAyvI,part_316,2026-09-20 20:21:23
Vaishnabi housekeeping solution,Housekeeping Services,House cleaning service,House cleaning service,711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 98316 08765,N/A,4.9,,"6th floor unit No-613, Diamond Heritage, 16, Strand Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.5758433,88.34746,ChIJcU9QVJt3AjoRtQy4B1EPiIE,https://www.google.com/maps/place/?q=place_id:ChIJcU9QVJt3AjoRtQy4B1EPiIE,part_316,2026-09-20 20:21:23
Best Deep Home Cleaning,Housekeeping Services,House cleaning service,House cleaning service,711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 62907 12178,N/A,4.5,,"Bihari Para Rd, Paschim Chowbaga, Kolkata, West Bengal 700100",Paschim Chowbaga,22.5286665,88.40735219999999,ChIJBY1xkbh1AjoRN0tgwuH-UAs,https://www.google.com/maps/place/?q=place_id:ChIJBY1xkbh1AjoRN0tgwuH-UAs,part_316,2026-09-20 20:21:23
Cleaning O Pest Home Service,Housekeeping Services,House cleaning service,"House cleaning service, Cleaning Services, Gutter cleaning service",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",N/A,https://subhojit-enterprise.grexa.site/,3.7,,"purbapara, Kona, Howrah, West Bengal 711114","purbapara, Kona",22.616322099999998,88.3046075,ChIJuXrvTPiD-DkRws2zoumutCw,https://www.google.com/maps/place/?q=place_id:ChIJuXrvTPiD-DkRws2zoumutCw,part_316,2026-09-20 20:21:23
Maa Tara Facility Service,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Glass shop",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 62900 02676,N/A,4.8,,"Rabindrapally, Kestopur, Kolkata, West Bengal 700101","Rabindrapally, Kestopur",22.5994937,88.4270169,ChIJIevv2JZ1AjoRHFeqbTSKHEU,https://www.google.com/maps/place/?q=place_id:ChIJIevv2JZ1AjoRHFeqbTSKHEU,part_316,2026-09-20 20:21:23
Karishma Housekeeping Service,Housekeeping Services,House cleaning service,"House cleaning service, Beach cleaning service, Boat cleaning service, Carpet cleaning service, Service establishment, Cleaning Services, Pool cleaning service, Upholstery cleaning service",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 88207 42241,http://www.karishmahousekeeping.com/,5.0,,"Karishma Housekeeping Service, 711202, India",711202,24.316266499999998,88.7671495,ChIJp7_UKkab-DkRz0IgqdC17mM,https://www.google.com/maps/place/?q=place_id:ChIJp7_UKkab-DkRz0IgqdC17mM,part_316,2026-09-20 20:21:23
House care online,Housekeeping Services,Cleaning Services,"Cleaning Services, Appliance repair service, Pest control service, Security system installation service",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 78903 33300,https://www.housecareonline.in/,4.6,,"Babuganj Land mark- Maurpankhi Ghat, Jagannath Ghat Ln, Chinsurah, West Bengal 712103",Chinsurah R S,22.8973022,88.40316709999999,ChIJ8cudJKuW-DkRkwr80DwxXK8,https://www.google.com/maps/place/?q=place_id:ChIJ8cudJKuW-DkRkwr80DwxXK8,part_316,2026-09-20 20:21:23
House Care Online,Housekeeping Services,Cleaning Services,"Cleaning Services, Appliance repair service, Pest control service, Security system installation service",711202,West Bengal Circle,South Bengal Region,Howrah Division,"Belur Math SO, Belur Bazar SO",+91 78903 33300,http://www.housecareonline.in/,4.7,,"1/12 A, Nehru Colony, PO, Regent Park, Kolkata, West Bengal 700040","Nehru Colony, PO, Regent Park",22.487928999999998,88.349083,ChIJ3XuQaelwAjoR310OeXrKGuc,https://www.google.com/maps/place/?q=place_id:ChIJ3XuQaelwAjoR310OeXrKGuc,part_316,2026-09-20 20:21:23
