business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dhumketu Engineering Pvt Ltd,Civil Contractor and Builder,Civil engineering company,Civil engineering company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 75043 24923,https://www.dhumketu.in/,4.9,19.0,"5/8 , Nabanaritala 1st, Bye Ln, Baksara, Howrah, West Bengal 711110",Baksara,22.5766068,88.29251119999999,ChIJ-5501dl5AjoRiCFKfnaR0rs,https://www.google.com/maps/place/?q=place_id:ChIJ-5501dl5AjoRiCFKfnaR0rs,part_316,2026-09-20 20:17:16
Future Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 6634 7263,N/A,4.7,3.0,"GJ SH 6, Near Ambuja Cement Factory, Dhulagori, Howrah, Sulati, West Bengal 711302",Dhulagori,22.5739172,88.17797139999999,ChIJ-f___89_AjoRGnrzNyHfM7c,https://www.google.com/maps/place/?q=place_id:ChIJ-f___89_AjoRGnrzNyHfM7c,part_316,2026-09-20 20:17:16
Winstar Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 91635 72558,N/A,4.9,26.0,"206, Mahendra Bhattacharjee Road P.S, near Natun Raster More, Chatterjihat, Howrah, West Bengal 711104","Chatterjihat, Shibpur",22.5838581,88.3079829,ChIJGcOodHd5AjoRoaciO8w5mXY,https://www.google.com/maps/place/?q=place_id:ChIJGcOodHd5AjoRoaciO8w5mXY,part_316,2026-09-20 20:17:16
STEN HUB INDIA PVT. LTD.,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90936 72020,N/A,5.0,1.0,"Amta Ranihati Road, Bhandar Gachha, 1, Amta, Howrah, West Bengal 711401",711111,22.5666443,88.0484817,ChIJvfBpt8KDAjoRsCTnQVxXmxw,https://www.google.com/maps/place/?q=place_id:ChIJvfBpt8KDAjoRsCTnQVxXmxw,part_316,2026-09-20 20:17:16
Pakija Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70031 14823,N/A,4.4,7.0,"H7QH+2C9, Mahiary Jagachha Rd, Jagacha, Howrah, Nibra, West Bengal 711112",Jagacha,22.5875341,88.27859509999999,ChIJ31SGeAl5AjoRPNW1EvJm930,https://www.google.com/maps/place/?q=place_id:ChIJ31SGeAl5AjoRPNW1EvJm930,part_316,2026-09-20 20:17:16
T.S. CONSTRUCTION,Civil Contractor and Builder,Civil engineer,"Civil engineer, Building designer",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98749 88350,N/A,5.0,3.0,"57, Palpara Lane, South Baksara, Baksara, Howrah, West Bengal 711110","South Baksara, Baksara",22.5724801,88.2841194,ChIJP4ZHAcV5AjoR89HJNUeKkBM,https://www.google.com/maps/place/?q=place_id:ChIJP4ZHAcV5AjoR89HJNUeKkBM,part_316,2026-09-20 20:17:16
S.RAJ CONSTRUCTIONS PRIVATE LIMITED,Civil Contractor and Builder,Real estate developer,Real estate developer,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"V.I.P MARKET, NAYABAZ BAZAR, Bankra, Howrah, West Bengal 711112",Bankra,22.590900299999998,88.2797885,ChIJjY-AymF5AjoROjDDeAeL9KY,https://www.google.com/maps/place/?q=place_id:ChIJjY-AymF5AjoROjDDeAeL9KY,part_316,2026-09-20 20:17:16
Singh Construction,Civil Contractor and Builder,General contractor,General contractor,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 74393 65052,N/A,,,"60/A, Baksara Vlg Rd, Baksara, Howrah, West Bengal 711110",Baksara,22.578113,88.2894024,ChIJBwJgiGh5AjoRRigu-lSpEpA,https://www.google.com/maps/place/?q=place_id:ChIJBwJgiGh5AjoRRigu-lSpEpA,part_316,2026-09-20 20:17:16
Detest Marble Works,Civil Contractor and Builder,Log home builder,Log home builder,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90079 60307,N/A,5.0,162.0,"22/7 Kantapukur Lane, 1, Howrah, West Bengal 711101","Kadamtala, Bantra, Ichapur",22.590377699999998,88.3137936,ChIJkazaAxB5AjoRfAVDDBNqqVs,https://www.google.com/maps/place/?q=place_id:ChIJkazaAxB5AjoRfAVDDBNqqVs,part_316,2026-09-20 20:17:16
SKY INDUSTRIAL PARK,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,https://www.gmpride.in/,4.1,32.0,"H48C+8PH, Gabberia, Shuvararah, West Bengal 711302",711111,22.5658125,88.12185939999999,ChIJ2dnLKACBAjoRWGaAxtX_Jac,https://www.google.com/maps/place/?q=place_id:ChIJ2dnLKACBAjoRWGaAxtX_Jac,part_316,2026-09-20 20:17:16
