business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JOYEETA SURGICAL AGENCY,Surgical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Wholesale drugstore",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 62913 81497,N/A,5.0,,"24, BAGUIATI, 3rd Ln, DUMDUM, Kolkata, West Bengal 700028","Satgachi, DUMDUM",22.6166382,88.42143949999999,ChIJm9UfoOif-DkRpxsD81iqDtA,https://www.google.com/maps/place/?q=place_id:ChIJm9UfoOif-DkRpxsD81iqDtA,part_312,2026-09-20 20:56:33
Relief Arthopaedic and Surgical,Surgical Equipment Supplier,Medical supply store,Medical supply store,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 90881 54818,N/A,4.5,,"Naba Ananda Niketan, Mullick Para, Dum Dum Park, Kolkata, West Bengal 700055","Mullick Para, Dum Dum Park",22.6109683,88.4106594,ChIJF1u7yih1AjoRPCezEoEulA0,https://www.google.com/maps/place/?q=place_id:ChIJF1u7yih1AjoRPCezEoEulA0,part_312,2026-09-20 20:56:33
Salusinnovation Private Limited,Surgical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Medical supply store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 93398 50730,https://salusinnovation.com/,5.0,,"101, PK Guha Rd, Green Park, Rajbari, Dum Dum, Kolkata, West Bengal 700028","Green Park, Rajbari, Dum Dum",22.6404599,88.4150573,ChIJkzJ8rB6f-DkR5Vd4BogzyZ4,https://www.google.com/maps/place/?q=place_id:ChIJkzJ8rB6f-DkR5Vd4BogzyZ4,part_312,2026-09-20 20:56:33
EMERGENCY MEDICAL SUPPLIER,Surgical Equipment Supplier,Oxygen equipment supplier,"Oxygen equipment supplier, Home health care service, Medical equipment supplier, Medical supply store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 98740 90418,http://www.emergencymedicalsupplier.com/,5.0,,"BONOLATA APARTMENT, 118, PK Guha Rd, Arabinda Sarani, Rajbari, Dum Dum, Kolkata, West Bengal 700028","Arabinda Sarani, Rajbari, Dum Dum",22.6418806,88.41630099999999,ChIJ8YE2Vi2f-DkRMo11lgTOrgo,https://www.google.com/maps/place/?q=place_id:ChIJ8YE2Vi2f-DkRMo11lgTOrgo,part_312,2026-09-20 20:56:33
Rainbow Surgical Solutions,Surgical Equipment Supplier,Hospital equipment and supplies,Hospital equipment and supplies,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,,"173, Kabi Nabin Sen Rd, Saheb Goli, Kazipara, Dum Dum, Kolkata, West Bengal 700028","Saheb Goli, Kazipara, Dum Dum",22.6225176,88.41684719999999,ChIJkaE1mbWf-DkR39W_uC0MZsI,https://www.google.com/maps/place/?q=place_id:ChIJkaE1mbWf-DkR39W_uC0MZsI,part_312,2026-09-20 20:56:33
Istina MediScience Llp,Surgical Equipment Supplier,Wholesaler,"Wholesaler, Beauty Products Wholesaler, Diabetes equipment supplier, Disposable Items shop, Orthotics & Prosthetics Centre, Surgical Products Wholesaler, Wheelchair rental service, Wheelchair store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 80178 73812,N/A,5.0,,"Bandhan Apartment, 231, Dum Dum Park, Kolkata, West Bengal 700055",Dum Dum Park,22.6096452,88.41515919999999,ChIJLylX5KJ1AjoR5CZ2XTCcvag,https://www.google.com/maps/place/?q=place_id:ChIJLylX5KJ1AjoR5CZ2XTCcvag,part_312,2026-09-20 20:56:33
Paul Relief Care,Surgical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Home goods store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 62904 57649,N/A,5.0,,"Durganagar Station Rd, Durganagar, North Dumdum, Kolkata, North Dumdum, West Bengal 700065","Durganagar, North Dumdum",22.649740299999998,88.4184382,ChIJdVm3rWee-DkRS3nPWbK3Hmc,https://www.google.com/maps/place/?q=place_id:ChIJdVm3rWee-DkRS3nPWbK3Hmc,part_312,2026-09-20 20:56:33
S.R. Orthopedic Appliances,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Medical supply store, Orthopedic shoe store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 93398 32106,N/A,2.8,,"Tulip Nursing Home Building, Rishi Bankim Chandra Rd, Mahendra Colony, Golpark, Dum Dum, North Dumdum, West Bengal 700028","Mahendra Colony, Golpark, Dum Dum",22.631021099999998,88.4187307,ChIJkRWt2hWe-DkRHoOhIUyjbdY,https://www.google.com/maps/place/?q=place_id:ChIJkRWt2hWe-DkRHoOhIUyjbdY,part_312,2026-09-20 20:56:33
Anju surgical,Surgical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,,,"Vivekanand Pally, Durganagar, North Dumdum, Kolkata, North Dumdum, West Bengal 700065","Vivekanand Pally, Durganagar, North Dumdum",22.649286399999998,88.4150633,ChIJabzWK4-f-DkRJEGTxIJCkTs,https://www.google.com/maps/place/?q=place_id:ChIJabzWK4-f-DkRJEGTxIJCkTs,part_312,2026-09-20 20:56:33
Icosano Home Healthcare Private Limited,Surgical Equipment Supplier,Home health care service,"Home health care service, Health consultant, Hospital equipment and supplies, Medical equipment supplier, Nursing agency, Oxygen equipment supplier, Wheelchair store",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 80177 40186,https://www.icosano.com/,4.8,,"3rd Floor Space 3B, N, VIP Park, SHREE SHUBH Apartment, BB 99, Prafulla Kanan, Kolkata, West Bengal 700101","Prafulla Kanan, Kestopur",22.6052957,88.4248614,ChIJrfWumNV1AjoRtOqyRSxNR1Y,https://www.google.com/maps/place/?q=place_id:ChIJrfWumNV1AjoRtOqyRSxNR1Y,part_312,2026-09-20 20:56:34
