business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Das Optical.,Optical Store and Eyewear,Optical Products Manufacturer,"Optical Products Manufacturer, Medical Center",712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 74790 22447,N/A,4.9,35.0,"Shyambazar - Badanganj Rd, Kayapat, Badanganj, West Bengal 712122",712122,22.9020813,87.5348556,ChIJjXn2EsP19zkR5b7YcIBRw7I,https://www.google.com/maps/place/?q=place_id:ChIJjXn2EsP19zkR5b7YcIBRw7I,part_317,2026-09-20 20:17:47
SWASTI OPTICALS,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",N/A,N/A,,,"Hospital Road, Ramjibanpur, West Bengal 721242",712122,22.826352099999998,87.6005595,ChIJQzMihr8d-DkRE4ri1VZN5v8,https://www.google.com/maps/place/?q=place_id:ChIJQzMihr8d-DkRE4ri1VZN5v8,part_317,2026-09-20 20:17:47
মনসামাতা পুষ্পালয় ও দশকমা ভান্ডার,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",N/A,N/A,5.0,1.0,"Badanganj, West Bengal 712122",712122,22.9015062,87.5422286,ChIJ53aB_hwe-DkRelp2VvV2Yik,https://www.google.com/maps/place/?q=place_id:ChIJ53aB_hwe-DkRelp2VvV2Yik,part_317,2026-09-20 20:17:47
DUTTA OPTICS,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 94749 67046,N/A,5.0,1.0,"2H6W+7H9, near High School, Kotulpur, West Bengal 722141",712122,23.0106538,87.59646889999999,ChIJEWwNWL4h-DkRDa89N-zt4BQ,https://www.google.com/maps/place/?q=place_id:ChIJEWwNWL4h-DkRDa89N-zt4BQ,part_317,2026-09-20 20:17:47
মন্ডল ওয়াচ্ অপটিক্যালস,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",N/A,N/A,,,"Srinagar, West Bengal 721242",Srinagar,22.806510199999998,87.5769772,ChIJ5fh2ricd-DkR-LRXevyg3n0,https://www.google.com/maps/place/?q=place_id:ChIJ5fh2ricd-DkR-LRXevyg3n0,part_317,2026-09-20 20:17:47
Raj Opticians,Optical Store and Eyewear,Optical Products Manufacturer,Optical Products Manufacturer,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",N/A,N/A,5.0,1.0,"VHX2+JG8, Shyambazar - Badanganj Rd, Kamarpukur, West Bengal 712122",712122,22.899037699999997,87.5513239,ChIJfWqzsewf-DkRS3HZ5rjFG9w,https://www.google.com/maps/place/?q=place_id:ChIJfWqzsewf-DkRS3HZ5rjFG9w,part_317,2026-09-20 20:17:47
JYOTI OPTICAL,Optical Store and Eyewear,Optician,"Optician, Eye care center",712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 84430 70028,https://jyoti-optical.grexa.site/,5.0,,"Shibpur LBS Marg,PO - bansberia,Near Mill Farry Bansberia,Mogra, West Bengal 712502","Shibpur, Tribeni",22.973356199999998,88.4020683,ChIJKTgfyHSV-DkRONikxNTe8ME,https://www.google.com/maps/place/?q=place_id:ChIJKTgfyHSV-DkRONikxNTe8ME,part_317,2026-09-20 20:17:48
Optic Verse,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 96790 42517,N/A,5.0,22.0,"37, 168, GT Rd, opposite Disha Eye Hospital, Sheoraphuli, West Bengal 712223",Sheoraphuli,22.770417,88.3292761,ChIJEXgBV_eb-DkRAppS-vzO3aw,https://www.google.com/maps/place/?q=place_id:ChIJEXgBV_eb-DkRAppS-vzO3aw,part_317,2026-09-20 20:17:49
S. Optical,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 93396 15599,N/A,5.0,1.0,"76/1, G.T. Road, Baburbazar, Bhadreswar, Chinsurah, West Bengal 712125","Telinipara, Mankundu",22.839297,88.3608423,ChIJWQFdmFeQ-DkRfv84xNP9Bok,https://www.google.com/maps/place/?q=place_id:ChIJWQFdmFeQ-DkRfv84xNP9Bok,part_317,2026-09-20 20:17:49
Dey optical,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",N/A,N/A,3.0,2.0,"Road, Kamarpara More, Shilbagan, Dharampur, Chandannagar, Chinsurah, West Bengal 712105","Kamarpara More, Shilbagan, Dharampur",22.8793966,88.3791172,ChIJLcfQB1qR-DkRwn5xtEos1Rg,https://www.google.com/maps/place/?q=place_id:ChIJLcfQB1qR-DkRwn5xtEos1Rg,part_317,2026-09-20 20:17:49
Vision Optics,Optical Store and Eyewear,Optician,Optician,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 91431 52722,N/A,1.0,1.0,"Akhan Bazar, Chuchura, Hooghly, opp. Dell Showroom, Kolkata, West Bengal 712103",Chinsurah R S,22.903793999999998,88.396754,ChIJw6qqqv6T-DkRkAwhiLszC3M,https://www.google.com/maps/place/?q=place_id:ChIJw6qqqv6T-DkRkAwhiLszC3M,part_317,2026-09-20 20:17:49
Ganko Eye Plus,Optical Store and Eyewear,Eye care center,Eye care center,712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO",+91 85839 19739,N/A,4.4,,"152/1/1, Banerjee Para St, Opp Ganabhaban, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.660739799999998,88.3489934,ChIJZxsmPeKc-DkRMBwjJ62ugns,https://www.google.com/maps/place/?q=place_id:ChIJZxsmPeKc-DkRMBwjJ62ugns,part_317,2026-09-20 20:17:49
