business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NATIONAL AYURVEDIC CENTER,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,"Herbal medicine store, Pharmacy",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 99331 19940,N/A,5.0,,"3RD GATE, RMC MARKET, Kalna - Katwa Rd, Vivekananda Pally, Katwa, Panchghara P, West Bengal 713150",Vivekananda Pally,23.6308525,88.1265229,ChIJnd0owEKn-TkRY1lVrhYjbu4,https://www.google.com/maps/place/?q=place_id:ChIJnd0owEKn-TkRY1lVrhYjbu4,part_317,2026-09-20 20:24:48
Samanta Ayurved,Herbal and Ayurvedic Cosmetic Products,Manufacturer,"Manufacturer, Supplier",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 98316 15914,http://www.samantaayurved.com/,4.6,,"Singur - Nasibpur Rd, Bhandardaha, West Bengal 712223",712146,22.8170525,88.25677139999999,ChIJE0DmmUWP-DkRY9ngMZSA_wU,https://www.google.com/maps/place/?q=place_id:ChIJE0DmmUWP-DkRY9ngMZSA_wU,part_317,2026-09-20 20:24:48
R.B. Ayurvedic Store,Herbal and Ayurvedic Cosmetic Products,Ayurvedic clinic,Ayurvedic clinic,712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",N/A,https://www.facebook.com/rbayurbadicstore/,3.7,,"Vill - Byaspur, p.o -kananadi, p.s -Dhaniakhali, dist -hooghly, West Bengal 712302",712146,22.9466306,88.05765099999999,ChIJOT_X_S1n-DkRNYhh2X9mTV4,https://www.google.com/maps/place/?q=place_id:ChIJOT_X_S1n-DkRNYhh2X9mTV4,part_317,2026-09-20 20:24:48
Herbal Zone,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 6295 105 797,https://newherbalzone.in/,4.9,,"Bara Andulia School Road, More, near Kalitola, Bara Andulia, West Bengal 741124",712146,23.620829399999998,88.52848589999999,ChIJrSz5XcA9-TkRavefMrlrhV0,https://www.google.com/maps/place/?q=place_id:ChIJrSz5XcA9-TkRavefMrlrhV0,part_317,2026-09-20 20:24:48
Ayurvedic harbal products store (wholsell),Herbal and Ayurvedic Cosmetic Products,Manufacturer,"Manufacturer, Ayurvedic clinic, Herbal medicine store, Pharmaceutical Products Wholesaler",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 70019 01814,http://www.ayurvedicproduct.com/,5.0,,"RN Mukherjee Rd, Basirhat, West Bengal 743412",712146,22.661036,88.85798799999999,ChIJH9txuk1V_zkRoaEda2sVNXA,https://www.google.com/maps/place/?q=place_id:ChIJH9txuk1V_zkRoaEda2sVNXA,part_317,2026-09-20 20:24:48
AyurNaturals Co.,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Ayurvedic clinic, Beauty product supplier, Beauty Products Wholesaler, Cosmetics store, Herbal medicine store, Organic drug store, Pharmaceutical Products Wholesaler",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",N/A,https://ayurnaturalsindia.com.free/,,,"Sripally, Barabalidanga, Bardhaman, West Bengal 713103","Sripally, Barabalidanga",23.2232292,87.8550941,ChIJA7eh0wlJ-DkRMK3tTm4EeFw,https://www.google.com/maps/place/?q=place_id:ChIJA7eh0wlJ-DkRMK3tTm4EeFw,part_317,2026-09-20 20:24:48
AQEIL AYURVEDIC & HERBALS STORE,Herbal and Ayurvedic Cosmetic Products,Ayurvedic clinic,Ayurvedic clinic,712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",N/A,N/A,5.0,,"VILL-GANESHBATI PARA-JELEPARA PO- JAGATBALLAVPUR PS, NEAR SITAPUR ROYAL SOCAITY CLUB, DIST, Jangipara, West Bengal 712404",712146,22.736253899999998,88.0583123,ChIJUeXZ-hB7-DkRpnWo3-q8wQ4,https://www.google.com/maps/place/?q=place_id:ChIJUeXZ-hB7-DkRpnWo3-q8wQ4,part_317,2026-09-20 20:24:48
"MAHAKAYA AYURVEDA - TOP AYURVEDIC PRODUCT MANUFACTURER IN WEST BENGAL | NATURAL BEAUTY, SKINCARE & HERBAL HEALTHCARE PRODUCTS",Herbal and Ayurvedic Cosmetic Products,Manufacturer,"Manufacturer, Supplier",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 70442 31309,https://mahakayaayurveda.com/,4.7,,"Rahil house, bus stand, Near mecheda centerl, Mecheda, West Bengal 721137",712146,22.4144345,87.86076369999999,ChIJGSVbM0OXAjoRBBWG5X_Lwy4,https://www.google.com/maps/place/?q=place_id:ChIJGSVbM0OXAjoRBBWG5X_Lwy4,part_317,2026-09-20 20:24:48
NatureNova Herbals Herbal Products Manufacturer | Hair Care | Skin Care | Bath & Body,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Beauty product supplier, Beauty Products Wholesaler, Beauty supply store, Cosmetics industry, Health and beauty shop, Manufacturer",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 90732 11020,https://www.naturenovaherbals.com/,4.2,,"41, Boalia Main Rd, Naskar Para, Boalia, Garia, Rajpur Sonarpur, West Bengal 700084","Naskar Para, Boalia, Garia",22.4603926,88.4072836,ChIJw1x8H99zAjoRN9yrdW4COcM,https://www.google.com/maps/place/?q=place_id:ChIJw1x8H99zAjoRN9yrdW4COcM,part_317,2026-09-20 20:24:48
Manipura Ayurveda Pvt. Ltd.,Herbal and Ayurvedic Cosmetic Products,Aromatherapy supply store,"Aromatherapy supply store, Flavours, Fragrances & Aroma Supplier, Manufacturer, Organic drug store, Organic shop",712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO",+91 90734 77111,http://www.manipuraayurveda.com/,4.8,,"24/4 k Jatin Das Road, Lake Rd, Kolkata, West Bengal 700029","lake Terrace, Ballygunge",22.516517099999998,88.3540948,ChIJrUFdtLZ3AjoRaDeH-ndo93M,https://www.google.com/maps/place/?q=place_id:ChIJrUFdtLZ3AjoRaDeH-ndo93M,part_317,2026-09-20 20:24:48
