business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Beauty of Heaven Spa Chinarpark,Spa,Health spa,"Health spa, Massage spa",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.massageservicekolkata.com/,5.0,,"Rajarhat Main Road, Atghora Bharat petrol pump, Near Chinarpark crossing, Kolkata, West Bengal 700136 Crossing, West Bengal 700136","Chinar Park, Atghara, Tegharia, Rajarhat",22.6241387,88.4413458,ChIJOz0mZKyf-DkRxouW99Z3J_M,https://www.google.com/maps/place/?q=place_id:ChIJOz0mZKyf-DkRxouW99Z3J_M,part_315,2026-09-20 20:24:09
Palm Royal Retreat Spa,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.kolkatabodyspa.com/,4.9,,"Rajarhat Main Rd, Chinar Park, Tegharia, Newtown, Kolkata, West Bengal 700136","Chinar Park, Tegharia, Newtown",22.6237785,88.4411141,ChIJyXCglyGf-DkRGj7fV8L0DXM,https://www.google.com/maps/place/?q=place_id:ChIJyXCglyGf-DkRGj7fV8L0DXM,part_315,2026-09-20 20:24:09
Swiss Thai Spa,Spa,Spa,Spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.jannatspamassagecentre.com/,5.0,,"Chinarpark Crossing, near petrol pump, Atghara, Tegharia, Kaikhali, Kolkata, West Bengal 700136","Atghara, Tegharia, Kaikhali",22.6251395,88.4425413,ChIJFSJ2LcOf-DkRK_Pp2-byTTU,https://www.google.com/maps/place/?q=place_id:ChIJFSJ2LcOf-DkRK_Pp2-byTTU,part_315,2026-09-20 20:24:09
Jannat Massage Spa Chinarpark,Spa,Spa,Spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.jannatspamassagecentre.com/,5.0,,"Gopalpur, near petrol pump, Atghara, bharat Chinarpark, Baguiati, Kolkata, West Bengal 700136","Atghara, bharat Chinarpark, Baguiati",22.6250267,88.4423429,ChIJi-RF-Xqf-DkRCzT1FH6HbHU,https://www.google.com/maps/place/?q=place_id:ChIJi-RF-Xqf-DkRCzT1FH6HbHU,part_315,2026-09-20 20:24:09
GLAXY SPA AND BODY MASSAGE CENTER,Spa,Spa,Spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.royelspakolkata.com/,4.8,,"bharath petrol pump, Chinar Park, Dash Drone, aath ghoda, Rajarhat, Kolkata, West Bengal 700136","Chinar Park, Dash Drone, aath ghoda, Rajarhat",22.6238466,88.4414633,ChIJ_SpXaACh-DkRuRCRDiY4xko,https://www.google.com/maps/place/?q=place_id:ChIJ_SpXaACh-DkRuRCRDiY4xko,part_315,2026-09-20 20:24:09
Manisha Massage Center Kolkata,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.kolkatabodyspa.com/,4.7,,"Chinarpark crossing, Chinar Park, Atghara, Tegharia, Rajarhat, Kolkata, West Bengal 700136","Chinar Park, Atghara, Tegharia, Rajarhat",22.6237668,88.44100499999999,ChIJTZ51Rjif-DkR2IphZbsFPtM,https://www.google.com/maps/place/?q=place_id:ChIJTZ51Rjif-DkR2IphZbsFPtM,part_315,2026-09-20 20:24:09
Kolkata Zooya Spa,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.kolkatabodyspa.com/,4.9,,"Chinar Park, Tegharia, Rajarhat, Kolkata, West Bengal 700136","Chinar Park, Tegharia, Rajarhat",22.6249719,88.43857109999999,ChIJ4USvY4mf-DkR_gaGlkuHVXc,https://www.google.com/maps/place/?q=place_id:ChIJ4USvY4mf-DkR_gaGlkuHVXc,part_315,2026-09-20 20:24:09
Evoria Wellness Spa,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.greenblissspa.in/,5.0,,"New Town Square, Chinar Park, Atghara, Rajarhat, Kolkata, West Bengal 700136","Chinar Park, Atghara, Rajarhat",22.623708099999998,88.4426597,ChIJseDbVwCf-DkRZgj5-pQk4-s,https://www.google.com/maps/place/?q=place_id:ChIJseDbVwCf-DkRZgj5-pQk4-s,part_315,2026-09-20 20:24:09
Heaven Bliss Thai Wellness Lounge,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.jacquelinespa.com/,4.9,,"Chinar Park, Rajarhat Main Rd, Tarafder Para, Tegharia, Kaikhali, Kolkata, West Bengal 700136","Tarafder Para, Tegharia, Kaikhali",22.6325517,88.455574,ChIJPwyTSxOf-DkRZnh8szzbwoI,https://www.google.com/maps/place/?q=place_id:ChIJPwyTSxOf-DkRZnh8szzbwoI,part_315,2026-09-20 20:24:09
Jacqueline Spa Kolkata,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.massagespaparlour.com/,4.7,,"Gopalpurp.s, Atghara P.O. Rajarhat, Baguiati, Kolkata, West Bengal 700136","Dash Drone, Baguiati",22.6250187,88.4434169,ChIJcarcFPqf-DkRDp9TiwUfgzo,https://www.google.com/maps/place/?q=place_id:ChIJcarcFPqf-DkRDp9TiwUfgzo,part_315,2026-09-20 20:24:09
Swati Thai Massage Center Kolkata,Spa,Spa,Spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.jannatspamassagecentre.com/,5.0,,"Gopalpur, near Bharat petrol pump, Atghara, Tegharia, Baguiati, Chinarpark, Kolkata, West Bengal 700136","Chinar Park, Atghara, Tegharia, Baguiati",22.6245273,88.44165029999999,ChIJH_0Zawuf-DkRh1g2jqEyu4Y,https://www.google.com/maps/place/?q=place_id:ChIJH_0Zawuf-DkRh1g2jqEyu4Y,part_315,2026-09-20 20:24:09
Prakriti Royal Spa Retreat,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.kolkatabodyspa.com/,5.0,,"Chinarpark Crossing, near petrol pump, Atghara, Tegharia, Kaikhali, Kolkata, West Bengal 700136","Atghara, Tegharia, Kaikhali",22.625141199999998,88.44248929999999,ChIJp3S0t3qf-DkRsc6PH3yaJmg,https://www.google.com/maps/place/?q=place_id:ChIJp3S0t3qf-DkRsc6PH3yaJmg,part_315,2026-09-20 20:24:09
Spa Parlour ChinarPark,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.spaparlour.com/,4.7,,"Gazipara, near Petrol Pump, Atghara, Rajarhat, Kolkata, West Bengal 700136","Atghara, Rajarhat",22.6250187,88.4434169,ChIJEQ_pcTaf-DkR3tzpxHWKjog,https://www.google.com/maps/place/?q=place_id:ChIJEQ_pcTaf-DkR3tzpxHWKjog,part_315,2026-09-20 20:24:09
Aradhya Retreat Spa & massage Center,Spa,Spa,Spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.jannatspamassagecentre.com/,5.0,,"Rajarhat Main Road, Atghara Ground Floor , P.S Baguihati P.O Rajarhat, beside HP Petrol Pump, Gopalpur, Kolkata, West Bengal 700136","Atghara, Gopalpur",22.6251404,88.4423175,ChIJVRiE9aaf-DkRv2bO8bvOXcg,https://www.google.com/maps/place/?q=place_id:ChIJVRiE9aaf-DkRv2bO8bvOXcg,part_315,2026-09-20 20:24:09
Comfort Thai Spa,Spa,Spa,"Spa, Massage spa, Spa and health club",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.thecomfortspa.in/,4.6,,"1st Floor, Pinnacle Tower, Chinar Park, Atghara, Noapara, Kolkata, West Bengal 700136","Chinar Park, Atghara, Noapara",22.6233666,88.4419899,ChIJ_8sdDquf-DkRgT-_ebAJtac,https://www.google.com/maps/place/?q=place_id:ChIJ_8sdDquf-DkRgT-_ebAJtac,part_315,2026-09-20 20:24:09
Fancy Spa - Best Spa in Chinar Park,Spa,Spa,"Spa, Massage spa",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 62978 24513,https://fancyspa.in/,4.8,,"4th Floor, Eden Enclave, 12, Biswa Bangla Sarani, Chinar Park, Tegharia, Rajarhat, Kolkata, West Bengal 700157","Chinar Park, Tegharia, Rajarhat",22.6240635,88.43983399999999,ChIJV3azYgSf-DkR95z679jQ9Jo,https://www.google.com/maps/place/?q=place_id:ChIJV3azYgSf-DkR95z679jQ9Jo,part_315,2026-09-20 20:24:10
Moonlight Massage Spa Near,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,https://www.massagekolkata.com/,5.0,,"cross, near Atghara petrol pump, Chinar Park, Tegharia, Rajarhat, Kolkata West Bengal 700052 Cinarpark, West Bengal 700052","Chinar Park, Tegharia, Rajarhat",22.625125999999998,88.4389758,ChIJLVXOH7if-DkRS2hQ6B1Q_eM,https://www.google.com/maps/place/?q=place_id:ChIJLVXOH7if-DkRS2hQ6B1Q_eM,part_315,2026-09-20 20:24:10
GOLDEN SPA CENTRE IN KOLKATA SALT LAKE CHINAR PARK KALIKAPUR,Spa,Massage spa,Massage spa,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,http://www.jacquelinespa.com/,4.8,,"JCFQ+XCP 1Chinar Park, Chinar Park, Atghara, Tegharia, Rajarhat, CrossingKolkata, West Bengal 700052","Chinar Park, Atghara, Tegharia, Rajarhat",22.6249625,88.4385781,ChIJ1_XeIACf-DkRh59M9vssdQo,https://www.google.com/maps/place/?q=place_id:ChIJ1_XeIACf-DkRh59M9vssdQo,part_315,2026-09-20 20:24:10
