business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
H575+GRJ fish market,Fish Market,Building,Building,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",N/A,N/A,,,"H575+GRJ, Paniara, Ranihati, Howrah, Nabghara, West Bengal 711331","Paniara, Ranihati",22.563862999999998,88.15948929999999,ChIJPZwiPX2AAjoRHTX0r_E07cw,https://www.google.com/maps/place/?q=place_id:ChIJPZwiPX2AAjoRHTX0r_E07cw,part_316,2026-09-20 20:26:35
Dipak Fish Shop,Fish Market,Market,Market,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",+91 98368 42517,N/A,5.0,2.0,"Duillya, Mouri, Mill Bazar, Duillya, Patrapara, Howrah, West Bengal 711302","Mill Bazar, Andul Mauri, Duillya",22.582898699999998,88.2486768,ChIJ_wqJzN95AjoRioI73hXwTwI,https://www.google.com/maps/place/?q=place_id:ChIJ_wqJzN95AjoRioI73hXwTwI,part_316,2026-09-20 20:26:35
Kayal Fish Centre,Fish Market,General store,General store,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",+91 93303 37326,N/A,5.0,2.0,"fish market, 01,Kayal Fish Cente, Ranihati, Howrah, West Bengal 711322","Paniara, Ranihati",22.5632536,88.15948159999999,ChIJNTslfEmBAjoRt39ki8RVkgg,https://www.google.com/maps/place/?q=place_id:ChIJNTslfEmBAjoRt39ki8RVkgg,part_316,2026-09-20 20:26:35
New Tinku Fish Shop,Fish Market,Wholesaler,Wholesaler,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",+91 72785 47595,N/A,,,"Mill Bazar Mourigram, Main Rd, Andul, Howrah, West Bengal 711302","Kamrangu, Andul",22.5844153,88.248194,ChIJL9kL-aB5AjoRkZ21x7Jl4Q8,https://www.google.com/maps/place/?q=place_id:ChIJL9kL-aB5AjoRkZ21x7Jl4Q8,part_316,2026-09-20 20:26:35
রানিহাটি মাছ বাজার,Fish Market,Market,Market,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",N/A,N/A,4.3,4.0,"H575+PQ7, Mumbai - Kolkata Hwy, Paniara, Dhulagori, Nabghara, Howrah, West Bengal 711331","Paniara, Dhulagori",22.564298599999997,88.1594367,ChIJZ7abrRCBAjoRTVcO6bEb3P0,https://www.google.com/maps/place/?q=place_id:ChIJZ7abrRCBAjoRTVcO6bEb3P0,part_316,2026-09-20 20:26:35
Joynagar Bazar,Fish Market,Market,Market,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",N/A,N/A,4.0,325.0,"Joynagar Village, Dhulagori, Howrah, West Bengal 711331","Joynagar Village, Dhulagori",22.571577299999998,88.1629641,ChIJ7cjQJXqAAjoRS2sZ5aSzhb0,https://www.google.com/maps/place/?q=place_id:ChIJ7cjQJXqAAjoRS2sZ5aSzhb0,part_316,2026-09-20 20:26:35
Colour Fish World,Fish Market,Tropical fish store,Tropical fish store,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",N/A,N/A,,,"Azad hind clab, Sankrail Industrial Park, Poly Park, Dhulagori, Howrah, Jala Dhulagiri, West Bengal 711302","Sankrail Industrial Park, Poly Park, Dhulagori",22.565172999999998,88.1904244,ChIJgw7jNW9_AjoRpIvhO_dCY24,https://www.google.com/maps/place/?q=place_id:ChIJgw7jNW9_AjoRpIvhO_dCY24,part_316,2026-09-20 20:26:35
Freedom fighter fish,Fish Market,Fishery,Fishery,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",+91 77977 77869,https://youtube.com/c/FreedomFighterFish,4.5,61.0,"Modhopara, Panchla, West Bengal 711322",Modhopara,22.533822,88.1370958,ChIJ8XuClJ2BAjoRECluYZnWmCQ,https://www.google.com/maps/place/?q=place_id:ChIJ8XuClJ2BAjoRECluYZnWmCQ,part_316,2026-09-20 20:26:35
Haji bari kabir fish shop,Fish Market,Store,Store,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",N/A,N/A,5.0,2.0,"H76F+XHG, Podara, Mourigram, Howrah, West Bengal 711109","Podara, Mourigram",22.562437499999998,88.2739531,ChIJV1MWaQB5AjoRk7rkPU-4kSE,https://www.google.com/maps/place/?q=place_id:ChIJV1MWaQB5AjoRk7rkPU-4kSE,part_316,2026-09-20 20:26:35
"Nizbalia Bazar,Howrah",Fish Market,Market,Market,711302,West Bengal Circle,South Bengal Region,Howrah Division,"Andul mouri SO, Argori BO, Dhulagori BO",+91 97326 38853,N/A,4.0,62.0,"near Singhabahini temple, Beler Bazar, Nijbalia, West Bengal 711404",Beler Bazar,22.640063899999998,88.1143709,ChIJWRqpuRZ_-DkRSteT2ilQD0M,https://www.google.com/maps/place/?q=place_id:ChIJWRqpuRZ_-DkRSteT2ilQD0M,part_316,2026-09-20 20:26:35
