business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Urbania The Premium Pg or hostel accommodation for boys in Baranagar Kolkata,Hostels,Youth Hostel,"Youth Hostel, Boys' hostel, Backpacker Hostel",700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",+91 98365 44660,N/A,4.9,,"1/1A, AK Mukherjee Rd, Sadhan Pally, Baranagar, Kolkata, Baranagar, West Bengal 700090","Sadhan Pally, Baranagar",22.6381126,88.38068439999999,ChIJX3UGXyCd-DkRLds-GRk9nQI,https://www.google.com/maps/place/?q=place_id:ChIJX3UGXyCd-DkRLds-GRk9nQI,part_313,2026-09-20 20:20:47
Mousumi Villa ( Mess/PG/Hostel),Hostels,Villa,Villa,700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",N/A,N/A,4.8,,"5/5, Barrackpore Trunk Rd, Santhi Nagra Colony, Belghoria, Kolkata, West Bengal 700056","Santhi Nagra Colony, Belghoria",22.6583357,88.3762007,ChIJq04N-wWd-DkRiFUyb6YK6JM,https://www.google.com/maps/place/?q=place_id:ChIJq04N-wWd-DkRiFUyb6YK6JM,part_313,2026-09-20 20:20:47
Halder Mess,Hostels,Student dormitory,"Student dormitory, Boys' hostel, Youth Hostel",700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",+91 97488 34114,N/A,5.0,,"160 ramkrishna polly ariadah, MM Feeder Rd, near adamass and rice school, Ariadaha, Kolkata, West Bengal 700057","Nowdapara, SP Paul Pally, Ariadaha",22.6651302,88.3721942,ChIJ25kH1JSd-DkRF_HEtVWiBPI,https://www.google.com/maps/place/?q=place_id:ChIJ25kH1JSd-DkRF_HEtVWiBPI,part_313,2026-09-20 20:20:47
RS Hostel,Hostels,Student housing center,"Student housing center, Student dormitory",700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",N/A,N/A,4.1,,"CV Raman Hall, 205, Baranagar, West Bengal 700108","Joyshree, Baranagar",22.6446287,88.3770128,ChIJp0c6rb6d-DkR2oRy5H2uONA,https://www.google.com/maps/place/?q=place_id:ChIJp0c6rb6d-DkR2oRy5H2uONA,part_313,2026-09-20 20:20:47
Shreyas Hostel (Girls & Boys),Hostels,Student dormitory,Student dormitory,700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",+91 96748 02881,N/A,5.0,,"5c B.T road, Mitra Bagan Rd, near Rice institution, Santhi Nagra Colony, Dakshineswar, Kolkata, West Bengal 700056","Santhi Nagra Colony, Dakshineswar",22.660061799999998,88.37444939999999,ChIJM4D8l6Wd-DkR_Wn20_V2zLo,https://www.google.com/maps/place/?q=place_id:ChIJM4D8l6Wd-DkR_Wn20_V2zLo,part_313,2026-09-20 20:20:47
NOSTALGIA MESS,Hostels,Boys' hostel,Boys' hostel,700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",N/A,N/A,4.3,,"J9WF+P3M, Shreenath Chakrabarti Ln, U B Colony, Baranagar, West Bengal 700035","U B Colony, Baranagar",22.646831,88.37266249999999,ChIJd6hUrLqd-DkReawLtY0wIEk,https://www.google.com/maps/place/?q=place_id:ChIJd6hUrLqd-DkReawLtY0wIEk,part_313,2026-09-20 20:20:47
Mess,Hostels,Backpacker Hostel,Backpacker Hostel,700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",N/A,N/A,4.0,,"44, 1, Bachaspati Para Rd, Dakshineswar, Kolkata, West Bengal 700076",Dakshineswar,22.6594223,88.3604809,ChIJhUlQuvCd-DkRpwXPqN1PtdM,https://www.google.com/maps/place/?q=place_id:ChIJhUlQuvCd-DkRpwXPqN1PtdM,part_313,2026-09-20 20:20:47
9-6 Mess,Hostels,Boys' hostel,Boys' hostel,700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",+91 86172 75751,N/A,4.8,12.0,"7, 8, Shreenath Chakrabarti Ln, Bonhoogly, Baranagar, West Bengal 700035","Bonhoogly, Baranagar",22.6469709,88.3725939,ChIJBXr_KlKd-DkRZIwU6OVsXa8,https://www.google.com/maps/place/?q=place_id:ChIJBXr_KlKd-DkRZIwU6OVsXa8,part_313,2026-09-20 20:20:48
Malati Bhavan | Student Mess | Dormitory | Guest House,Hostels,Guest house,"Guest house, Bank, Boys' hostel, Storage facility, Student dormitory, Youth Hostel",700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",+91 98742 61181,N/A,3.5,12.0,"42/4, Ganga Kanta Bhaduri Street, Barendrapara, Belur, Bally, Howrah, West Bengal 711201","Barendrapara, Belur, Bally",22.6390519,88.353488,ChIJa8b3iA2d-DkRSytJfX4ws9M,https://www.google.com/maps/place/?q=place_id:ChIJa8b3iA2d-DkRSytJfX4ws9M,part_313,2026-09-20 20:20:48
Adyapeath Hostel Delivery Point,Hostels,Lodge,"Lodge, Lodging",700035,West Bengal Circle,Kolkata Region,Kolkata North Division,"Alambazar SO, Deshbandhu Road SO",N/A,N/A,3.6,5.0,"Dakshineswar, Kolkata, West Bengal 700076",Dakshineswar,22.6621444,88.36438559999999,ChIJn7RLQJ-d-DkR9sRzRBQ0K8I,https://www.google.com/maps/place/?q=place_id:ChIJn7RLQJ-d-DkR9sRzRBQ0K8I,part_313,2026-09-20 20:20:48
