business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BALAJI MARBLE AND TILES,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",N/A,N/A,3.4,12.0,"Lakshmi Narayan Banerjee Ln, Anjir Bagan, Bardhaman, West Bengal 713102",Anjir Bagan,23.234934,87.8470993,ChIJqT-H1GA3-DkRXADWvMO8428,https://www.google.com/maps/place/?q=place_id:ChIJqT-H1GA3-DkRXADWvMO8428,part_318,2026-09-20 20:40:23
Jaipur Marble House,Granite Dealer,Marble supplier,"Marble supplier, Tile store",713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 96091 82641,https://www.facebook.com/jaipurmarblehouseburdwan,4.8,178.0,"Ichlabad, Alisha, Bardhaman, West Bengal 713103",Ichlabad,23.2204586,87.8901365,ChIJTbtxEVRI-DkR6935Pmy_0qs,https://www.google.com/maps/place/?q=place_id:ChIJTbtxEVRI-DkR6935Pmy_0qs,part_318,2026-09-20 20:40:23
MAA DURGA MARBLES - Bardhaman | Best Marble Shop In Bardhaman,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 91269 51295,https://maadurgamarbles.com/,4.9,11.0,"Bus Stand, NH-2, beside Alisha HP Petrol Pump, Alisha, Bardhaman, West Bengal 713103",713101,23.2165103,87.8869337,ChIJ06u1TjZJ-DkRHRldWv6drp0,https://www.google.com/maps/place/?q=place_id:ChIJ06u1TjZJ-DkRHRldWv6drp0,part_318,2026-09-20 20:40:23
Green Valley Marble,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",N/A,N/A,4.9,7.0,"West, Bahir Sarbamangala Para Rd, Nazrul Pally, Bardhaman, West Bengal 713104",Nazrul Pally,23.2531502,87.85759879999999,ChIJERgDv7lJ-DkRQMhaHSN3si8,https://www.google.com/maps/place/?q=place_id:ChIJERgDv7lJ-DkRQMhaHSN3si8,part_318,2026-09-20 20:40:23
Hindustan Marble,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",N/A,N/A,3.9,8.0,"7R5V+VJF, Goda, Bardhaman, West Bengal 713104",Goda,23.2596995,87.84404409999999,ChIJjQ80TQ03-DkRghwpf5ogNWk,https://www.google.com/maps/place/?q=place_id:ChIJjQ80TQ03-DkRghwpf5ogNWk,part_318,2026-09-20 20:40:23
ANNAPURNA MARBLE,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 97352 07555,N/A,4.8,4.0,"opposite Near Satimaa Cold Storage, Bypass, Sukanta Pally, Becharhat P, West Bengal 713103","Sukanta Pally, Police LIne Bazar",23.214762699999998,87.8766634,ChIJSfpAqd5J-DkR65enqEMJH0U,https://www.google.com/maps/place/?q=place_id:ChIJSfpAqd5J-DkR65enqEMJH0U,part_318,2026-09-20 20:40:23
Biswas Marble,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 75849 10182,N/A,4.5,2.0,"Memari, West Bengal 713146",713101,23.1900107,88.0927853,ChIJPSOYT9xX-DkRxj2QTWghcMY,https://www.google.com/maps/place/?q=place_id:ChIJPSOYT9xX-DkRxj2QTWghcMY,part_318,2026-09-20 20:40:23
Shiv Shakti Traders,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 76996 96691,N/A,2.0,2.0,"Mayur Mahal, Raiganj, Bardhaman, West Bengal 713101",Raiganj,23.2358624,87.8537668,ChIJV4J5dQ5J-DkRwrBiYsQGvKo,https://www.google.com/maps/place/?q=place_id:ChIJV4J5dQ5J-DkRwrBiYsQGvKo,part_318,2026-09-20 20:40:23
Royal Marble,Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 97321 48340,N/A,4.9,,"536P+VJF, Memari, West Bengal 713151",713101,23.1624014,88.086657,ChIJkbxZKPhb-DkRD3X6hRDUJrU,https://www.google.com/maps/place/?q=place_id:ChIJkbxZKPhb-DkRD3X6hRDUJrU,part_318,2026-09-20 20:40:23
"SRIJIT TILES (Marble,Granite and Tiles)",Granite Dealer,Marble supplier,Marble supplier,713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO",+91 86970 58053,N/A,4.7,,"Monteswar Thana Rd, Kusumgram, West Bengal 713422",713101,23.3998199,88.1243947,ChIJ_RuvptCr-TkRKrLdcXg6_UI,https://www.google.com/maps/place/?q=place_id:ChIJ_RuvptCr-TkRKrLdcXg6_UI,part_318,2026-09-20 20:40:23
