business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adinath Medical & Provision Store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,N/A,N/A,3.8,,"Plot 2, Shop no, 56/40, Rajat Path, Ward Number 43, Rajat Path, Mansarovar Sector 5, Mansarovar, Jaipur, Rajasthan 302020","Ward Number 43, Rajat Path, Mansarovar Sector 5, Mansarovar",26.8648101,75.75881919999999,ChIJsc4P6wC1bTkRiD_EUzw__os,https://www.google.com/maps/place/?q=place_id:ChIJsc4P6wC1bTkRiD_EUzw__os,part_316,2026-09-20 20:28:34
Prashanthi Ayurvedic Centre,Ayurvedic Pharmacy and Clinic,Alternative Medicine Clinic,Alternative Medicine Clinic,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 80 2293 6523,http://www.kajeayurveda.in/,4.7,,"# 396, Kothnur Main Rd, opp. Govt. Primary School, Ramaiah Garden, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Ramaiah Garden, JP Nagar 7th Phase, J. P. Nagar",12.888606099999999,77.582078,ChIJXzinS0AVrjsRtthO7O90wS4,https://www.google.com/maps/place/?q=place_id:ChIJXzinS0AVrjsRtthO7O90wS4,part_316,2026-09-20 20:28:34
Patanjali Arogya Kendra,Ayurvedic Pharmacy and Clinic,Department store,"Department store, Health food store, Herbal medicine store, Outlet mall",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 99030 67543,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-puja-agarwal-grocery-stores-hindmotor-uttarpara-hooghly-256224/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Eliza 11 Complex, No 5 & 6, 77, BBD Rd, near HDFC and SBI ATM, Hindmotor, Uttarpara, West Bengal 712233","Deshbandhu Nagar, Hindmotor",22.684406,88.346541,ChIJ2XLwIXed-DkR8sCsxZRECoc,https://www.google.com/maps/place/?q=place_id:ChIJ2XLwIXed-DkR8sCsxZRECoc,part_316,2026-09-20 20:28:34
OjasVeda,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,N/A,N/A,,,"Mihir bhoj murti, Road, near Balawali, Laksar, Uttarakhand 247663",711305,29.7462579,78.0198076,ChIJP6iOGDtRCTkRrUu3oedTRU8,https://www.google.com/maps/place/?q=place_id:ChIJP6iOGDtRCTkRrUu3oedTRU8,part_316,2026-09-20 20:28:34
Pranavam Ayurvedic Treatment Centre,Ayurvedic Pharmacy and Clinic,Doctor,"Doctor, Ayurvedic clinic",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 93419 53910,https://book-appointment.healthplix.com/dr-p-saritha-nair-panchkarma-kalyannagar-bangalore,5.0,,"423, 4th C Main Rd, HBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","HBR Layout 2nd Block, HRBR Layout, Kalyan Nagar",13.024515899999999,77.6378318,ChIJC0z29ZEXrjsRgswO6KuwLOU,https://www.google.com/maps/place/?q=place_id:ChIJC0z29ZEXrjsRgswO6KuwLOU,part_316,2026-09-20 20:28:34
Andariki Ayurvedam,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 40 4240 8568,https://www.andarikiayurvedamonline.in/,4.2,,"Chanda Nayak Thanda, Plot no 67, road, Survey Of India Ayyappa Society, Parvath Nagar, Siddhi Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081","Survey Of India Ayyappa Society, Parvath Nagar, Siddhi Vinayak Nagar, Madhapur",17.454867999999998,78.3958964,ChIJ8e7bL2eRyzsRFMBghC3m-1I,https://www.google.com/maps/place/?q=place_id:ChIJ8e7bL2eRyzsRFMBghC3m-1I,part_316,2026-09-20 20:28:34
K P Medical,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 98279 12012,N/A,4.8,,"6JRJ+836, Tatyapara, Mominpara, Raipur, Chhattisgarh 492001","Tatyapara, Mominpara",21.2407798,81.6301541,ChIJwbniYr7dKDoRY_EcyeIYgkc,https://www.google.com/maps/place/?q=place_id:ChIJwbniYr7dKDoRY_EcyeIYgkc,part_316,2026-09-20 20:28:34
Krishna Gopal Ayurvedic Stores,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,"Alternative medicine practitioner, Ayurvedic clinic, Drug store, Medical supply store",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 88781 11177,N/A,5.0,,"Chowk, Lakhenagar Rd, Amapara, Raipur, Chhattisgarh 492001",Amapara,21.2393128,81.6251075,ChIJMyKcfb_dKDoRw9kDQlVl5r8,https://www.google.com/maps/place/?q=place_id:ChIJMyKcfb_dKDoRw9kDQlVl5r8,part_316,2026-09-20 20:28:34
Ayurvedic Medicine Herbal India,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 82736 26062,N/A,5.0,1.0,"Ayurvedic Medicine Herbal India, Simbhaoli, Uttar Pradesh 245207",711305,28.755930199999998,77.9887076,ChIJTcaUr9F9CzkR4w1A1-R8zoM,https://www.google.com/maps/place/?q=place_id:ChIJTcaUr9F9CzkR4w1A1-R8zoM,part_316,2026-09-20 20:28:34
Surjit Ayurvedic Healthcare Clinic,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Nephrologist",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,N/A,https://surjitayurvedic.com/,4.8,19.0,"Plot no. 56, Vill. Nasirewal , post office, Sherpur Dona, Punjab 144626",711305,31.2081089,75.2674597,ChIJYbeNauA_GjkRI_hhzBlBFx4,https://www.google.com/maps/place/?q=place_id:ChIJYbeNauA_GjkRI_hhzBlBFx4,part_316,2026-09-20 20:28:34
