business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AMAN SAREE,Saree Showroom,Saree Shop,Saree Shop,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",N/A,N/A,5.0,38.0,"Kalbazar Millbazar, near Sastri Club, Bansberia, West Bengal 712502","Benimadhabtala, Tribeni",22.9830373,88.39759169999999,ChIJHwCQUCOT-DkR4f1arPxzToA,https://www.google.com/maps/place/?q=place_id:ChIJHwCQUCOT-DkR4f1arPxzToA,part_318,2026-09-20 20:25:30
Gobinda saree palish center,Saree Showroom,Store,Store,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 90883 31324,N/A,5.0,1.0,"712121, Chhoto Khejuria Rd, Adisaptagram, Chhota Khejuria, West Bengal 712121",Adisaptagram,22.9474362,88.3796229,ChIJYapk43qT-DkRn8XIjQSOQo0,https://www.google.com/maps/place/?q=place_id:ChIJYapk43qT-DkRn8XIjQSOQo0,part_318,2026-09-20 20:25:30
Rupanjali Bastralaya,Saree Showroom,Shopping mall,Shopping mall,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 70442 53966,N/A,3.0,2.0,"XC22+8WR, Bansberia, Mithapukur More, West Bengal 712502",Bansberia,22.9508518,88.4022676,ChIJm0Ya8IGU-DkRQmAcJIaJ54U,https://www.google.com/maps/place/?q=place_id:ChIJm0Ya8IGU-DkRQmAcJIaJ54U,part_318,2026-09-20 20:25:30
Paridhan,Saree Showroom,Women's clothing store,Women's clothing store,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 79802 98171,N/A,4.6,9.0,"20 RAM BALLAVE NANDAN ROAD, Bansberia, West Bengal 712502",Bansberia,22.958710699999997,88.4051415,ChIJ8Z0NNRWV-DkRtpdxsBhZ1Wk,https://www.google.com/maps/place/?q=place_id:ChIJ8Z0NNRWV-DkRtpdxsBhZ1Wk,part_318,2026-09-20 20:25:30
Basanti collection,Saree Showroom,Clothing store,Clothing store,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",N/A,N/A,5.0,3.0,"WCW2+R52, Khamarpara Bakul Tala, Bansberia, West Bengal 712502","Khamarpara Bakul Tala, Bansberia",22.9470113,88.4003915,ChIJAypaSACT-DkR3N5mYwu9SuE,https://www.google.com/maps/place/?q=place_id:ChIJAypaSACT-DkR3N5mYwu9SuE,part_318,2026-09-20 20:25:30
Shanti Bastralaya,Saree Showroom,Clothing store,Clothing store,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",N/A,N/A,5.0,1.0,"181, Tribeni Ghat Rd, Benimadhabtala, Tribeni, Kolkata, West Bengal 712503","Benimadhabtala, Tribeni",22.984155299999998,88.39868899999999,ChIJ9ViXLACT-DkR4v1c6OwIwt4,https://www.google.com/maps/place/?q=place_id:ChIJ9ViXLACT-DkR4v1c6OwIwt4,part_318,2026-09-20 20:25:30
Sandhya Sharee,Saree Showroom,Saree Shop,Saree Shop,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 80177 69101,N/A,,,"Na, Baikunthapur, Tribeni, West Bengal 712503","Baikunthapur, Tribeni",22.9893237,88.39271269999999,ChIJ8e0dx-ST-DkRGIPGi9JRCm8,https://www.google.com/maps/place/?q=place_id:ChIJ8e0dx-ST-DkRGIPGi9JRCm8,part_318,2026-09-20 20:25:30
Shreemoyee Textiles,Saree Showroom,Clothing store,Clothing store,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 62913 72904,N/A,5.0,33.0,"Kuntighat - Magra Rd, Boropukur Area, Mogra, Hansghara, West Bengal 712148","Boropukur Area, Mogra",22.989070299999998,88.3732697,ChIJmZqZQS6T-DkRM9OPTwEWifM,https://www.google.com/maps/place/?q=place_id:ChIJmZqZQS6T-DkRM9OPTwEWifM,part_318,2026-09-20 20:25:30
Mahuya Boutique,Saree Showroom,Saree Shop,Saree Shop,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 89612 86440,N/A,5.0,,"No. 1, Mahuya Boutique, Teli Sarak Lane, Bansberia, Mithapukur More, West Bengal 712502",Bansberia,22.956975399999997,88.40074129999999,ChIJgezQo7ST-DkRAut5QkqfR9k,https://www.google.com/maps/place/?q=place_id:ChIJgezQo7ST-DkRAut5QkqfR9k,part_318,2026-09-20 20:25:31
Satashree Fashion,Saree Showroom,Saree Shop,Saree Shop,712502,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bansberia SO, Bansberia Bazar SO, Shibpur Bansberia SO",+91 78905 63900,https://www.facebook.com/satashreefashion,4.7,27.0,"49/A, BP Dey St, Serampore, Kolkata, West Bengal 712201",Serampore,22.7530987,88.3413387,ChIJF9EGAQCb-DkRvuxQXZNOSvk,https://www.google.com/maps/place/?q=place_id:ChIJF9EGAQCb-DkRvuxQXZNOSvk,part_318,2026-09-20 20:25:32
