business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GLamNest Distribution,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 87777 52417,N/A,5.0,,"32/7SHIBRAMPUR, BYE LANE, Shibrampur, Shibrampur Mauza, Kolkata, West Bengal 700061","Shibrampur, Shibrampur Mauza",22.4878634,88.2715882,ChIJKw2vadV7AjoRhfR24R2EmiQ,https://www.google.com/maps/place/?q=place_id:ChIJKw2vadV7AjoRhfR24R2EmiQ,part_315,2026-09-20 20:27:18
Avi'$ Beauty Hair Treatmennt Hub,Cosmetics Wholesaler,Beauty product supplier,Beauty product supplier,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 96742 55700,N/A,5.0,,"63, subhayan park Parui mouja, Subhayan Park, New Shakuntala Park, Behala, Maheshtala, West Bengal 700141","Subhayan Park, New Shakuntala Park, Behala",22.488172199999998,88.2837021,ChIJn4icM0J7AjoRmvZBTBh_nh4,https://www.google.com/maps/place/?q=place_id:ChIJn4icM0J7AjoRmvZBTBh_nh4,part_315,2026-09-20 20:27:18
Raju Stores,Cosmetics Wholesaler,Stationery wholesaler,Stationery wholesaler,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 99037 39465,N/A,4.0,,"Maheshtala, Mufti Para, chuliya bazar, Raypur, Kolkata, West Bengal 700141","Mufti Para, chuliya bazar",22.489411,88.25240289999999,ChIJN0sQk2N7AjoRJMxs-s8Fjyw,https://www.google.com/maps/place/?q=place_id:ChIJN0sQk2N7AjoRJMxs-s8Fjyw,part_315,2026-09-20 20:27:18
the 99 store,Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Bag shop, Stationery store, Toy store",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",N/A,N/A,3.8,,"x - 3/1, s a, faruki road, Madrasa Basti, Metiabruz, Kolkata, West Bengal 700018","Madrasa Basti, Metiabruz",22.5406968,88.2623912,ChIJhR_BFT95AjoRqZ94Hoqg3Zw,https://www.google.com/maps/place/?q=place_id:ChIJhR_BFT95AjoRqZ94Hoqg3Zw,part_315,2026-09-20 20:27:18
Shah Alam Enterprise,Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Flavours, Fragrances & Aroma Supplier",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 62912 73125,https://shah-alam-enterprise.grexa.site/,4.9,11.0,"More, Karbala, Metiabruz, Maheshtala, Kolkata, West Bengal 700024","Karbala, Metiabruz",22.540064299999997,88.2711278,ChIJrdk53IB5AjoRpg5t5vaUSV0,https://www.google.com/maps/place/?q=place_id:ChIJrdk53IB5AjoRpg5t5vaUSV0,part_315,2026-09-20 20:27:18
BORN BEAUTY,Cosmetics Wholesaler,Clothing manufacturer,"Clothing manufacturer, Clothing store, Clothing wholesaler, Dress store, Manufacturer, Wholesaler",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 91265 82069,http://www.bornbeauty.co.in/,4.8,39.0,"bus stand, Biren Roy Road W, Moynagore, Banerjeepara, Maheshtala, Kolkata, West Bengal 700141","Moynagore, Banerjeepara",22.4901186,88.2618103,ChIJF1n9vpR7AjoRFKN12-D-1JQ,https://www.google.com/maps/place/?q=place_id:ChIJF1n9vpR7AjoRFKN12-D-1JQ,part_315,2026-09-20 20:27:18
Cosmetic corner,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",N/A,N/A,4.2,5.0,"979F+G4F, 788, NH 12, Amtala, Kolkata, West Bengal 743503",Amtala,22.3688125,88.2728125,ChIJ1-vBagBlAjoR7SkOO6xxNbs,https://www.google.com/maps/place/?q=place_id:ChIJ1-vBagBlAjoR7SkOO6xxNbs,part_315,2026-09-20 20:27:18
Cosmetic Beauty Point,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 84118 95581,https://cosmetic-beauty-point.mini.store/,4.0,2.0,"Vitthal mandir jawaab, near Mahalaxmi Alankar Jewellers, Nandura, Maharashtra 443404",Qureshi Nagar,20.8333331,76.4594485,ChIJyTfOozRZ1zsR3kmtJ6JEe4c,https://www.google.com/maps/place/?q=place_id:ChIJyTfOozRZ1zsR3kmtJ6JEe4c,part_315,2026-09-20 20:27:18
Angel Cosmetic and Gift Centre,Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Corporate gift supplier, Gift shop, Cosmetics wholesaler, Gift basket store, Handicrafts Wholesaler, Jewelry designer, Outlet mall, Store",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 89107 98615,https://www.facebook.com/angelcosmeticandgiftcentre,4.3,4.0,"309E, Ho Chi Minh Sarani, Sangitaa Residency, Block B, Gr Floor Market Near New poulomi Sweets (Muchipara), Biren Roy Road, Behala, West, Sarsuna, Kolkata, West Bengal 700061","Kalabagan, Sarsuna",22.485847,88.283935,ChIJyXmlV7N7AjoRUjAWZKa7sy0,https://www.google.com/maps/place/?q=place_id:ChIJyXmlV7N7AjoRUjAWZKa7sy0,part_315,2026-09-20 20:27:18
Sattadhar Traders,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Barber supply store, Beauty Products Wholesaler, Beauty supply store, Cosmetics store",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 94245 40050,N/A,4.7,76.0,"44, 45, Netaji Subhash Marg, Chiman Bagh, Indore, Madhya Pradesh 452010",Chiman Bagh,22.725298199999997,75.862314,ChIJQXIT4XL9YjkRgQwkbCqzl-A,https://www.google.com/maps/place/?q=place_id:ChIJQXIT4XL9YjkRgQwkbCqzl-A,part_315,2026-09-20 20:27:18
R.N ENTERPRISES AND NAIL’S PRODUCT&ACADEMY,Cosmetics Wholesaler,Tanning salon,"Tanning salon, Beauty product supplier, Beauty Products Wholesaler, Eyelash salon, Nail salon, Tattoo and piercing shop, Tattoo shop",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 74391 35576,N/A,5.0,,"169, Ho Chi Minh Sarani, Sarsuna Satellite Twp Housing Estate, Behala, Kolkata, West Bengal 700061","Sarsuna Satellite Township Housing Estate, Behala",22.4865989,88.28030199999999,ChIJeZLQmcZ7AjoR1wPkc3fHHcA,https://www.google.com/maps/place/?q=place_id:ChIJeZLQmcZ7AjoR1wPkc3fHHcA,part_315,2026-09-20 20:27:19
B.N. Beauty Garments,Cosmetics Wholesaler,Wholesaler,"Wholesaler, Garment Exporter",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",+91 98361 76166,N/A,3.7,,"Y2/101/65/1, Satghara Bye Ln, Metiabruz, Kolkata, West Bengal 700018",Metiabruz,22.5481928,88.2584882,ChIJa_NkXDp5AjoRR2Ab8LhnXOk,https://www.google.com/maps/place/?q=place_id:ChIJa_NkXDp5AjoRR2Ab8LhnXOk,part_315,2026-09-20 20:27:19
M j herbals store,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",N/A,N/A,4.5,,"G69W+2X6, Akra Station Rd, Gaptala, Jagannathgarh, Santoshpur, Maheshtala, West Bengal 700140","Gaptala, Jagannathgarh, Santoshpur",22.517549199999998,88.2474005,ChIJkWlQGox5AjoRyRFsqGpooAI,https://www.google.com/maps/place/?q=place_id:ChIJkWlQGox5AjoRyRFsqGpooAI,part_315,2026-09-20 20:27:19
S G DISTRIBUTOR,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",N/A,http://sgdistributor.com/,,,"G7F3+7F4, Akra, Jagannathgarh, Santoshpur, Maheshtala, West Bengal 700140","Akra, Jagannathgarh, Santoshpur",22.523181899999997,88.25370339999999,ChIJiQ923jB5AjoRkiPOeO8dl7w,https://www.google.com/maps/place/?q=place_id:ChIJiQ923jB5AjoRkiPOeO8dl7w,part_315,2026-09-20 20:27:19
FINE-HEALTH,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Business networking company, Business to business service, Cosmetics store, Health counselor, FMCG Goods Wholesaler, Skin care clinic, Sports nutrition store, Weight loss service",700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO",N/A,N/A,5.0,3.0,"Mollargate Hospital Rd, Santoshpur Govt Colony, Sanpa, Santoshpur, Maheshtala, West Bengal 700142","Santoshpur Govt Colony, Sanpa, Santoshpur",22.5142307,88.2689625,ChIJ0xV-FiV7AjoR_kPz2R-_TEI,https://www.google.com/maps/place/?q=place_id:ChIJ0xV-FiV7AjoR_kPz2R-_TEI,part_315,2026-09-20 20:27:19
