business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Blink frame photography,Photographers,Photography service,Photography service,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,https://blinkframephotography.in/,5.0,,"Budbud, Sukdal More, West Bengal 713403",713403,23.399136799999997,87.5542005,ChIJeXIABLnV-TkR_cwQv1NnSFs,https://www.google.com/maps/place/?q=place_id:ChIJeXIABLnV-TkR_cwQv1NnSFs,part_320,2026-09-20 20:41:07
Ayshi Photography & photo lamination,Photographers,Photography service,Photography service,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",+91 99334 74840,N/A,5.0,,"Sukanta Nagar, Budbud, West Bengal 713403",Sukanta Nagar,23.4001602,87.5559138,ChIJwYg-kQPV-TkRJUP2WqbypBw,https://www.google.com/maps/place/?q=place_id:ChIJwYg-kQPV-TkRJUP2WqbypBw,part_320,2026-09-20 20:41:07
Ankit's Home,Photographers,Photographer,Photographer,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,5.0,,"8GQ3+J5R, Bara, West Bengal 713403",713403,23.3391183,87.502906,ChIJi64bagCB9zkRSZ62GyZeosA,https://www.google.com/maps/place/?q=place_id:ChIJi64bagCB9zkRSZ62GyZeosA,part_320,2026-09-20 20:41:07
Aesthetic films.in,Photographers,Wedding photographer,"Wedding photographer, Photography service",713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",+91 87592 93474,https://aestheticphotography20.com/,5.0,,"opposite kalpataru restaurant, Sukanta Nagar, Budbud, West Bengal 713403",Sukanta Nagar,23.3987362,87.55592399999999,ChIJocr6max_9zkRohDU9qsFUAk,https://www.google.com/maps/place/?q=place_id:ChIJocr6max_9zkRohDU9qsFUAk,part_320,2026-09-20 20:41:07
Sk Aanas House,Photographers,Photography studio,Photography studio,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,5.0,,"9HHG+CMF, Simnari, West Bengal 713403",713403,23.3767526,87.57172609999999,ChIJswzOXwDV-TkRRbtD_OoJPo8,https://www.google.com/maps/place/?q=place_id:ChIJswzOXwDV-TkRRbtD_OoJPo8,part_320,2026-09-20 20:41:07
"Kalpana Multimedia Studio , Best Studio in Galsi",Photographers,Photography studio,Photography studio,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,https://youtu.be/pzvMpsbKRps?si=kCxUwO0Sg9khp7z6,4.5,,"Galsi Bazar, Galsi, West Bengal 713406",Galsi Bazar,23.3397693,87.69105259999999,ChIJB_EDFGct-DkRLNJd1OW4Wng,https://www.google.com/maps/place/?q=place_id:ChIJB_EDFGct-DkRLNJd1OW4Wng,part_320,2026-09-20 20:41:07
THE SARKAR FRAME,Photographers,Photography studio,Photography studio,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,5.0,,"Mankar Road, Sukdal, Mankar, West Bengal 713144",713403,23.420681599999998,87.552882,ChIJlzBObwDV-TkRDfoXuSeLKe8,https://www.google.com/maps/place/?q=place_id:ChIJlzBObwDV-TkRDfoXuSeLKe8,part_320,2026-09-20 20:41:07
Studio Jhilik,Photographers,Photographer,Photographer,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,3.8,,"Moti Market, Galsi Bazar, Galsi, West Bengal 713406",Galsi Bazar,23.3392311,87.6919291,ChIJwxF1JWct-DkRwhunAuRCq9c,https://www.google.com/maps/place/?q=place_id:ChIJwxF1JWct-DkRwhunAuRCq9c,part_320,2026-09-20 20:41:07
Taj photo art & design,Photographers,Photography studio,Photography studio,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",+91 90916 24519,N/A,5.0,,"Delhi - Kolkata Hwy, baincha, Galsi2, Galsi, West Bengal 713406","baincha, Galsi2",23.341482499999998,87.6905834,ChIJR4jCkX8t-DkR0ma6UNWi2S4,https://www.google.com/maps/place/?q=place_id:ChIJR4jCkX8t-DkR0ma6UNWi2S4,part_320,2026-09-20 20:41:07
Annapurn Graphic,Photographers,Photographer,Photographer,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,,,"Shilla, West Bengal 713403",713403,23.2937101,87.5729523,ChIJhy0uqkQr-DkRKYJ31R-Ca4s,https://www.google.com/maps/place/?q=place_id:ChIJhy0uqkQr-DkRKYJ31R-Ca4s,part_320,2026-09-20 20:41:07
Capture কথা photography,Photographers,Photographer,Photographer,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,5.0,,"8F9H+Q97, Telrui, West Bengal 722207",713403,23.319410299999998,87.4784315,ChIJy9PkeACB9zkRnt-VqXnJW7o,https://www.google.com/maps/place/?q=place_id:ChIJy9PkeACB9zkRnt-VqXnJW7o,part_320,2026-09-20 20:41:07
Shantanu Editz,Photographers,Photographer,Photographer,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,https://instagram.com/shantanu_editz_?igshid=MzNlNGNkZWQ4Mg==,5.0,1.0,"8F5J+9WP, Baruibera, West Bengal 722207",713403,23.3084617,87.48233479999999,ChIJSenPtLWB9zkR28XdddcOLq4,https://www.google.com/maps/place/?q=place_id:ChIJSenPtLWB9zkR28XdddcOLq4,part_320,2026-09-20 20:41:08
Pro click,Photographers,Photographer,Photographer,713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO",N/A,N/A,5.0,2.0,"8F5J+J68, Baruibera, West Bengal 722207",713403,23.3090267,87.4805763,ChIJT5xxAoeB9zkRBFkLkOTVo9g,https://www.google.com/maps/place/?q=place_id:ChIJT5xxAoeB9zkRBFkLkOTVo9g,part_320,2026-09-20 20:41:08
