business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Grace South Indian Food,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Vegetarian restaurant",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 96747 76145,N/A,4.3,1360.0,"Baguihati Main Rd, Near Auto Stand, Rajarhat, Kolkata, West Bengal 700059",Rajarhat,22.610354899999997,88.4274901,ChIJtbkFuol1AjoRPiO7RpajCuY,https://www.google.com/maps/place/?q=place_id:ChIJtbkFuol1AjoRPiO7RpajCuY,part_313,2026-09-20 20:33:14
Ganesh South Indian food,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 90512 36569,N/A,4.3,202.0,"A/E/1, Rajarhat Main Rd, Sahabagan, Jyangra, Baguiati, Kolkata, West Bengal 700059","Sahabagan, Jyangra, Baguiati",22.617473099999998,88.43437899999999,ChIJnW67KT-f-DkRrUakVxkrvf0,https://www.google.com/maps/place/?q=place_id:ChIJnW67KT-f-DkRrUakVxkrvf0,part_313,2026-09-20 20:33:14
Flame & Fresh,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 33 6902 9700,N/A,5.0,11.0,"Akankha Bengal Shelter Krishnachura Security Room, AKANKHA BENGAL SHELTER KRISHNACHURA, Action Area IIC, Reckjoani, West Bengal 700161","Action Area IIC, Reckjoani",22.6213937,88.46814599999999,ChIJL4YrZQCf-DkRRg2mlyFnjLg,https://www.google.com/maps/place/?q=place_id:ChIJL4YrZQCf-DkRRg2mlyFnjLg,part_313,2026-09-20 20:33:14
Kalyani South Indian Food,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 87686 62942,N/A,4.2,10.0,"JC6R+R68, Hela Battala, Jyangra, Rajarhat, Kolkata, West Bengal 700157","Hela Battala, Jyangra, Rajarhat",22.612044899999997,88.4405922,ChIJdf4E3qx1AjoRNFECBuhV15E,https://www.google.com/maps/place/?q=place_id:ChIJdf4E3qx1AjoRNFECBuhV15E,part_313,2026-09-20 20:33:14
Appayan South Indian Food,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Vegetarian restaurant",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 83360 62043,N/A,4.1,665.0,"JC2H+MGF, Rabindra Pally Market, Rabindrapally, Kestopur, Kolkata, West Bengal 700101","Rabindra Pally Market, Rabindrapally, Kestopur",22.6016971,88.42880559999999,ChIJvTUAyI91AjoRZBkOG1mft2w,https://www.google.com/maps/place/?q=place_id:ChIJvTUAyI91AjoRZBkOG1mft2w,part_313,2026-09-20 20:33:14
South mantra,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 97349 87046,N/A,5.0,6.0,"10-414, Narayantola East, Ashwini Nagar, Rajarhat, Kolkata, West Bengal 700159","Narayantola East, Ashwini Nagar, Rajarhat",22.6101337,88.4286793,ChIJK7aZUgB1AjoRC20XGzXjkP0,https://www.google.com/maps/place/?q=place_id:ChIJK7aZUgB1AjoRC20XGzXjkP0,part_313,2026-09-20 20:33:14
South Food Gallery,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 62902 58487,N/A,4.3,40.0,"10/18, N. C. Sen, Mall Rd, Sarani, Golpark, South Dumdum, West Bengal 700080","Sarani, Golpark, Dum Dum",22.6283922,88.4210064,ChIJ2fPP5zef-DkRX03sCpAK-eY,https://www.google.com/maps/place/?q=place_id:ChIJ2fPP5zef-DkRX03sCpAK-eY,part_313,2026-09-20 20:33:14
Arunodayaa south indian cafe,South Indian Restaurant,Indian restaurant,Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 86539 92286,N/A,4.7,6.0,"HCXC+4RV, AG Block, Sector 2, Bidhannagar, Kolkata, West Bengal 700064","AG Block, Sector 2, Bidhannagar",22.5979408,88.4219955,ChIJ_4JIAgB1AjoRGxPAR47wM1U,https://www.google.com/maps/place/?q=place_id:ChIJ_4JIAgB1AjoRGxPAR47wM1U,part_313,2026-09-20 20:33:14
Raju dosha,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 90883 97789,N/A,4.6,67.0,"ga 7, Narayantala W Ln, Baguiati, Kolkata, West Bengal 700101",Baguiati,22.609080199999998,88.4225992,ChIJH1CMQad1AjoRDf5UA-GHeQU,https://www.google.com/maps/place/?q=place_id:ChIJH1CMQad1AjoRDf5UA-GHeQU,part_313,2026-09-20 20:33:14
Choley Sambhar,South Indian Restaurant,South Indian restaurant,South Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",N/A,https://www.facebook.com/share/18QgHQXvTG/,5.0,6.0,"Bus Stand, More, near Babltatala, Gopalpur I, Kalipark, Bablatala, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Kalipark, Bablatala, Rajarhat",22.6361927,88.45450679999999,ChIJ79C0CQCf-DkRLNBKvOsMzjo,https://www.google.com/maps/place/?q=place_id:ChIJ79C0CQCf-DkRLNBKvOsMzjo,part_313,2026-09-20 20:33:14
Chennai Square & Bombay Chowpatty,South Indian Restaurant,Restaurant,Restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 90512 27333,http://www.chennaisquare.in/,4.6,,"PS MAGNUM, 1st Floor, VIP Rd, Biman Nagar, Kaikhali, Kolkata, West Bengal 700052","Biman Nagar, Kaikhali",22.6307209,88.43503129999999,ChIJ0yr5p4qf-DkRfqROro_Tx6A,https://www.google.com/maps/place/?q=place_id:ChIJ0yr5p4qf-DkRfqROro_Tx6A,part_313,2026-09-20 20:33:14
BOX8 - India's Largest Desi Meals Brand,South Indian Restaurant,Indian restaurant,Indian restaurant,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",N/A,https://box8.in/,4.7,,"Ground Floor,8, A/8, Jessore Rd, K.B.Sarani, Shibrenu Aprarment, Ward Number 21, Kolkata, North Dumdum, West Bengal 700080","K.B.Sarani, Shibrenu Aprarment, Ward Number 21",22.6306549,88.4241711,ChIJnRyBLcyf-DkRx4uTwZgBGfk,https://www.google.com/maps/place/?q=place_id:ChIJnRyBLcyf-DkRx4uTwZgBGfk,part_313,2026-09-20 20:33:14
"Dosa Tyme ,The Famous Dosa of Kolkata, Idli, Dosa, Dahi Vada, Paw Bhaji, Papri Chaat available.",South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Fast food restaurant, Vegetarian restaurant",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 83340 10342,https://www.aikeyboard.in/,4.7,,"Shop no. 1, Anima Apartment, AC -375, opp. to Mado BAZAR, Barowaritala, Samarpally, Krishnapur, Kestopur, Kolkata, West Bengal 700102","Barowaritala, Samarpally, Krishnapur, Kestopur",22.5931312,88.4334597,ChIJX7ML9X51AjoRGsIZnuni8gk,https://www.google.com/maps/place/?q=place_id:ChIJX7ML9X51AjoRGsIZnuni8gk,part_313,2026-09-20 20:33:15
