business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tea stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,4.0,3.0,"3F72+MQ7 Pramanick Nursery, Rukespur Rd, Baneswarpur, West Bengal 712515",712515,23.064402599999998,88.4521247,ChIJtdYl407r-DkRCyV6n2shzfs,https://www.google.com/maps/place/?q=place_id:ChIJtdYl407r-DkRCyV6n2shzfs,part_318,2026-09-20 20:30:08
Coffee,Cafe and Coffee Shop,Cafe,"Cafe, Fried chicken takeaway, Soft drinks shop",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,4.8,4.0,"Charsarati High School Rd, Ganga Manoharpur, West Bengal 741245",712515,23.0127751,88.4409546,ChIJlbb4uO7r-DkRLcr7adcpgio,https://www.google.com/maps/place/?q=place_id:ChIJlbb4uO7r-DkRLcr7adcpgio,part_318,2026-09-20 20:30:08
TEA & TIFFIN,Cafe and Coffee Shop,Coffee shop,Coffee shop,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,4.6,9.0,"2CXM+2PF, SH6, Khamargachhi, Dadpur, West Bengal 712515",712515,23.047932,88.43423,ChIJ4xibw9Dr-DkRP_u06MnkLFw,https://www.google.com/maps/place/?q=place_id:ChIJ4xibw9Dr-DkRP_u06MnkLFw,part_318,2026-09-20 20:30:08
Leela Coffee Works,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Coffee wholesaler",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 484 237 5706,N/A,4.7,73.0,"X78Q+CCP, Chittoor Rd, Ernakulam South, Ernakulam, Keralam 682016",Ernakulam South,9.9660801,76.28858199999999,ChIJ-9R-1bZyCDsRX9nvax0fk6Y,https://www.google.com/maps/place/?q=place_id:ChIJ-9R-1bZyCDsRX9nvax0fk6Y,part_318,2026-09-20 20:30:11
KettleBerry® Cafe,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Bakery and Cake Shop, Cafe, Coffee store, Coffee wholesaler, Continental restaurant, Pizza delivery",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 90516 64613,http://kettleberry.in/home,4.6,327.0,"141/10A, Prince Gulam Hussain Shah Rd, Poddar Nagar, Jadavpur, Kolkata, West Bengal 700095","Poddar Nagar, Jadavpur",22.4976482,88.3631832,ChIJQ6D5Y8xxAjoR4EE7LR9Zaho,https://www.google.com/maps/place/?q=place_id:ChIJQ6D5Y8xxAjoR4EE7LR9Zaho,part_318,2026-09-20 20:30:11
Aashirvaad Enterprise,Cafe and Coffee Shop,Coffee vending machine,Coffee vending machine,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 90519 99012,http://aashirvaad369.business.blog/,4.9,40.0,"48, Purbachal Main Rd, Shanti Pally, Ramlal Bazar, Haltu, Kolkata, West Bengal 700078","Shanti Pally, Ramlal Bazar, Haltu",22.504824,88.3895579,ChIJhULXFEdxAjoRF-25RAJXzIs,https://www.google.com/maps/place/?q=place_id:ChIJhULXFEdxAjoRF-25RAJXzIs,part_318,2026-09-20 20:30:11
Sorrota Coffee,Cafe and Coffee Shop,Corporate office,Corporate office,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 91786 87363,http://www.sorrotacoffee.com/,4.5,32.0,"Uttareswar Bus Stand, Kamarpur, Soro, Dist- Balasore, Soro, Odisha 756045",712515,21.29237,86.6861581,ChIJ-4M6MlpuHDoRh7ZMl6rY_ac,https://www.google.com/maps/place/?q=place_id:ChIJ-4M6MlpuHDoRh7ZMl6rY_ac,part_318,2026-09-20 20:30:11
The Coffee Bean & Tea Leaf,Cafe and Coffee Shop,Coffee shop,Coffee shop,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 80170 54352,http://www.coffeebean.com/,4.2,824.0,"2nd Floor, Quest Mall, 33, Syed Amir Ali Ave, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017","Beck Bagan, Ballygunge",22.5386111,88.3655556,ChIJr3gsN952AjoRdiT4asru8pE,https://www.google.com/maps/place/?q=place_id:ChIJr3gsN952AjoRdiT4asru8pE,part_318,2026-09-20 20:30:11
Victoria Tea Company,Cafe and Coffee Shop,Tea Wholesaler,Tea Wholesaler,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 33 2210 7383,http://www.nectartea.in/,4.8,111.0,"1, Ground Floor, Martin Burn House, Head Quarter, RN Mukherjee Rd, opposite Lal Bazar, Lal Bazar, Kolkata, West Bengal 700001",Lal Bazar,22.572442499999998,88.3516444,ChIJA6Pf2aV3AjoR3J6chG-IcWM,https://www.google.com/maps/place/?q=place_id:ChIJA6Pf2aV3AjoR3J6chG-IcWM,part_318,2026-09-20 20:30:11
Cafe Adda,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Fast food restaurant",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 98311 93617,N/A,3.8,831.0,"XCFP+FVJ, Manisha Rd, B 10, Block B, Kalyani, West Bengal 741235","B 10, Block B",22.9737088,88.4371482,ChIJgZHF7t6U-DkRGiwYkbkeXjQ,https://www.google.com/maps/place/?q=place_id:ChIJgZHF7t6U-DkRGiwYkbkeXjQ,part_318,2026-09-20 20:30:11
Assam oil srirampur chai ali,Cafe and Coffee Shop,Coffee shop,Coffee shop,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,,,"Q86P+2W2, Chatra, Serampore, West Bengal 712204","Chatra, Serampore",22.760019999999997,88.3372636,ChIJT2OvGACb-DkRUM7SDIEV3bU,https://www.google.com/maps/place/?q=place_id:ChIJT2OvGACb-DkRUM7SDIEV3bU,part_318,2026-09-20 20:30:11
