business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Siya CNG Enterprises,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 96898 99829,N/A,4.7,,"Shop no 4, near HP vithal rathi petrol pump, Bhekrai Nagar, Hadapsar, Pune, Maharashtra 412308","Bhekrai Nagar, Hadapsar",18.4808447,73.9547297,ChIJE5ROVJ3pwjsRwpWfrK7iVL8,https://www.google.com/maps/place/?q=place_id:ChIJE5ROVJ3pwjsRwpWfrK7iVL8,part_318,2026-09-20 20:42:36
Crystal CNG Fitment Centre,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 92880 88090,N/A,4.8,,"NH Bypass Road, Temple, near Karikkakom, Venpalavattom, Thiruvananthapuram, Keralam 695029",Venpalavattom,8.5067978,76.9072376,ChIJl4Bl98u9BTsR7rsl5BI6Ydc,https://www.google.com/maps/place/?q=place_id:ChIJl4Bl98u9BTsR7rsl5BI6Ydc,part_318,2026-09-20 20:42:36
Shiv Samarth CNG Center,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 90969 38335,https://www.shivsamarth.cng.com/,4.9,,"MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070","MIDC, Moshi",18.6791555,73.8408159,ChIJj3zMdU7JwjsRblT6n3gTwiI,https://www.google.com/maps/place/?q=place_id:ChIJj3zMdU7JwjsRblT6n3gTwiI,part_318,2026-09-20 20:42:36
Green drive CNG auto solutions,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 99237 79277,http://www.greendriveauto.com/,4.8,,"Shop No .3, Nagar, Manmad Rd, behind hotel anushka, opposite of vrindavan lawns, Savedi, Ahilyanagar, Maharashtra 414001",Savedi,19.136002299999998,74.7213501,ChIJ_xbMii273DsRFBYbuFImOdw,https://www.google.com/maps/place/?q=place_id:ChIJ_xbMii273DsRFBYbuFImOdw,part_318,2026-09-20 20:42:36
Shivam CNG Cylinder Testing Lab,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 89990 98977,N/A,4.9,,"Sr no 36, 2a/1a, Harantale Rd, near mmit college, wasti, Lohegaon, Pune, Maharashtra 411047","wasti, Lohegaon",18.6104981,73.9436765,ChIJ_yFpF1nFwjsRtspgWwkE2-w,https://www.google.com/maps/place/?q=place_id:ChIJ_yFpF1nFwjsRtspgWwkE2-w,part_318,2026-09-20 20:42:36
Maruti Auto Gas CNG,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 90336 83886,N/A,4.9,,"Sahjanand complex, L12,13, 6, Varachha Main Rd, opp. vitthal nagar, near Hirabaug Sircul, Surat, Gujarat 395006","Navi Shakti Vijay Society, Tapsil Society, Hirabaugh",21.215421799999998,72.86230909999999,ChIJSSi02gRP4DsRQ3ibVkdJHdg,https://www.google.com/maps/place/?q=place_id:ChIJSSi02gRP4DsRQ3ibVkdJHdg,part_318,2026-09-20 20:42:36
Vijaya CNG Hydro Testing Services,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 70200 43768,N/A,4.9,,"Chas Road, behind Shantai Lawns, Akolner, Ahilyanagar, Maharashtra 414005",713104,18.993187499999998,74.65917189999999,ChIJX7sZiZO13DsROQ1EY1GnBEI,https://www.google.com/maps/place/?q=place_id:ChIJX7sZiZO13DsROQ1EY1GnBEI,part_318,2026-09-20 20:42:36
Shivam Auto Gas,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 88989 88897,N/A,4.9,,"Shop no 13, Vishwanath Phase 1, Dhanori Rd, opp. Khadan, Vadar Wadi, Vishrantwadi, Pune, Maharashtra 411015","Vadar Wadi, Vishrantwadi",18.5759731,73.880245,ChIJDdQHGdPAwjsRMEzST0e03i4,https://www.google.com/maps/place/?q=place_id:ChIJDdQHGdPAwjsRMEzST0e03i4,part_318,2026-09-20 20:42:36
Sadguru CNG,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Gas cylinders supplier",713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 92847 14877,https://youtube.com/channel/UC7fhReYhFrN8WkpZGSVZrGw,4.4,,"Shop No B-07-3351, Sahayog Colony, Naik Chowk, Pragati Nagar, Latur, Maharashtra 413531",Pragati Nagar,18.3837568,76.5664975,ChIJEbHN3R6DzzsR53LU1ZnouyA,https://www.google.com/maps/place/?q=place_id:ChIJEbHN3R6DzzsR53LU1ZnouyA,part_318,2026-09-20 20:42:36
Patel Motors Auto Gas Car,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 98253 18218,N/A,4.7,,"Shop no. 2.Chitrakut apartment, behind satyam sivam apartment Near Navyug College, road, Rander, Surat, Gujarat 395009","Kotyark Nagar Society, Rander",21.205137,72.8006,ChIJXZp8ESlM4DsRE27W5A-S2sQ,https://www.google.com/maps/place/?q=place_id:ChIJXZp8ESlM4DsRE27W5A-S2sQ,part_318,2026-09-20 20:42:36
VK Autotech,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 94224 68280,https://vkautotech.in/,5.0,,"Latur - Babhalgaon Rd, opp. Mhada colony, HUDCO and CIDCO, Maharanapratapnagar, Maharashtra 413512",HUDCO and CIDCO,18.3939453,76.6052199,ChIJ61B3BF2DzzsRB_cojoVfPDo,https://www.google.com/maps/place/?q=place_id:ChIJ61B3BF2DzzsRB_cojoVfPDo,part_318,2026-09-20 20:42:36
Parth Auto Gas & Motors,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 88669 82222,N/A,4.1,,"Shop no 1 to 4, Garden Gate, opposite Maharana Pratap Garden, near tulsi hotel, Shree Jay Mahalaxmi Society, Chikuwadi, Nana Varachha, Surat, Gujarat 395013","Shree Jay Mahalaxmi Society, Chikuwadi, Nana Varachha",21.223673599999998,72.88480369999999,ChIJh-PXnGhP4DsRbgJMHeGGI9I,https://www.google.com/maps/place/?q=place_id:ChIJh-PXnGhP4DsRbgJMHeGGI9I,part_318,2026-09-20 20:42:36
Gati Gas Point,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Gas and automotive",713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 98794 35612,N/A,4.4,,"Ashwini kumar, Nllkand Apartment, Shop no.4, dharm app, Khodiyar Nagar Rd, Varachha, Surat, Gujarat 395008","Saurastra Society, Vishnu Nagar, Varachha",21.2185317,72.8519699,ChIJywrepWNO4DsRCvb-b_CPZfQ,https://www.google.com/maps/place/?q=place_id:ChIJywrepWNO4DsRCvb-b_CPZfQ,part_318,2026-09-20 20:42:36
Devendra CNG Cylinder Testing Center | CNG Cylinder Hydro Testing | CNG Tank Renewal I CNG Cascade Refurbishment in pune,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Auto parts store",713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 93592 68597,N/A,4.9,459.0,"sr no 68 kolewadi road at/post jambhulwadi tq haveli, Pune, Maharashtra 411046",713104,18.424664399999997,73.8369242,ChIJaSaHewKVwjsRYq32sc2683U,https://www.google.com/maps/place/?q=place_id:ChIJaSaHewKVwjsRYq32sc2683U,part_318,2026-09-20 20:42:37
Bionic Sales - AUTHORISED CNG/LPG KIT DISTRIBUTOR & Fitment Center,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 98903 86727,http://www.bionicsales.in/,5.0,351.0,"Beside Lupin Company, Near Prozone Mall, Chikalthana, MIDC, Chh, Chhatrapati Sambhajinagar, Maharashtra 431006","MIDC, Chh",19.875021099999998,75.3825889,ChIJW3qkdlOj2zsR2tgtCMiYKcY,https://www.google.com/maps/place/?q=place_id:ChIJW3qkdlOj2zsR2tgtCMiYKcY,part_318,2026-09-20 20:42:37
CNG Kit Fitting Extra Mile Gas Tech Karjan,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 63537 29740,N/A,4.8,45.0,"Shop No.G-12, Shiv vatika complex, NH 8Juna Bazar, nr. Achija Hotel, Bodana, Karjan, Gujarat 391240",Bodana,22.0447396,73.12640449999999,ChIJlx0wTgDrXzkRaNcyoMiFiVE,https://www.google.com/maps/place/?q=place_id:ChIJlx0wTgDrXzkRaNcyoMiFiVE,part_318,2026-09-20 20:42:37
Lovato CNG Kit Dealer - Anant Automobiles-Ahmedabad,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO",+91 98240 62424,N/A,4.5,53.0,"7/14 shrikunj society B/h Aman Akash Partyplot Vajubhai Davemarg, Jivraj park, Vasna, Ahmedabad, Gujarat 380007","Yashkamal Society, Vasna",23.0096894,72.5378607,ChIJkT1P21yFXjkRntqG71Hi1ys,https://www.google.com/maps/place/?q=place_id:ChIJkT1P21yFXjkRntqG71Hi1ys,part_318,2026-09-20 20:42:39
