business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shah Skin Clinic,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",0303 2626937,N/A,5.0,,"Jacobabad, Pakistan",713153,28.2810427,68.4346496,ChIJczvxYn5zNDkRxLAKc6axTkc,https://www.google.com/maps/place/?q=place_id:ChIJczvxYn5zNDkRxLAKc6axTkc,part_319,2026-09-20 20:24:06
"Dr Aparna's Kimaya Skin, Hair And Laser Clinic",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair extensions supplier, Hair removal service, Hair transplantation clinic, Infectious disease physician, Laser hair removal service, Dermatologist, Tattoo removal service, Weight loss service",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 91676 25912,http://www.kimayaclinic.com/,4.7,,"Shop No.2, Aai Complex, Old Agra Rd, Savarkar Nagar, Sahyadri Colony, Vasind, Maharashtra 421601","Savarkar Nagar, Sahyadri Colony",19.4087697,73.2654842,ChIJ3VRmXieb5zsRvsy0DPWzDFA,https://www.google.com/maps/place/?q=place_id:ChIJ3VRmXieb5zsRvsy0DPWzDFA,part_319,2026-09-20 20:24:06
Suman Skin Clinic,Skin Clinic and Dermatologist,Hospital,Hospital,713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 99223 00820,N/A,5.0,,"67RJ+FJ6, Khandad, Mangaon, Maharashtra 402104",Khandad,18.241153999999998,73.2815025,ChIJDa6Cb_wv6DsRecHi1lJClRY,https://www.google.com/maps/place/?q=place_id:ChIJDa6Cb_wv6DsRecHi1lJClRY,part_319,2026-09-20 20:24:06
Dr Veera Deshmukh,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Medical clinic",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 81089 22227,https://www.i-perfect.in/our-team,5.0,,"21, Sai Vihar, above Kalyan Station Road, Bhanu Sagar Talkies, Bhanunagar Kalyan(West), Narayan Peth, Kalyan West, Kalyan, Maharashtra 421301","Bhanu Sagar Talkies, Bhanunagar Kalyan(West), Narayan Peth, Kalyan West",19.2387664,73.12808679999999,ChIJyUbCNMGV5zsR_sHdXFUB03w,https://www.google.com/maps/place/?q=place_id:ChIJyUbCNMGV5zsR_sHdXFUB03w,part_319,2026-09-20 20:24:06
Skinnergy Cosmetic Care,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 93212 97553,N/A,4.8,,"501, Seasons Hallmark , Opposite Sandeep Hotel Khadakpada, Kalyan, West, Mumbai, Maharashtra 421301",Bhoirwadi,19.25084,73.14130709999999,ChIJzf67ulWX5zsRf3EmxgVvYDg,https://www.google.com/maps/place/?q=place_id:ChIJzf67ulWX5zsRf3EmxgVvYDg,part_319,2026-09-20 20:24:06
Jivisha Clinic (Best Skin and Child Care) Dr Ankit and Dr Akriti Gupta,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Child health care center, Dermatologist, Health consultant, Laser hair removal service, Medical Center, Neonatal physician, Pediatrician, Doctor, Tattoo removal service",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 98735 92735,http://www.jivishaclinic.com/,4.7,,"C, 1/11, Ghonda Rd, near Anand Sagar Restaurant, Block C, Yamuna Vihar, Shahdara, Delhi, 110053","Block C, Yamuna Vihar, Shahdara",28.701554599999998,77.2723075,ChIJoZzXJz37DDkR51-LNAO-dFo,https://www.google.com/maps/place/?q=place_id:ChIJoZzXJz37DDkR51-LNAO-dFo,part_319,2026-09-20 20:24:07
Sudha Shree Clinic|| Sudha श्री clinic||Best Skin Clinic in Dhanbad || (Dr. Jimmy Abhishek ) Best dermatologist in Dhanbad,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hair transplantation clinic, Pediatric dermatologist, Sexologist, Dermatologist",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 62026 58653,https://www.drjimmyabhishek.com/,5.0,,"Sudha Shree Clinic Sambridhi Garden,Netaji Subhash Nagar road, opp. city bazar, Steel Gate, Saraidhella, Jharkhand 826007","Steel Gate, Lohar Kulli",23.813017799999997,86.45785819999999,ChIJeSFeWYS99jkRZQ44zljAIV4,https://www.google.com/maps/place/?q=place_id:ChIJeSFeWYS99jkRZQ44zljAIV4,part_319,2026-09-20 20:24:07
"Dr. Surbhi Jain skin, hair and laser clinic (ex GMCH sec 32)/ skin specialist/ Aesthetics",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist, Dermatologist",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 78888 63912,N/A,4.9,,"Power House Rd, opposite Street Number 8, Model Town Phase 2, Model Town, Bathinda, Punjab 151001","Model Town Phase 2, Model Town",30.207713499999997,74.955542,ChIJCaeXBAYzFzkRlbg5HMwNI6U,https://www.google.com/maps/place/?q=place_id:ChIJCaeXBAYzFzkRlbg5HMwNI6U,part_319,2026-09-20 20:24:07
"Dermis Skin and Hair Clinic | Dermatologist | Best Skin Doctor Adyar, Chennai",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Pediatric dermatologist, Dermatologist",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 95661 25531,http://www.dermisclinic.in/,4.6,,"60/D, 1st Floor, Ashvin Arcade, opp. to Pillayar Kovil, Venkata Rathnam Nagar Extension, Venkata Rathinam Nagar, Adyar, Chennai, Tamil Nadu 600020","Venkata Rathnam Nagar Extension, Venkata Rathinam Nagar, Adyar",13.000474899999999,80.2521041,ChIJOX545OZnUjoR3GI5Es1yb3o,https://www.google.com/maps/place/?q=place_id:ChIJOX545OZnUjoR3GI5Es1yb3o,part_319,2026-09-20 20:24:07
Dr Salakki'S Skin Care - Best Skin & Hair Clinic In Solapur | Best Dermatologist In Solapur | Best Laser Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Medical clinic, Pathologist, Pediatric dermatologist, Dermatologist, Tattoo removal service",713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO",+91 70203 07567,https://salakkiskincare.in/,4.8,,"FIRST FLOOR, DUDHAGIKAR WADA, opp. UNIQUE HOSPITAL, Shinde Wada, Budhavar Peth, Solapur, Maharashtra 413001","Shinde Wada, Budhavar Peth",17.677497499999998,75.9068563,ChIJA9mX8tTbxTsR9EiPm6Mpkzg,https://www.google.com/maps/place/?q=place_id:ChIJA9mX8tTbxTsR9EiPm6Mpkzg,part_319,2026-09-20 20:24:07
