business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fit Zone,Gym and Fitness Center,Fitness center,Fitness center,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 98743 71856,N/A,5.0,5.0,"6, Ramdhan Mitra Ln, near Town School, Sovabazar, Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700004","Sovabazar, Hati Bagan, Shyam Bazar",22.5975038,88.3704599,ChIJe3DkuMV3AjoRHe8yulzmG9w,https://www.google.com/maps/place/?q=place_id:ChIJe3DkuMV3AjoRHe8yulzmG9w,part_312,2026-09-20 20:34:14
Bagh Bazar Gym,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",N/A,N/A,4.4,16.0,"H9X7+JPX, Sovabazar, Kolkata, West Bengal 700005","Sovabazar, Shobhabazar",22.5991011,88.36436049999999,ChIJL5XSmzJ2AjoRs5NGb8Y1iM4,https://www.google.com/maps/place/?q=place_id:ChIJL5XSmzJ2AjoRs5NGb8Y1iM4,part_312,2026-09-20 20:34:14
Step In Style Studio,Gym and Fitness Center,Fitness center,Fitness center,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",N/A,N/A,5.0,6.0,"6B, Naya Ratna Ln, Shyambazar, Hati Bagan, Kolkata, West Bengal 700004","Shyambazar, Hati Bagan",22.6002795,88.37148499999999,ChIJVUiBrL93AjoRRA5dFuuxVPA,https://www.google.com/maps/place/?q=place_id:ChIJVUiBrL93AjoRRA5dFuuxVPA,part_312,2026-09-20 20:34:14
PAUL'S GYMNASIUM,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 98311 63746,N/A,3.9,80.0,"H/15, B/157A, Arabinda Sarani, Hati Bagan, Kolkata, West Bengal 700004",Hati Bagan,22.595248599999998,88.37446249999999,ChIJh1m_Sjp2AjoR-CzzY3z_Pwc,https://www.google.com/maps/place/?q=place_id:ChIJh1m_Sjp2AjoR-CzzY3z_Pwc,part_312,2026-09-20 20:34:14
Fitness Addiction,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 89816 47118,http://fitnessaddiction.co.in/,4.9,,"P-252, 3RD FLOOR, CIT Rd, above IDBI BANK, Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi",22.5795529,88.39066919999999,ChIJU8a1GT13AjoRSJ6mxXENLgE,https://www.google.com/maps/place/?q=place_id:ChIJU8a1GT13AjoRSJ6mxXENLgE,part_312,2026-09-20 20:34:15
Addiction Gym & Fitness,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 82749 57032,N/A,5.0,,"3/2, Nilgunj Rd, Mahajati Nagar, Senbagan, Mallic Layan, Agarpara, Kolkata, Panihati, West Bengal 700109","Mahajati Nagar, Senbagan, Mallic Layan, Agarpara",22.686840099999998,88.37869239999999,ChIJ9TKpeAqd-DkRjz6ikLnN2Xw,https://www.google.com/maps/place/?q=place_id:ChIJ9TKpeAqd-DkRjz6ikLnN2Xw,part_312,2026-09-20 20:34:15
Infinity Core Fitness,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 91233 19495,N/A,4.7,,"1,Rastraguru Avenue , jessore road, more, above punjab national bank, Nagerbazar, Kolkata, West Bengal 700028","Clive House, Nagerbazar, Dum Dum",22.623283699999998,88.4144365,ChIJ49H5SXuf-DkRNqJbuH-M6qg,https://www.google.com/maps/place/?q=place_id:ChIJ49H5SXuf-DkRNqJbuH-M6qg,part_312,2026-09-20 20:34:15
Fit 24 Premium Fitness Club - the best gym in Rajajinagar,Gym and Fitness Center,Gym,"Gym, Fitness center",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 84319 99024,N/A,4.9,,"3rd floor, No 32, 42nd Cross Rd, above Vishal mart, 3rd Block, Rajajinagar, Bengaluru, Karnataka 560010","3rd Block, Rajajinagar",12.9895768,77.55423669999999,ChIJH4_tWVY9rjsRGgmMgzgh3Ow,https://www.google.com/maps/place/?q=place_id:ChIJH4_tWVY9rjsRGgmMgzgh3Ow,part_312,2026-09-20 20:34:15
Fitness Track,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 91233 49529,N/A,4.8,,"61B, Matheswartala Road, near Kim Pou Restaurant, China Town, Kolkata, West Bengal 700046",China Town,22.547308899999997,88.390473,ChIJKxhwaa13AjoR5zhpU9pF0VU,https://www.google.com/maps/place/?q=place_id:ChIJKxhwaa13AjoR5zhpU9pF0VU,part_312,2026-09-20 20:34:15
SSR FITNESS,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 94331 91319,N/A,4.9,,"79, Rammohan Place, Konnagar, West Bengal 712235","Rammohan Place, Konnagar",22.697478099999998,88.3473727,ChIJkYGYYnWd-DkRtXRCvTLxYOA,https://www.google.com/maps/place/?q=place_id:ChIJkYGYYnWd-DkRtXRCvTLxYOA,part_312,2026-09-20 20:34:15
FitNet Energy Zone,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 81004 74620,https://www.fitnet.in/,4.6,,"6, Biren Roy Road W, Kalipur, New Shakuntala Park, Behala, Kolkata, West Bengal 700061","Kalipur, New Shakuntala Park, Behala",22.485492699999998,88.2909195,ChIJN1VhIGh7AjoRSlKgHKgf_5M,https://www.google.com/maps/place/?q=place_id:ChIJN1VhIGh7AjoRSlKgHKgf_5M,part_312,2026-09-20 20:34:15
SB Fitness Centre And Gym,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 70039 63364,N/A,4.8,,"Monomohon Mukherjee Rd, Bally, Howrah, West Bengal 711201",Bally,22.6498124,88.3434185,ChIJBc7h0WKd-DkRLs6PMO6sbA0,https://www.google.com/maps/place/?q=place_id:ChIJBc7h0WKd-DkRLs6PMO6sbA0,part_312,2026-09-20 20:34:15
R1 Fitness Club,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 89614 36331,https://r1fitnessclub.co.in/,4.9,,"S. M, 21/A, Haladhar Bose Rd, Senbagan, Mallic Layan, Agarpara, Kolkata, Panihati, West Bengal 700109","Senbagan, Mallic Layan, Agarpara",22.686363699999998,88.38272599999999,ChIJq3335cWd-DkRDuOfqqzxFt8,https://www.google.com/maps/place/?q=place_id:ChIJq3335cWd-DkRDuOfqqzxFt8,part_312,2026-09-20 20:34:15
JB FITNESS GYM,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 87704 83654,N/A,4.8,,"Jb fitness gym Shree banke bihari plaza, near income tax office, City Center, Kailash Vihar, Tulsi Vihar Colony, Gwalior, Madhya Pradesh 474002","City Center, Kailash Vihar, Tulsi Vihar Colony",26.2082648,78.1932162,ChIJA3Al-A7FdjkRQHUb-fmCjMY,https://www.google.com/maps/place/?q=place_id:ChIJA3Al-A7FdjkRQHUb-fmCjMY,part_312,2026-09-20 20:34:15
o2 workout studio,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 62910 19946,N/A,4.7,,"More, near Dhankol, Ramkrishna Pally, Sodepur, Panihati, Kolkata, West Bengal 700114","Ramkrishna Pally, Sodepur",22.695046299999998,88.37481149999999,ChIJsySz4X-d-DkRKfa5fVgYHKM,https://www.google.com/maps/place/?q=place_id:ChIJsySz4X-d-DkRKfa5fVgYHKM,part_312,2026-09-20 20:34:15
DIAMOND MULTI GYM,Gym and Fitness Center,Gym,Gym,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 90734 74227,N/A,4.6,,"Sakher Bazar Market, Rk singh home baliia wale, 107, BPMB Sarani, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.6730739,88.3494693,ChIJ8dPNF--c-DkRsIiZdy4xnBY,https://www.google.com/maps/place/?q=place_id:ChIJ8dPNF--c-DkRsIiZdy4xnBY,part_312,2026-09-20 20:34:15
