business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KritanskillX Digital Services,Local SEO Agencies,Marketing agency,"Marketing agency, Service establishment, Graphic designer, Training center, Website designer",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,https://kritanskillx.com/,5.0,1.0,"KritanskillX Digital Services, 713335, India",713335,25.448387399999998,81.8063942,ChIJg4yoTI5uq40RmI-0KWistYY,https://www.google.com/maps/place/?q=place_id:ChIJg4yoTI5uq40RmI-0KWistYY,part_320,2026-09-20 20:17:32
My Solution Services,Local SEO Agencies,Website designer,"Website designer, Design agency, Software company, Web hosting company",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 90021 84491,https://mysolutionservices.in/,4.9,25.0,"Yamuna Tower, Deshbandhu park, Ground floor, Rupnarayanpur Rd, near Cables Post Office, Rupnaryanpur, Chittaranjan, West Bengal 713386",713335,23.8299383,86.89781409999999,ChIJQc-YJV4n9zkRD7K-oStb83g,https://www.google.com/maps/place/?q=place_id:ChIJQc-YJV4n9zkRD7K-oStb83g,part_320,2026-09-20 20:17:32
WbElysium IT Services,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, E-commerce service, Graphic designer, Marketing consultant, Software company, Web hosting company, Website designer",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 76794 15174,https://wbelysium.in/,5.0,68.0,"GOLAP BAG, Khagragorh, Bardhaman, West Bengal 713104",Khagragorh,23.2603796,87.8475838,ChIJK5MHxss3-DkRtlsPGNL1Wc4,https://www.google.com/maps/place/?q=place_id:ChIJK5MHxss3-DkRtlsPGNL1Wc4,part_320,2026-09-20 20:17:32
Uddhavo – Digital Marketing Agency,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Internet marketing service, Marketing consultant",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 78668 16913,https://www.uddhavo.in/,4.6,11.0,"Sanghati More, CR Das Sarani, Ward 39, Rabindra Sarani, Siliguri, West Bengal 734006","Ward 39, Rabindra Sarani",26.717865999999997,88.4425261,ChIJlfau18BB5DkRjibCB9PlAUY,https://www.google.com/maps/place/?q=place_id:ChIJlfau18BB5DkRjibCB9PlAUY,part_320,2026-09-20 20:17:32
The SEO Dawn - Freelance SEO Services in India,Local SEO Agencies,Internet marketing service,"Internet marketing service, Service establishment",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,https://digitalrankmasters.com/,5.0,5.0,"The SEO Dawn - Freelance SEO Services in India, 713335, India",713335,21.0680074,82.7525294,ChIJNYbMh8WtDDkRXR94bVQUF3Y,https://www.google.com/maps/place/?q=place_id:ChIJNYbMh8WtDDkRXR94bVQUF3Y,part_320,2026-09-20 20:17:32
One Click SEO,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Internet marketing service, Marketing consultant, Web hosting company, Website designer",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,https://oneclickseo.agency/,5.0,35.0,"One Click SEO, 713335, India",713335,29.903546,-89.8876344,ChIJS1ygQYqlIIYRDM-8YG4sHEE,https://www.google.com/maps/place/?q=place_id:ChIJS1ygQYqlIIYRDM-8YG4sHEE,part_320,2026-09-20 20:17:32
Seo specialist,Local SEO Agencies,Marketing consultant,"Marketing consultant, Service establishment",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",0303 8950430,N/A,5.0,3.0,"Seo specialist, 713335, India",713335,30.9658895,70.9501612,ChIJu7_rCbBqGY0RXg89cJVug4o,https://www.google.com/maps/place/?q=place_id:ChIJu7_rCbBqGY0RXg89cJVug4o,part_320,2026-09-20 20:17:32
𝐒𝐄𝐎 𝐌𝐀𝐃𝐄 𝐄𝐀𝐒𝐘,Local SEO Agencies,Marketing agency,"Marketing agency, Educational institution, Internet marketing service, Software Training Institute",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98367 48123,https://seomadeeasy.org/,5.0,202.0,"DB - 45, near CA island, DD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","DD Block, Sector 1, Bidhannagar",22.5924571,88.41266499999999,ChIJJbsDA1F1AjoRH1EVFZfxovg,https://www.google.com/maps/place/?q=place_id:ChIJJbsDA1F1AjoRH1EVFZfxovg,part_320,2026-09-20 20:17:32
SEO SERVICES BY SWETA'S,Local SEO Agencies,Internet marketing service,"Internet marketing service, Branding agency, Business development service, Marketing agency, Marketing consultant, Web hosting company, Website designer",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89818 73455,https://seoservicesbyswetas.in/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile&utm_content=website-button,5.0,12.0,"28, Orphangunj Road, Orpan Gang Market, Alipore, Kolkata, West Bengal 700023","Orpan Gang Market, Alipore",22.5402189,88.3320095,ChIJ6YVOa053AjoR1Fv6EQ5Bb0k,https://www.google.com/maps/place/?q=place_id:ChIJ6YVOa053AjoR1Fv6EQ5Bb0k,part_320,2026-09-20 20:17:32
Simple SEO,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant, Website designer",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98043 29260,https://www.simpleseo.in/,5.0,63.0,"AG 127/1, Talbagan, Sardar Para, Hanapara, Kestopur, Kolkata, West Bengal 700102","Talbagan, Sardar Para, Hanapara, Kestopur",22.598537,88.4318577,ChIJMehVv491AjoRoO679Vd6gI8,https://www.google.com/maps/place/?q=place_id:ChIJMehVv491AjoRoO679Vd6gI8,part_320,2026-09-20 20:17:32
