business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
YUMPTY Retails,Departmental Store,Department store,Department store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 82760 05522,http://www.yumpty.in/,4.5,172.0,"Shop No. P 167B, Jaya Cinema, Lake Town Rd, Bangur Avenue, Block A, Lake Town, South Dumdum, West Bengal 700089","Bangur Avenue, Block A, Lake Town",22.6061695,88.4035277,ChIJsR0mHO91AjoRSLcNCcHXKCQ,https://www.google.com/maps/place/?q=place_id:ChIJsR0mHO91AjoRSLcNCcHXKCQ,part_313,2026-09-20 20:16:54
Jawahar Shop,Departmental Store,Grocery store,"Grocery store, Fish & chips restaurant, Meat products store, Produce market",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.0,54.0,"1067, Purba Sinthi Rd, Purba Sinthi, Dum Dum, South Dumdum, West Bengal 700030","Purba Sinthi, Dum Dum",22.6259347,88.4012961,ChIJB959m-Kd-DkRCtykTbgOx9g,https://www.google.com/maps/place/?q=place_id:ChIJB959m-Kd-DkRCtykTbgOx9g,part_313,2026-09-20 20:16:54
Sanjyoti Departmental Store,Departmental Store,Department store,"Department store, Grocery delivery service",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 82407 48719,N/A,4.6,12.0,"25, Bangur Ave, near Floresence Flower Shop, Block B, Block A, Lake Town, Kolkata, West Bengal 700055","Block B, Block A, Lake Town",22.6078074,88.41076869999999,ChIJE8nUr051AjoRTEdLd2pZ0-s,https://www.google.com/maps/place/?q=place_id:ChIJE8nUr051AjoRTEdLd2pZ0-s,part_313,2026-09-20 20:16:54
Arambagh's Foodmart (Paikpara),Departmental Store,Department store,"Department store, Grocery store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 83369 22147,http://www.arambaghfoodmart.com/,4.2,200.0,"Triveni Enclave, 12D, Northern Ave, Triveni Enclave, Paikpara, Kolkata, West Bengal 700037","Triveni Enclave, Paikpara",22.6154841,88.385239,ChIJpeBVRfSd-DkRqySVg6T-Njo,https://www.google.com/maps/place/?q=place_id:ChIJpeBVRfSd-DkRqySVg6T-Njo,part_313,2026-09-20 20:16:54
Sananda,Departmental Store,Department store,Department store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 33 2522 3356,N/A,4.3,433.0,"P-85, Kalindi Housing Estate, South Dumdum, West Bengal 700089",Kalindi Housing Estate,22.6118351,88.4008527,ChIJ88ZdHQB2AjoRuFAabPZ_47s,https://www.google.com/maps/place/?q=place_id:ChIJ88ZdHQB2AjoRuFAabPZ_47s,part_313,2026-09-20 20:16:54
YUMPTY Retails - The Family Store,Departmental Store,Department store,Department store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 75960 14001,http://www.yumpty.in/,4.5,77.0,"AC 26, AC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","AC Block, Sector 1, Bidhannagar",22.595523,88.4043891,ChIJmxi5BUR1AjoRasgekp7Xeek,https://www.google.com/maps/place/?q=place_id:ChIJmxi5BUR1AjoRasgekp7Xeek,part_313,2026-09-20 20:16:54
The Food Mercado,Departmental Store,Department store,Department store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 70034 04855,N/A,3.0,10.0,"449,Purba Sinthee Road, Dum Dum Rd, Madhugarh, Kolkata, West Bengal 700030","Madhugarh, Purba Sinthi, Dum Dum",22.626796499999998,88.3994529,ChIJ3V-eW6md-DkR0PA4KQ_JBpc,https://www.google.com/maps/place/?q=place_id:ChIJ3V-eW6md-DkR0PA4KQ_JBpc,part_313,2026-09-20 20:16:54
"Rasafa Mart - Grocery Store, Supermarket",Departmental Store,Department store,"Department store, Beverage Store, Cheese shop, Convenience store, Dairy store, Supermarket, Health food store, Indian grocery store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 77559 91995,https://rasafamart.com/,4.9,519.0,"147, H/12, Keshab Chandra Sen St, Machuabazar, Kolkata, West Bengal 700009",Machuabazar,22.5769861,88.3727096,ChIJlaUKjQx3AjoRmozGrv-3V48,https://www.google.com/maps/place/?q=place_id:ChIJlaUKjQx3AjoRmozGrv-3V48,part_313,2026-09-20 20:16:54
Bijay Stores,Departmental Store,Supermarket,Supermarket,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98367 40710,N/A,3.8,27.0,"1535, 1, Purba Sinthi, Dum Dum, South Dumdum, West Bengal 700030","Purba Sinthi, Dum Dum",22.629334,88.403162,ChIJvWmQjgme-DkRP8lnhPvD2jk,https://www.google.com/maps/place/?q=place_id:ChIJvWmQjgme-DkRP8lnhPvD2jk,part_313,2026-09-20 20:16:54
Kolkata Mart,Departmental Store,Department store,Department store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 84202 08333,N/A,4.3,267.0,"Police Station, No. 101/1A, Karaya Rd, opposite Karaya, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","Lower Range, Beck Bagan, Ballygunge",22.5393606,88.3627554,ChIJ4WfG9992AjoRrsi7ebVCqus,https://www.google.com/maps/place/?q=place_id:ChIJ4WfG9992AjoRrsi7ebVCqus,part_313,2026-09-20 20:16:54
Krishna Super Bazar,Departmental Store,Grocery store,Grocery store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.4,178.0,"4A, New Rd, Alipore, Kolkata, West Bengal 700027",Alipore,22.5263295,88.3277872,ChIJe9wGpvZ3AjoRU3Qcg9eeWiY,https://www.google.com/maps/place/?q=place_id:ChIJe9wGpvZ3AjoRU3Qcg9eeWiY,part_313,2026-09-20 20:16:54
Taraknath Variety Stores,Departmental Store,Variety store,"Variety store, Indian grocery store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 84208 95638,N/A,4.7,20.0,"476/1, Purba Sinthi Rd, Madhughar, Dum Dum, Kolkata, West Bengal 700030","Madhughar, Dum Dum",22.6273537,88.4001028,ChIJ80ksQAad-DkRd6EkmN2c7Io,https://www.google.com/maps/place/?q=place_id:ChIJ80ksQAad-DkRd6EkmN2c7Io,part_313,2026-09-20 20:16:54
K Mart Deparmental Stores,Departmental Store,Department store,"Department store, Supermarket",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 89027 67611,N/A,3.9,49.0,"94 A, Muzaffar Ahmed St, Park Street, Kolkata, West Bengal 700016",Park Street,22.553722399999998,88.3584082,ChIJc0xsEUp3AjoRpGXXxZPZnho,https://www.google.com/maps/place/?q=place_id:ChIJc0xsEUp3AjoRpGXXxZPZnho,part_313,2026-09-20 20:16:54
Topsia mega mart,Departmental Store,Grocery store,Grocery store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90733 85609,N/A,3.9,,"86B, 1, Topsia Rd, Topsia, Kolkata, West Bengal 700039",Topsia,22.5350057,88.381515,ChIJ19eV4Oh3AjoRdZ0CJ5WGEwA,https://www.google.com/maps/place/?q=place_id:ChIJ19eV4Oh3AjoRdZ0CJ5WGEwA,part_313,2026-09-20 20:16:54
JAGADHATRI STORES,Departmental Store,Grocery store,Grocery store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90380 58588,N/A,4.5,,"9a, Paikpara Row, near Mig Housing, Paikpara First Row, Paikpara, Kolkata, West Bengal 700037","Paikpara First Row, Paikpara",22.612638399999998,88.3877761,ChIJCQTB3_6d-DkR2arV6UEQo9w,https://www.google.com/maps/place/?q=place_id:ChIJCQTB3_6d-DkR2arV6UEQo9w,part_313,2026-09-20 20:16:54
Dinesh Grocery Store Himgiri Apartment,Departmental Store,Indian grocery store,Indian grocery store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.5,,"J9JV+QHM, Rabindra Nath Tagore Rd, Bediapara, South Dumdum, West Bengal 700077",Bediapara,22.6319688,88.3939205,ChIJazTePvSd-DkRWt4XDb7BbWc,https://www.google.com/maps/place/?q=place_id:ChIJazTePvSd-DkRWt4XDb7BbWc,part_313,2026-09-20 20:16:54
Mahendra Agarwal Store,Departmental Store,Indian grocery store,Indian grocery store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.5,,"24/2/95, Mondal Para Ln, MandalPara, Baranagar, West Bengal 700090","MandalPara, Baranagar",22.6327473,88.3918786,ChIJyxbAeOid-DkR5lQwYeMjDAA,https://www.google.com/maps/place/?q=place_id:ChIJyxbAeOid-DkR5lQwYeMjDAA,part_313,2026-09-20 20:16:54
Spencer's,Departmental Store,Supermarket,"Supermarket, Hypermarket",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 33 4402 5220,http://www.spencersretail.com/,4.2,,"Ste 301, 145, Rash Behari Ave, Gariahat, Kolkata, West Bengal 700029",Gariahat,22.5193369,88.36140929999999,ChIJK6Jj-ip3AjoRINKvqSPGDuM,https://www.google.com/maps/place/?q=place_id:ChIJK6Jj-ip3AjoRINKvqSPGDuM,part_313,2026-09-20 20:16:54
UTILITY RETAILS,Departmental Store,Department store,Department store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90737 78888,N/A,4.7,,"306, 1, Biren Roy Rd E, Sukanta Pally, Behala, Kolkata, West Bengal 700008","Sukanta Pally, Behala",22.4878774,88.3309767,ChIJcdpaB6VxAjoR1EkdEKEUUKE,https://www.google.com/maps/place/?q=place_id:ChIJcdpaB6VxAjoR1EkdEKEUUKE,part_313,2026-09-20 20:16:54
Nitai Bhandar,Departmental Store,Indian grocery store,Indian grocery store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 86209 58420,N/A,4.3,,"J9JW+FCG, Rabindra Nath Tagore Rd, Boro Pukur West, Bediapara, South Dumdum, West Bengal 700077","Boro Pukur West, Bediapara",22.631194,88.39608319999999,ChIJlXZHuOad-DkR2jLB2PtYz3s,https://www.google.com/maps/place/?q=place_id:ChIJlXZHuOad-DkR2jLB2PtYz3s,part_313,2026-09-20 20:16:54
