business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paras Exim,EXIMS,Exporter,"Exporter, Supplier, Import export company",700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",+91 98365 73777,http://www.parasexim.com/,5.0,9.0,"38 Jatin Das Road, 2nd Floor, Shivoham Apartment, near Sai Baba Temple, Kolkata, West Bengal 700029","lake Terrace, Ballygunge",22.5167355,88.3543146,ChIJ528IRFt3AjoR_pcmHpiWoms,https://www.google.com/maps/place/?q=place_id:ChIJ528IRFt3AjoR_pcmHpiWoms,part_312,2026-09-20 20:49:34
Bkc Exim Pvt. Ltd.,EXIMS,Corporate office,Corporate office,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",N/A,N/A,,,"49, 13B, Gariahat Rd, Ballygunge Place, Ballygunge, Kolkata, West Bengal 700019","Ballygunge Place, Ballygunge",22.5279137,88.3662257,ChIJefZeoip3AjoRYWvbq3JzN7s,https://www.google.com/maps/place/?q=place_id:ChIJefZeoip3AjoRYWvbq3JzN7s,part_312,2026-09-20 20:49:34
Kasa Exim pvt. ltd.,EXIMS,Corporate office,Corporate office,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",+91 98316 42577,N/A,5.0,1.0,"6, Andul Raj Rd, Hazra, Kalighat, Kolkata, West Bengal 700026","Hazra, Kalighat",22.522666599999997,88.3473918,ChIJqUP7ozZ3AjoRPjgwcy9BRo8,https://www.google.com/maps/place/?q=place_id:ChIJqUP7ozZ3AjoRPjgwcy9BRo8,part_312,2026-09-20 20:49:34
Mridula Exim,EXIMS,Natural Stone Exporter,Natural Stone Exporter,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",+91 84206 22711,N/A,,,"2nd Floor, 37/B, Garcha Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700019","Dover Terrace, Ballygunge",22.5260684,88.36497539999999,ChIJkxn7DgBxAjoR7f0Dn9lx8G4,https://www.google.com/maps/place/?q=place_id:ChIJkxn7DgBxAjoR7f0Dn9lx8G4,part_312,2026-09-20 20:49:34
Hansraj Exim & Consultancy Private Limited,EXIMS,Corporate office,Corporate office,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",N/A,N/A,4.0,1.0,"12A, Ganga Prasad Mukherjee Rd, Paddapukur, Bhowanipore, Kolkata, West Bengal 700025","Paddapukur, Bhowanipore",22.5317011,88.3465023,ChIJ6cVseQB3AjoRF-oiyJGhZ7Y,https://www.google.com/maps/place/?q=place_id:ChIJ6cVseQB3AjoRF-oiyJGhZ7Y,part_312,2026-09-20 20:49:34
Exim House,EXIMS,Building,Building,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",N/A,N/A,,,"Kalighat, Kolkata, West Bengal 700026",Kalighat,22.523487199999998,88.3461131,ChIJ_RyqjDZ3AjoR07D2utC9sK4,https://www.google.com/maps/place/?q=place_id:ChIJ_RyqjDZ3AjoR07D2utC9sK4,part_312,2026-09-20 20:49:34
"104, Exim House",EXIMS,EXIMS,EXIMS,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",N/A,N/A,,,"Exim House, 1B, Hazra Rd, Kalighat, Kolkata, West Bengal 700026",Kalighat,22.5235283,88.346086,ChIJYzaq9DZ3AjoRLvcTJsS_3G4,https://www.google.com/maps/place/?q=place_id:ChIJYzaq9DZ3AjoRLvcTJsS_3G4,part_312,2026-09-20 20:49:34
AllBox Exim,EXIMS,Exporter,Exporter,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",+91 89107 38461,N/A,,,"1st floor, 15, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","Lower Range, Beck Bagan, Ballygunge",22.537168899999998,88.3640934,ChIJq6puoN92AjoRshYwP_8ed84,https://www.google.com/maps/place/?q=place_id:ChIJq6puoN92AjoRshYwP_8ed84,part_312,2026-09-20 20:49:34
"7, Exim House",EXIMS,EXIMS,EXIMS,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",N/A,N/A,,,"Exim House, 1B, Hazra Rd, Hazra, Kalighat, Kolkata, West Bengal 700026","Hazra, Kalighat",22.5235239,88.346108,ChIJv11U8zZ3AjoRG5Rg11MGg4I,https://www.google.com/maps/place/?q=place_id:ChIJv11U8zZ3AjoRG5Rg11MGg4I,part_312,2026-09-20 20:49:35
Exim Trade Service Private Limited,EXIMS,Store,Store,700019,West Bengal Circle,Kolkata Region,South Kolkata Division,"Ballygunge SO, Ballygunge RS SO, Ballygunge Sc College SO",N/A,N/A,,,"226, 1, AJC Bose Rd, Rowland Row, Ballygunge, Kolkata, West Bengal 700020","Rowland Row, Ballygunge",22.541245999999997,88.3550855,ChIJ2UmKkBh3AjoRc4mH4iSiUkY,https://www.google.com/maps/place/?q=place_id:ChIJ2UmKkBh3AjoRc4mH4iSiUkY,part_312,2026-09-20 20:49:35
