business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chandra Xerox and Online Service,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 70013 20428,N/A,5.0,,"C2FQ+QG8, Daihaat Rd, Bhatar, Madhpur, West Bengal 713125",Bhatar,23.4243985,88.03884,ChIJwYzaRQCt-TkRuTL-YaD5oVs,https://www.google.com/maps/place/?q=place_id:ChIJwYzaRQCt-TkRuTL-YaD5oVs,part_318,2026-09-20 20:47:43
RN DigiTech,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",N/A,N/A,,,"Amarun, Eora Chak, West Bengal 713125",713125,23.369416599999997,87.908464,ChIJt4e2bwC1-TkRqGlHD0XRNIU,https://www.google.com/maps/place/?q=place_id:ChIJt4e2bwC1-TkRqGlHD0XRNIU,part_318,2026-09-20 20:47:43
"Ambika Xerox , CSC CENTER",Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",N/A,N/A,5.0,,"Purba, Daspur, Bardhaman, West Bengal 713125",Purba,23.3186368,87.9209683,ChIJbXz0WgBL-DkR2wJrXeTDvWU,https://www.google.com/maps/place/?q=place_id:ChIJbXz0WgBL-DkR2wJrXeTDvWU,part_318,2026-09-20 20:47:43
MOHAPRABHU ONLINE & VARITIES,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 70478 14254,N/A,5.0,,"Melatala bus stand, Baisnabdanga school road, Bhatar, Kasigram, West Bengal 713125",713125,23.453366199999998,88.03809009999999,ChIJB1DFuW6t-TkRJqnEhJ_sD2c,https://www.google.com/maps/place/?q=place_id:ChIJB1DFuW6t-TkRJqnEhJ_sD2c,part_318,2026-09-20 20:47:43
Kaju Online Cyber Cafe(Paytm KYC point & Banking Sarvice),Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 81590 45602,N/A,5.0,,"15n, Nawada, Amarun, Nawada, West Bengal 713125",Nawada,23.354426999999998,87.9226087,ChIJgWOK-AhL-DkRtVvdsknECSY,https://www.google.com/maps/place/?q=place_id:ChIJgWOK-AhL-DkRtVvdsknECSY,part_318,2026-09-20 20:47:43
"Digital World ,A Cyber Cafe Mirzapur",Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 73849 50740,N/A,4.5,,"Mirzapur, West Bengal 713407",713125,23.2855314,87.8862114,ChIJH2ANHyhL-DkRdWbJyW_XLzQ,https://www.google.com/maps/place/?q=place_id:ChIJH2ANHyhL-DkRdWbJyW_XLzQ,part_318,2026-09-20 20:47:43
MAA DURGA XEROX,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",N/A,N/A,5.0,,"92GJ+MMP, Banui Rd, Banui, West Bengal 713125",713125,23.3767015,88.0317008,ChIJgSALHQCt-TkRBhyjlMWMY4Q,https://www.google.com/maps/place/?q=place_id:ChIJgSALHQCt-TkRBhyjlMWMY4Q,part_318,2026-09-20 20:47:43
Samui Cyber Cafe,Internet Cafe,Online Share Trading Center,Online Share Trading Center,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 70011 27908,N/A,5.0,,"Belgram, Gobardhanpur, West Bengal 713143",713125,23.460398599999998,87.99593809999999,ChIJuS-7GqGz-TkRhp8m-GR4_kY,https://www.google.com/maps/place/?q=place_id:ChIJuS-7GqGz-TkRhp8m-GR4_kY,part_318,2026-09-20 20:47:43
AFRIN CYBER CAFE & MOBILE,Internet Cafe,Internet cafe,"Internet cafe, Electronics store",713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 97322 13292,N/A,4.0,,"bus stand, Karjana Chati, Katwa - Bardhaman Rd, Karjjana, West Bengal 713125",713125,23.3570845,87.89237399999999,ChIJ4xppwrBL-DkR-I4XelY_0mQ,https://www.google.com/maps/place/?q=place_id:ChIJ4xppwrBL-DkR-I4XelY_0mQ,part_318,2026-09-20 20:47:43
VIVEKANANDA SAMADHAN KENDRA,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",N/A,N/A,5.0,,"Susunia school more, maldanga road, Malamba, Manteswar, West Bengal 713125",713125,23.3805733,88.07344169999999,ChIJh37nM8yt-TkRu-Sc9kWyJgc,https://www.google.com/maps/place/?q=place_id:ChIJh37nM8yt-TkRu-Sc9kWyJgc,part_318,2026-09-20 20:47:43
JAYGURU E SHOP CYBERCAFE & PAPER CENTRE,Internet Cafe,Cafe,Cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",N/A,N/A,4.8,,"Bamunia Bazar, Kuljora More, Memari - Maldanga Rd, Memari, West Bengal 713422",713125,23.340127,88.1415427,ChIJq5eAFulV-DkRa8gekrdyabQ,https://www.google.com/maps/place/?q=place_id:ChIJq5eAFulV-DkRa8gekrdyabQ,part_318,2026-09-20 20:47:44
BD ONLINE,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 99330 08806,N/A,5.0,,"Barasati, West Bengal 713125",713125,23.3170687,87.9169714,ChIJ7YUyRQBL-DkRt-kisbVTDEU,https://www.google.com/maps/place/?q=place_id:ChIJ7YUyRQBL-DkRt-kisbVTDEU,part_318,2026-09-20 20:47:44
ARJUN DIGITAL POINT,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",+91 78649 99030,N/A,5.0,,"827Q+CGJ, Faridpur, West Bengal 713426",713125,23.313585099999997,88.038754,ChIJs3veMwBT-DkRffkeE8cSyXA,https://www.google.com/maps/place/?q=place_id:ChIJs3veMwBT-DkRffkeE8cSyXA,part_318,2026-09-20 20:47:44
NEW JOYDURGA ONLINE,Internet Cafe,Internet cafe,Internet cafe,713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO",N/A,N/A,,,"9W7P+9JH, Amarun, West Bengal 713125",713125,23.363436,87.9366034,ChIJnWyBbwBN-DkRpNqCkiaGwLk,https://www.google.com/maps/place/?q=place_id:ChIJnWyBbwBN-DkRpNqCkiaGwLk,part_318,2026-09-20 20:47:45
