business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GREEN BENGAL DEF SHOP,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5.0,,"NH19, Deule, West Bengal 713151",713124,23.158954899999998,88.0335224,ChIJjZghlVZb-DkRfXul4zWUj70,https://www.google.com/maps/place/?q=place_id:ChIJjZghlVZb-DkRfXul4zWUj70,part_318,2026-09-20 20:46:46
SAKTIGARH AUTOMOBILE STORES,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 94340 14365,N/A,5.0,,"purba, A12, near Gas Office, Saktigarh, Bardhaman, West Bengal 713149",713124,23.2034634,87.9738955,ChIJAUd7I0RP-DkRFcgnahAmzi4,https://www.google.com/maps/place/?q=place_id:ChIJAUd7I0RP-DkRFcgnahAmzi4,part_318,2026-09-20 20:46:46
K S AUTO PARTS AN MONDAL ENTERPRISE,Auto Spare Parts Shop,Auto repair shop,"Auto repair shop, Auto parts store",713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5.0,,"Ajhapur Chomatha More NH2 KOLKATA, ROAD, near MANISHA HOTEL, Durgapur, Ajhapur, West Bengal 713166",713124,23.1291306,88.05376869999999,ChIJJ4ZlIABb-DkRkJIioXtXxUw,https://www.google.com/maps/place/?q=place_id:ChIJJ4ZlIABb-DkRkJIioXtXxUw,part_318,2026-09-20 20:46:46
HS AUTOMOBILE,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 62968 44966,N/A,5.0,,"NH 2 Bypass, Purba, Saktigarh, Bardhaman, West Bengal 713124",Purba,23.197735599999998,87.9675398,ChIJkZXtMwhP-DkRYQIKUWoHjpw,https://www.google.com/maps/place/?q=place_id:ChIJkZXtMwhP-DkRYQIKUWoHjpw,part_318,2026-09-20 20:46:46
RAKSHA KALI AUTO PARTS,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 70019 96112,N/A,5.0,,"MEMARI TARAKESWER ROAD, Ajhapur, West Bengal 713401",713124,23.132007299999998,88.0518654,ChIJpwoylYlb-DkRC2j4Cugzig4,https://www.google.com/maps/place/?q=place_id:ChIJpwoylYlb-DkRC2j4Cugzig4,part_318,2026-09-20 20:46:46
Paribar Automobiles TATA Castrol,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 93339 89500,https://www.paribarautomobiles.link/,4.6,,"Unnamed Road, 713124, Saktigarh, West Bengal 713149",713124,23.19766,87.9694171,ChIJU4EvczFP-DkR6AMVH2se0Y4,https://www.google.com/maps/place/?q=place_id:ChIJU4EvczFP-DkR6AMVH2se0Y4,part_318,2026-09-20 20:46:46
Destiny Auto Enterprises,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 80167 48405,N/A,5.0,,"Sultanbad,P.O, near Ararat club, Teandul, Dhamas, West Bengal 713424",713124,23.1415465,87.9392386,ChIJGRFieo9F-DkRSxqB5Lk5XRY,https://www.google.com/maps/place/?q=place_id:ChIJGRFieo9F-DkRSxqB5Lk5XRY,part_318,2026-09-20 20:46:46
New S.N. Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 98321 12580,N/A,,,"6WC2+2P5, Ulhas, Pamra, West Bengal 713103",713124,23.2200143,87.9018591,ChIJsQ2CfABJ-DkRZwkYEkR6AZI,https://www.google.com/maps/place/?q=place_id:ChIJsQ2CfABJ-DkRZwkYEkR6AZI,part_318,2026-09-20 20:46:46
Bishokarma Auto Parts,Auto Spare Parts Shop,Auto repair shop,Auto repair shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 93333 43922,N/A,4.0,,"Road, Rasulpur, Daluibazar, West Bengal 713151",713124,23.1847718,88.0229504,ChIJVW5Kv-5R-DkRK6dIP_V3td8,https://www.google.com/maps/place/?q=place_id:ChIJVW5Kv-5R-DkRK6dIP_V3td8,part_318,2026-09-20 20:46:46
AZAD BEARING,Auto Spare Parts Shop,Store,Store,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 96414 63513,N/A,4.8,,"NH2, Ajhapur, West Bengal 713401",713124,23.1302698,88.0498118,ChIJeYH7q7pb-DkRq3aOXGzlnok,https://www.google.com/maps/place/?q=place_id:ChIJeYH7q7pb-DkRq3aOXGzlnok,part_318,2026-09-20 20:46:46
