business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Soul Yoga and Fitness School (Aerobics Zumba),Yoga Center,Yoga studio,"Yoga studio, Fitness center, Gymnastics club",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 98755 82837,N/A,4.8,,"Rc/33, Bireshpally, Raghunathpur, Baguiati, Kolkata, West Bengal 700059","Bireshpally, Raghunathpur, Baguiati",22.6215126,88.43079809999999,ChIJc5K7ocyf-DkR3aSVZVjVLsk,https://www.google.com/maps/place/?q=place_id:ChIJc5K7ocyf-DkR3aSVZVjVLsk,part_313,2026-09-20 20:33:23
Yoga and More,Yoga Center,Yoga studio,"Yoga studio, Yoga Retreat Center, Yoga instructor",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 90885 08210,N/A,4.9,,"Old Jessore Rd, Ganganagar, Doharia Shailesh Nagar, Chandigarh, Madhyamgram, Kolkata, West Bengal 700132","Ganganagar, Doharia Shailesh Nagar, Chandigarh, Madhyamgram",22.6745148,88.45969649999999,ChIJUQbYYy6f-DkReZPSM91S68g,https://www.google.com/maps/place/?q=place_id:ChIJUQbYYy6f-DkReZPSM91S68g,part_313,2026-09-20 20:33:23
Sai Yoga & Wellness Centre,Yoga Center,Yoga studio,Yoga studio,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 89814 34777,https://www.facebook.com/profile.php?id=61559215448528,4.8,,"Sai Residency, Jhawtala Road, Hatiara, Baguiati, Kolkata, West Bengal 700157","Hatiara, Baguiati",22.619760799999998,88.44316049999999,ChIJ1SocJqmf-DkRZ_DpX4UP9jU,https://www.google.com/maps/place/?q=place_id:ChIJ1SocJqmf-DkRZ_DpX4UP9jU,part_313,2026-09-20 20:33:23
Jyoti One Step Yoga,Yoga Center,Yoga studio,Yoga studio,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 70033 11408,https://one-step-yoga.grexa.site/,4.9,,"2nd floor, Aarogya Homio clinic, CHECK POST, 259/6, Rajarhat Main Rd, near Atghara, Gopalpur I, Dash Drone, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Dash Drone, Rajarhat",22.6279664,88.44602259999999,ChIJOUnDwEuf-DkR7iFcnXKJcFE,https://www.google.com/maps/place/?q=place_id:ChIJOUnDwEuf-DkR7iFcnXKJcFE,part_313,2026-09-20 20:33:23
Yoga with Akriti,Yoga Center,Yoga studio,"Yoga studio, Yoga instructor",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 97691 57239,http://yogawithakriti.com/,5.0,,"Tower 3, Uttara Tritiya, 901, Rajarhat, Kolkata, West Bengal 700161","Action Area II, Action Area IID, Rajarhat",22.624376899999998,88.4518054,ChIJRWW0LLALAjoRBM5xiFH0yvc,https://www.google.com/maps/place/?q=place_id:ChIJRWW0LLALAjoRBM5xiFH0yvc,part_313,2026-09-20 20:33:23
YOGA FOR ALL | DONABOSE(Certified Yoga Instructor),Yoga Center,Yoga instructor,Yoga instructor,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 89102 65836,N/A,5.0,,"Ft, Narayanpur, Babupara, Kolkata, West Bengal 700136","Gopalpur I, Narayanpur, Babupara",22.6473205,88.45801279999999,ChIJ81RUQ9Gf-DkRMuP_qqJjeGI,https://www.google.com/maps/place/?q=place_id:ChIJ81RUQ9Gf-DkRMuP_qqJjeGI,part_313,2026-09-20 20:33:23
Swastik Zumba and Yoga Fitness Center,Yoga Center,Yoga studio,"Yoga studio, Fitness center",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 80134 65423,https://www.facebook.com/share/1FA9Vq3axd/,4.9,,"Chitra Abasan,RG23, Sarkar Bagan, Raghunathpur, Arjunpur, Tegharia, Kolkata, West Bengal 700059","Raghunathpur, Tegharia, Kaikhali",22.6241304,88.4291848,ChIJtSdnJACf-DkRVrTfClRlzQ8,https://www.google.com/maps/place/?q=place_id:ChIJtSdnJACf-DkRVrTfClRlzQ8,part_313,2026-09-20 20:33:23
''Peace of Mind'' Yoga & Fitness Club,Yoga Center,Yoga instructor,Yoga instructor,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 87775 04102,http://peaceofmindyoga2.blogspot.com/,5.0,,"I/h/10-6, pubali, Ashwini Nagar, Baguiati, Kolkata, West Bengal 700159","pubali, Ashwini Nagar, Baguiati",22.6069495,88.4314914,ChIJk9aTYPt1AjoRocaUoC15dHw,https://www.google.com/maps/place/?q=place_id:ChIJk9aTYPt1AjoRocaUoC15dHw,part_313,2026-09-20 20:33:23
Om Sai Yoga and Healing Nest,Yoga Center,Yoga studio,Yoga studio,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 89109 23563,N/A,5.0,,"Sangati Apartment, 13/4, Raghunathpur N Rd, near Space Tower, Haldirams, Arjunpur, Kaikhali, Kolkata, West Bengal 700059","Haldirams, Arjunpur, Kaikhali",22.626466699999998,88.4286442,ChIJlab-JT5hv4YRijV1OCpPlX4,https://www.google.com/maps/place/?q=place_id:ChIJlab-JT5hv4YRijV1OCpPlX4,part_313,2026-09-20 20:33:23
Yoga delight with dipa,Yoga Center,Yoga studio,Yoga studio,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 62900 35143,N/A,4.8,,"Methopara Sukanta Sarani, Doltala Rd, near Shib Mandir, West Bengal 700132","Doharia Shailesh Nagar, Chandigarh, Madhyamgram",22.678134399999998,88.4597435,ChIJs7akr1-f-DkRMJhe82rsh7Y,https://www.google.com/maps/place/?q=place_id:ChIJs7akr1-f-DkRMJhe82rsh7Y,part_313,2026-09-20 20:33:23
AYURVEDIC SANGRAHALAY ( Yoga Instructor At Home Services ),Yoga Center,Yoga instructor,"Yoga instructor, Gymnastics club, Physiotherapist",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 89811 50017,N/A,4.9,,"City Centre 2, Noapara, Action Area IID, Rajarhat, Kolkata, West Bengal 700157","Noapara, Action Area IID, Rajarhat",22.622744599999997,88.45025869999999,ChIJv4sIteSf-DkRLrFgwRBKEnQ,https://www.google.com/maps/place/?q=place_id:ChIJv4sIteSf-DkRLrFgwRBKEnQ,part_313,2026-09-20 20:33:23
Yoga with Neha,Yoga Center,Yoga studio,Yoga studio,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 88250 54457,N/A,5.0,,"Lalkuthi partho nogori, Narayanpur Rd, gopalpur, Kolkata, West Bengal 700136","Gopalpur I, Narayanpur, gopalpur",22.648007099999997,88.4577461,ChIJQ5M1v0Cf-DkRNcIlz4zHoZ0,https://www.google.com/maps/place/?q=place_id:ChIJQ5M1v0Cf-DkRNcIlz4zHoZ0,part_313,2026-09-20 20:33:23
GuruBandan Yoga & Acupressure Centre,Yoga Center,Yoga studio,"Yoga studio, Acupuncture clinic, Acupuncture school, Meditation center, Meditation Class, Physical fitness program, Yoga instructor, Yoga Retreat Center",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 90738 19278,https://gurubandan.com/,4.9,,"Madhyamgram Station Rd, Basunagar, Madhyamgram, West Bengal 700129","Basunagar, Madhyamgram",22.6955354,88.4544646,ChIJzxu4f4Kf-DkROnykijFEMzM,https://www.google.com/maps/place/?q=place_id:ChIJzxu4f4Kf-DkROnykijFEMzM,part_313,2026-09-20 20:33:24
Yogaragya,Yoga Center,Yoga studio,Yoga studio,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 91238 23453,N/A,4.9,,"271, Sarat Chatterjee Rd, Agapur, New Barrackpur, Kolkata, West Bengal 700131","Agapur, New Barrackpur",22.6883368,88.4453487,ChIJieSdSuuf-DkRRXnZU1cyrWk,https://www.google.com/maps/place/?q=place_id:ChIJieSdSuuf-DkRRXnZU1cyrWk,part_313,2026-09-20 20:33:24
"Sai Yoga , Naturopathy & Panchakarma Centre",Yoga Center,Yoga Retreat Center,"Yoga Retreat Center, Ayurvedic clinic, Yoga instructor",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 94324 74054,N/A,5.0,55.0,"Sai Kutir, Chak Kanthalia Madhya Para, Near Dishari Sangha Club, P.O- Sewli Telenipara, Mohan Pur, Titagarh, West Bengal 700121",Mohan Pur,22.7593159,88.3910989,ChIJacZzfZ6b-DkR0-vfesFaq00,https://www.google.com/maps/place/?q=place_id:ChIJacZzfZ6b-DkR0-vfesFaq00,part_313,2026-09-20 20:33:25
