business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Swaad Eventplanner,Caterer and Event Planner,Caterer,Caterer,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 82403 63616,N/A,5.0,,"can't, Sarat Bose Rd, Dum Dum Cantonment, Subhash Nagar, Kolkata, West Bengal 700065","Dum Dum Cantonment, Subhash Nagar",22.633572299999997,88.4076972,ChIJc5_H-BWf-DkRAwimnuU3VTw,https://www.google.com/maps/place/?q=place_id:ChIJc5_H-BWf-DkRAwimnuU3VTw,part_312,2026-09-20 20:56:48
MPS CATERER AND EVENT PLANNER,Caterer and Event Planner,Caterer,Caterer,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,,"RENUKALOY APARTMENT, 377, PK Guha Rd, Arabinda Sarani, Rajbari, Dum Dum, Kolkata, West Bengal 700028","Arabinda Sarani, Rajbari, Dum Dum",22.6415193,88.4176349,ChIJL0Tg8f2f-DkRx9Ls5e43ok0,https://www.google.com/maps/place/?q=place_id:ChIJL0Tg8f2f-DkRx9Ls5e43ok0,part_312,2026-09-20 20:56:48
Rupashi Decorator and Caterer,Caterer and Event Planner,Event management company,Event management company,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,5.0,,"Mondal Ganthi, Biswaspara Rd, near 02 Hotel, Kolkata, West Bengal 700052","kolkata Airport Quarters, Dum Dum",22.634094299999997,88.4307359,ChIJf5pRFeuf-DkRonx-wgaRirU,https://www.google.com/maps/place/?q=place_id:ChIJf5pRFeuf-DkRonx-wgaRirU,part_312,2026-09-20 20:56:48
Moments Makker Catering & Events,Caterer and Event Planner,Wedding planner,"Wedding planner, Catering food and drink supplier, Restaurant supply store, Event management company",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 60038 63021,https://moments-makker-catering.grexa.site/,5.0,,"Airport 2 No. Gate, 2, nr. Suravi Ghee Factory, Motilal Colony, Kolkata, West Bengal 700081","Motilal Colony, Rajbari, Dum Dum",22.6488423,88.43425889999999,ChIJ4VnD382f-DkRHx0LbiYPxhA,https://www.google.com/maps/place/?q=place_id:ChIJ4VnD382f-DkRHx0LbiYPxhA,part_312,2026-09-20 20:56:48
Maya Caterers And Decorators,Caterer and Event Planner,Event management company,Event management company,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,https://mcdevent.in/,4.9,,"Surath Apartment, DA 3/5, Shastri Bagan, Joramandir, Baguiati, Kolkata, West Bengal 700059","Shastri Bagan, Joramandir, Baguiati",22.6127568,88.4281117,ChIJm4exttCf-DkR0zIZ5kQTHko,https://www.google.com/maps/place/?q=place_id:ChIJm4exttCf-DkR0zIZ5kQTHko,part_312,2026-09-20 20:56:48
Subham event management and subham caterers,Caterer and Event Planner,Event planner,"Event planner, Caterer, Wedding planner",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 99037 38402,N/A,4.3,,"50, 29, Mall Rd, K.B.Sarani, Golpark, Dum Dum, North Dumdum, West Bengal 700080","K.B.Sarani, Golpark, Dum Dum",22.629441,88.4236317,ChIJdYBtzD2e-DkRCSWzzw6Zoqo,https://www.google.com/maps/place/?q=place_id:ChIJdYBtzD2e-DkRCSWzzw6Zoqo,part_312,2026-09-20 20:56:48
Royal Caterer & Event Management,Caterer and Event Planner,Event planner,"Event planner, Catering",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 99030 59849,N/A,3.0,,"10/15, DumDum, Kabi Bharat Chandra Rd, Kamardanga, Kolkata, West Bengal 700028","Nagerbazar, Kamardanga",22.620672,88.4211061,ChIJAWnufiKe-DkRlFU5FQ7HrNc,https://www.google.com/maps/place/?q=place_id:ChIJAWnufiKe-DkRlFU5FQ7HrNc,part_312,2026-09-20 20:56:48
Shubharambhh Catering Unit,Caterer and Event Planner,Caterer,Caterer,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 62906 72406,N/A,5.0,,"38, Sapuipara Road, Kalibari Rd, near Sidheswari, Kolkata, West Bengal 700079","Sapui Para, Rajbari, Dum Dum",22.645293499999998,88.4237926,ChIJixbKMfWf-DkRmxPHQy5PJ2I,https://www.google.com/maps/place/?q=place_id:ChIJixbKMfWf-DkRmxPHQy5PJ2I,part_312,2026-09-20 20:56:48
Aharadi Catering,Caterer and Event Planner,Caterer,"Caterer, Corporate office, Wedding buffet",700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",+91 98311 11243,https://www.aharadicatering.com/,4.9,,"470, Dum Dum Park, Kolkata, West Bengal 700055",Dum Dum Park,22.6107692,88.4150646,ChIJH3W5U5d1AjoR6adEpzBNwgM,https://www.google.com/maps/place/?q=place_id:ChIJH3W5U5d1AjoR6adEpzBNwgM,part_312,2026-09-20 20:56:48
Rupam Caterer,Caterer and Event Planner,Caterer,Caterer,700028,West Bengal Circle,Kolkata Region,Kolkata North Division,"Dumdum SO, Jugipara Satganchi SO, Kamalapur SO",N/A,N/A,4.9,,"Ward No-24, Plot No 43/1, near by North Dum Dum, Narayan Pally, Durganagar, Nimta, Kolkata, North Dumdum, West Bengal 700049","Narayan Pally, Durganagar, Nimta",22.6538649,88.415032,ChIJpeb5-Qef-DkRv-goy0VUj6Q,https://www.google.com/maps/place/?q=place_id:ChIJpeb5-Qef-DkRv-goy0VUj6Q,part_312,2026-09-20 20:56:48
