business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
A.G Noma Furniture & Appliances,Furniture Showroom,Furniture store,Furniture store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 94962 36682,https://www.instagram.com/invites/contact/?i=bqx5ojtfxuv6&utm_content=p7mcczi,5.0,1012.0,"near M.T Theatre and Auditorium, Pothencode Junction, Pothencode, Keralam 695584",Pothencode Junction,8.6182954,76.8983437,ChIJ9-go_qLABTsRiG1YnCoGHo4,https://www.google.com/maps/place/?q=place_id:ChIJ9-go_qLABTsRiG1YnCoGHo4,part_312,2026-09-20 20:17:18,2967
Royaloak Furniture Trivandrum,Furniture Showroom,Furniture store,"Furniture store, Bedroom furniture store, Furniture accessories, Garden Furniture Store, Home improvement store, Kitchen furniture store, Mattress store, Office furniture store, Outdoor furniture store, Sofa store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80 4595 2128,https://stores.royaloakindia.com/royaloak-furniture-trivandrum-2-home-furniture-shop-kulathoor-thiruvananthapuram-470958/Home,4.7,859.0,"opp. UST GLOBAL INFOSYS, near Canara Bank, CHITHIRANAGAR, Kulathoor, Thiruvananthapuram, Keralam 695583","CHITHIRANAGAR, Kulathoor",8.5374114,76.8792443,ChIJkaZqjvy_BTsRdde85rqfUW8,https://www.google.com/maps/place/?q=place_id:ChIJkaZqjvy_BTsRdde85rqfUW8,part_312,2026-09-20 20:17:18,2968
Dependo Home Appliances & Furniture,Furniture Showroom,Furniture store,"Furniture store, Appliance store, Furniture wholesaler",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 99465 27907,N/A,4.9,109.0,"Sainik School P،O, near Kinfra Park, Kazhakkoottam, Thiruvananthapuram, Keralam 695585",695585,8.5880335,76.8780706,ChIJ_6AiV0W_BTsRlnHAgDnSeCs,https://www.google.com/maps/place/?q=place_id:ChIJ_6AiV0W_BTsRlnHAgDnSeCs,part_312,2026-09-20 20:17:18,2969
POPULAR FURNITURE,Furniture Showroom,Furniture store,"Furniture store, Mattress store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 94472 44160,N/A,3.9,78.0,"Kazhakuttam, Popular, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Popular",8.5715944,76.87044639999999,ChIJ2RremKa7BTsRpkwhWxmoxuQ,https://www.google.com/maps/place/?q=place_id:ChIJ2RremKa7BTsRpkwhWxmoxuQ,part_312,2026-09-20 20:17:18,2970
Teak Town Furniture Factory Outlet,Furniture Showroom,Furniture store,Furniture store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,3.6,7.0,"Amballoor- Chanthavila Rd, Chanaikonam, Kazhakkoottam, Thiruvananthapuram, Keralam 695585",Chanaikonam,8.5871667,76.8718675,ChIJD7rm08C_BTsRp_kVxPLOvPk,https://www.google.com/maps/place/?q=place_id:ChIJD7rm08C_BTsRp_kVxPLOvPk,part_312,2026-09-20 20:17:18,2971
The Babushka Store,Furniture Showroom,Furniture store,"Furniture store, Architectural designer, Architecture firm, Cane furniture store, Interior designer, Rustic furniture store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 73065 40496,https://instagram.com/thebabushkastore?igshid=MzRlODBiNWFlZA==,5.0,12.0,"Kinfra Film and Video Park, PO, Chanthavila, Kazhakkoottam, Keralam 695585",695585,8.5866929,76.8769423,ChIJ1wCGXCW_BTsRshSoU19vGGg,https://www.google.com/maps/place/?q=place_id:ChIJ1wCGXCW_BTsRshSoU19vGGg,part_312,2026-09-20 20:17:18,2972
Adiya Fathima Furniture,Furniture Showroom,Furniture store,Furniture store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 81118 32228,N/A,4.2,33.0,"JW92+W92, Melemukku, Pothencode, Keezhthonnakkal, Kerala 695584",Melemukku,8.6197688,76.9008762,ChIJxxFFWKPABTsRyKFMDyqxuTQ,https://www.google.com/maps/place/?q=place_id:ChIJxxFFWKPABTsRyKFMDyqxuTQ,part_312,2026-09-20 20:17:18,2973
Damro Furniture Trivandrum,Furniture Showroom,Furniture store,"Furniture store, Bed shop, Furniture accessories, Furniture maker, Furniture Manufacturer, Mattress store, Office furniture store, Office supply store, Sofa store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 92077 33079,https://www.damroindia.com/showroom/Trivandrum/DamroFurnitureTrivandrum,4.9,252.0,"D.no. 1598/5,6,7,8,9,10,N.H. Road Veliayani Jn, Nemom, Keralam 695020",695585,8.4596251,76.99632059999999,ChIJiw9TvD-7BTsRGzClZSMD18U,https://www.google.com/maps/place/?q=place_id:ChIJiw9TvD-7BTsRGzClZSMD18U,part_312,2026-09-20 20:17:18,2974
Teakwood furniture,Furniture Showroom,Furniture store,Furniture store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 91884 33075,N/A,4.0,8.0,"HVM8+JQJ, Pazhaya Vettu Rd, Thiruvananthapuram, Kaniyapuram, Keralam 695585",695585,8.5839608,76.8670283,ChIJJ-pRxb2_BTsR2IkKQkJPMU8,https://www.google.com/maps/place/?q=place_id:ChIJJ-pRxb2_BTsR2IkKQkJPMU8,part_312,2026-09-20 20:17:18,2975
Antique Home Decor,Furniture Showroom,Furniture store,"Furniture store, Antique furniture store, Antique store, Furniture maker, Interior designer",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 98463 63300,http://www.ahdfurniture.com/,4.8,287.0,"TC - 17/1411(5), Gangothri Buildings, Nr. Chattambi Swami Temple, Poojapura, Thiruvananthapuram, Keralam 695012","Kesari Nagar, Poojapura",8.4961974,76.9793333,ChIJC_cT5US6BTsRGCEs4pMJsls,https://www.google.com/maps/place/?q=place_id:ChIJC_cT5US6BTsRGCEs4pMJsls,part_312,2026-09-20 20:17:18,2976
Thomson Furniture,Furniture Showroom,Furniture store,"Furniture store, Bedroom furniture store, Furniture accessories, Garden Furniture Store, Home improvement store, Kitchen furniture store, Mattress store, Office furniture store, Outdoor furniture store, Sofa store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 95266 11221,https://thomsonfurniture.in/,4.4,712.0,"Cordial Emerald, Kesavadasapuram-Ulloor Rd, Aiswarya Nagar, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Aiswarya Nagar, Kesavadasapuram",8.5293198,76.9357455,ChIJKT7_jbu5BTsR0Lac5qNds0I,https://www.google.com/maps/place/?q=place_id:ChIJKT7_jbu5BTsR0Lac5qNds0I,part_312,2026-09-20 20:17:18,2977
"Mayoori Furniture, Electronics and Home Appliancesn",Furniture Showroom,Bedroom furniture store,"Bedroom furniture store, Appliance store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 79027 00600,https://mayoorihome.com/,4.5,3586.0,"Trivandrum Vizhinjam Rd, Manacaud, Thiruvananthapuram, Keralam 695009",Manacaud,8.4726682,76.9477112,ChIJc6yGDQ67BTsRb5oyEZy0JQ8,https://www.google.com/maps/place/?q=place_id:ChIJc6yGDQ67BTsRb5oyEZy0JQ8,part_312,2026-09-20 20:17:18,2978
Innova Furniture Palace,Furniture Showroom,Furniture store,"Furniture store, Home goods store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80783 96281,N/A,4.3,196.0,"4, Rajdhani Hotel, 492, Peroorkada Rd, near Windsor, Toll Junction, Ambalamukku, Thiruvananthapuram, Keralam 695003","Toll Junction, Ambalamukku",8.5291429,76.9603996,ChIJo2L77365BTsRRA_YJlLTEt8,https://www.google.com/maps/place/?q=place_id:ChIJo2L77365BTsRRA_YJlLTEt8,part_312,2026-09-20 20:17:18,2979
Movable,Furniture Showroom,Furniture store,Furniture store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 90740 48736,http://www.movablefurniture.in/,4.1,601.0,"MOVABLE , NH Bypass Road, VENPALAVATTOM, near South park maruthi showroom, opposite Lords Hospital Junction, Chacka, Thiruvananthapuram, Keralam 695029",Chacka,8.5041342,76.9103913,ChIJGUAmvwy8BTsR4hR6i40s6pg,https://www.google.com/maps/place/?q=place_id:ChIJGUAmvwy8BTsR4hR6i40s6pg,part_312,2026-09-20 20:17:18,2980
