business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Architect Hafeez Contractor,Architects,Architect,"Architect, Architecture firm, Interior designer, Landscape architect",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 22 2266 1920,http://www.hafeezcontractor.com/,4.4,,"1st Floor, B-29, Sonawala Building, 29 Bankstreet, Nyaymurti G. N. Vaidya Road, Fort, Mumbai, Maharashtra 400001","Kala Ghoda, Fort",18.9302249,72.8348403,ChIJRVR9ciHP5zsR18FL-XqRES0,https://www.google.com/maps/place/?q=place_id:ChIJRVR9ciHP5zsR18FL-XqRES0,part_312,2026-09-20 20:34:23
Maithel & Associates Architects,Architects,Architect,Architect,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 141 429 9999,http://www.maarchitects.in/,4.6,,"R-4, near IOCL Petrol Pump (MNG GROUP, Jyothi Nagar, Lalkothi, Jaipur, Rajasthan 302015","Jyothi Nagar, Lalkothi",26.8984363,75.7937768,ChIJ____vym0bTkR_DvjjIXqY6U,https://www.google.com/maps/place/?q=place_id:ChIJ____vym0bTkR_DvjjIXqY6U,part_312,2026-09-20 20:34:23
K Seal & Associates,Architects,Corporate office,Corporate office,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",N/A,N/A,4.5,,"22 A, Raja Nabakrishna St, Raja Nabakrishna Street, Sovabazar, Hatkhola, Kolkata, West Bengal 700005","Raja Nabakrishna Street, Sovabazar, Hatkhola",22.5964153,88.36695619999999,ChIJHbtwyzJ2AjoRnHMKexT6wSc,https://www.google.com/maps/place/?q=place_id:ChIJHbtwyzJ2AjoRnHMKexT6wSc,part_312,2026-09-20 20:34:23
Edifice Consultants Pvt. Ltd,Architects,Architect,"Architect, Architecture firm, Interior designer",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 22 6155 1111,http://www.edifice.co.in/,4.6,,"First Floor, Ujagar Infotech Park, Bus Depot, Plot #2A, opposite Deonar, MBPT Colony, Sunder Baug, Govandi East, Mumbai, Maharashtra 400088","MBPT Colony, Sunder Baug, Govandi East",19.047003099999998,72.9106048,ChIJuRykPg7G5zsRaIw5O5KinR0,https://www.google.com/maps/place/?q=place_id:ChIJuRykPg7G5zsRaIw5O5KinR0,part_312,2026-09-20 20:34:23
Synectics Architects,Architects,Architect,"Architect, Architecture firm, Architects association, Architectural designer, Interior architect office",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 90963 19993,https://synecticsarchitects.com/,4.8,,"Flat no. D-01, Ground Floor, Bhargav apartment, Gangapur Rd, behind Akashwani Tower, Nashik, Maharashtra 422013","Pratiksha Society, Purnvad Nagar",20.016194199999997,73.75894079999999,ChIJ25rgfBvr3TsRZh5QqQfSXjY,https://www.google.com/maps/place/?q=place_id:ChIJ25rgfBvr3TsRZh5QqQfSXjY,part_312,2026-09-20 20:34:23
RC Architecture,Architects,Architecture firm,"Architecture firm, Interior designer",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 80 4937 8800,http://www.rapidcorpindia.com/,4.5,,"16, Serpentine St, Richmond Town, Bengaluru, Karnataka 560025",Richmond Town,12.9638583,77.6036748,ChIJMZPfRtQVrjsRR9QbGf-rPsI,https://www.google.com/maps/place/?q=place_id:ChIJMZPfRtQVrjsRR9QbGf-rPsI,part_312,2026-09-20 20:34:23
IMK ARCHITECTS,Architects,Architect,Architect,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 22 4050 6666,http://imkarchitects.com/,4.8,,"Shivsagar Estate, 4A, Dr Annie Besant Rd, Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018","Shiv Sagar Estate, Worli",18.9885292,72.8133776,ChIJKzLGoYfO5zsRZIg4sdnP37w,https://www.google.com/maps/place/?q=place_id:ChIJKzLGoYfO5zsRZIg4sdnP37w,part_312,2026-09-20 20:34:23
Ansari Architects,Architects,Architect,"Architect, Architectural designer, Architecture firm, Interior architect office, Interior Decorator, Interior designer",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 82489 14643,http://www.ansariandassociates.com/,4.9,,"Ansari One Building 1/1 Habibullah Rd, 3rd St, near Nadigar Sangam, opp. Ambur Canteen, T. Nagar, Chennai, Tamil Nadu 600017","Gangai Karai Puram, T. Nagar",13.049138099999999,80.2447009,ChIJ96k0MEVmUjoRptxWAd5nq54,https://www.google.com/maps/place/?q=place_id:ChIJ96k0MEVmUjoRptxWAd5nq54,part_312,2026-09-20 20:34:23
Ashwin Architects,Architects,Architect,Architect,700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 70265 24524,http://www.ashwinarchitects.com/,4.3,,"Ashwin Architects, 23, Ratna Villas Road, Basavanagudi, Bengaluru, Karnataka 560004",Basavanagudi,12.9381113,77.57358409999999,ChIJMfsv_JEVrjsRfEOMuyZaQW4,https://www.google.com/maps/place/?q=place_id:ChIJMfsv_JEVrjsRfEOMuyZaQW4,part_312,2026-09-20 20:34:23
Varun Garg Architects,Architects,Architect,"Architect, Architectural designer, Architecture firm, Building designer, Custom home builder, Interior architect office, Interior designer, Landscape architect, Landscape designer, Vastu consultant",700003,West Bengal Circle,Kolkata Region,Kolkata North Division,"Baghbazar SO, Amrita Bazar Patrika SO, Girish Avenue SO",+91 76578 03557,https://www.varungarg.in/,4.8,,"SCO 355, adj. Domino's, Sector 9, Panchkula, Haryana 134113",Sector 9,30.697573799999997,76.84935449999999,ChIJc0adO0aTDzkRdZ0d58pnQkY,https://www.google.com/maps/place/?q=place_id:ChIJc0adO0aTDzkRdZ0d58pnQkY,part_312,2026-09-20 20:34:23
