business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sreyas Pets Farm,Pet Food and Pet Supplies,Pet store,"Pet store, Farm",695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 75105 57793,N/A,5.0,18.0,"Sreyas Pets Farm, Keralam 695601",695601,8.790686599999999,76.8508274,ChIJn43_lRTdBTsRhZ_Vct9jCSI,https://www.google.com/maps/place/?q=place_id:ChIJn43_lRTdBTsRhZ_Vct9jCSI,part_312,2026-09-20 20:20:35
Daksha's Pets Zone,Pet Food and Pet Supplies,Pet supply store,Pet supply store,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 97464 33031,N/A,4.4,7.0,"SH 46, Vanchiyoor, Alamcode, Keralam 695102",Vanchiyoor,8.7205265,76.8328696,ChIJZVo_eQDDBTsRNXxVdxiK9eM,https://www.google.com/maps/place/?q=place_id:ChIJZVo_eQDDBTsRNXxVdxiK9eM,part_312,2026-09-20 20:20:35
Kerala GOC Aqua & Pets,Pet Food and Pet Supplies,Aquarium shop,Aquarium shop,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",N/A,N/A,4.9,22.0,"Changayilkonam, Moothala, Changayilkonam, Keralam 695604",695601,8.8177523,76.8450931,ChIJzckT6yndBTsRxci-CnBW_qc,https://www.google.com/maps/place/?q=place_id:ChIJzckT6yndBTsRxci-CnBW_qc,part_312,2026-09-20 20:20:35
Aqua Care Aquarium pet shop,Pet Food and Pet Supplies,Pet store,"Pet store, Aquarium, Aquarium shop",695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",N/A,N/A,4.6,41.0,"Ponganadu - Puthusserymukku Rd, Thalavilamukku, Kallambalam, Madandapacha, Keralam 695605",Thalavilamukku,8.7790609,76.820106,ChIJlYw7O5_pBTsRKh0SPWJRm0M,https://www.google.com/maps/place/?q=place_id:ChIJlYw7O5_pBTsRKh0SPWJRm0M,part_312,2026-09-20 20:20:35
OCEAN AQUA PETS HOME,Pet Food and Pet Supplies,Pet supply store,Pet supply store,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",N/A,N/A,3.8,16.0,"QV8F+7JC, Kilimanoor Madavoor Rd, Kilimanoor, Pazhayakunnummel, Keralam 695601",695601,8.7656966,76.8740084,ChIJmy5sOifDBTsR-_KN7LnYSo4,https://www.google.com/maps/place/?q=place_id:ChIJmy5sOifDBTsR-_KN7LnYSo4,part_312,2026-09-20 20:20:35
Aquaspot Feeds,Pet Food and Pet Supplies,Pet store,"Pet store, Animal feed store",695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 81293 79854,N/A,4.6,12.0,"Vaidyashala Mukku, Kilimanoor - Alamcode Rd, Vanchiyoor, Alamcode, Thiruvananthapuram, Keralam 695102",Vanchiyoor,8.7206045,76.8306927,ChIJa4mB8Y_pBTsRrgh_0KqQEZI,https://www.google.com/maps/place/?q=place_id:ChIJa4mB8Y_pBTsRrgh_0KqQEZI,part_312,2026-09-20 20:20:35
JOBY S R,Pet Food and Pet Supplies,Pet store,Pet store,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 70124 13015,N/A,5.0,1.0,"J J Aquarium, Vellalloor, Keralam 695601",695601,8.760836,76.84177729999999,ChIJTx6v-8_DBTsReijXpyAY7ac,https://www.google.com/maps/place/?q=place_id:ChIJTx6v-8_DBTsReijXpyAY7ac,part_312,2026-09-20 20:20:35
Bellys Persian's,Pet Food and Pet Supplies,Pet supply store,Pet supply store,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",N/A,N/A,4.5,2.0,"Belly's Persians Thalavila ,kallambalam, Kallambalam, Keralam 695605",695601,8.7772972,76.8198243,ChIJpwkWXgfpBTsRAAUOOgDw8sw,https://www.google.com/maps/place/?q=place_id:ChIJpwkWXgfpBTsRAAUOOgDw8sw,part_312,2026-09-20 20:20:35
Petoogle India,Pet Food and Pet Supplies,Pet store,Pet store,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 82815 52868,N/A,4.7,43.0,"Thoyithala puthen veedu, Pallickal, Keralam 695604",695601,8.8241256,76.8110428,ChIJBcOMSvfnBTsRDad87Lfu9Ss,https://www.google.com/maps/place/?q=place_id:ChIJBcOMSvfnBTsRDad87Lfu9Ss,part_312,2026-09-20 20:20:36
Thrilok Pet House,Pet Food and Pet Supplies,Aquarium shop,"Aquarium shop, Aquatic center",695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 98959 84113,N/A,4.8,144.0,"Mudumbil Veedu TC-31/1460, AMRA -20 Chackai, Karali road, PO, Pettah, Thiruvananthapuram, Keralam 695024",Pettah,8.4895025,76.9228814,ChIJHzHyR--7BTsRkWuWsW9iSXs,https://www.google.com/maps/place/?q=place_id:ChIJHzHyR--7BTsRkWuWsW9iSXs,part_312,2026-09-20 20:20:36
Happy Tails,Pet Food and Pet Supplies,Pet store,Pet store,695601,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kilmanur SO, Charupara BO, Nagaroor BO",+91 80862 30036,N/A,5.0,7.0,"Erattachira, Kilimanoor, Pazhayakunnummel, Keralam 695601",Erattachira,8.7648453,76.8871834,ChIJUYJ4GpXDBTsRD_phV7giSTY,https://www.google.com/maps/place/?q=place_id:ChIJUYJ4GpXDBTsRD_phV7giSTY,part_312,2026-09-20 20:20:37
