business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paul Store,Kirana Store,Grocery store,Grocery store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",+91 85138 05371,N/A,4.0,,"PXCQ+8W5, Udaynarayanpur, Tokapur, West Bengal 711226",711226,22.720770599999998,87.9898671,ChIJtQSl1cBw-DkRTCaIor4re6Y,https://www.google.com/maps/place/?q=place_id:ChIJtQSl1cBw-DkRTCaIor4re6Y,part_316,2026-09-20 20:24:42
Mahaprabhu Super Market,Kirana Store,Grocery store,Grocery store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",N/A,N/A,5.0,,"MXRG+6J8, Udaynarayanpur, West Bengal 711226",711226,22.690517,87.976584,ChIJtbhIUAB3-DkR_6jeQSKMyYQ,https://www.google.com/maps/place/?q=place_id:ChIJtbhIUAB3-DkR_6jeQSKMyYQ,part_316,2026-09-20 20:24:42
KOLEY GROCERY,Kirana Store,Indian grocery store,Indian grocery store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",N/A,N/A,4.0,,"Pratap Chak, West Bengal 711226",711226,22.733826699999998,87.974215,ChIJlxtqLgBx-DkRvBpMHV6rGH8,https://www.google.com/maps/place/?q=place_id:ChIJlxtqLgBx-DkRvBpMHV6rGH8,part_316,2026-09-20 20:24:42
श्री गणेश भांडेर শ্রী গণেশ ভান্ডার,Kirana Store,Indian grocery store,"Indian grocery store, Grocery delivery service, Wedding store",711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",+91 97352 11928,N/A,4.4,,"Harali - Udaynarayanpur Rd, Udaynarayanpur, West Bengal 711226",711226,22.720777299999998,87.98203409999999,ChIJ4cI2qdxw-DkRSsXTdPSHcbA,https://www.google.com/maps/place/?q=place_id:ChIJ4cI2qdxw-DkRSsXTdPSHcbA,part_316,2026-09-20 20:24:42
ARCHANA STORE,Kirana Store,General store,General store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",+91 89187 46138,N/A,5.0,,"UDAYNARAYANPURAMTA ROAD,NEAR B D O,ULUBRIA,HOWRAH,711226 UDAYNARAYANPURAMTA ROAD, 711226, near B D O, ULUBRIA, HOWRAH, West Bengal 711226",ULUBRIA,22.7207564,87.981983,ChIJ4ZFcXIBx-DkRsbMrYTE_-lQ,https://www.google.com/maps/place/?q=place_id:ChIJ4ZFcXIBx-DkRsbMrYTE_-lQ,part_316,2026-09-20 20:24:42
Lakhsmi Narayan Anushthanik Stores,Kirana Store,General store,General store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",+91 97328 10398,N/A,4.6,,"Market place, Udaynarayanpur, West Bengal 711226",711226,22.7212262,87.98137229999999,ChIJJ4e4Ywxx-DkREHDzZGeX7xs,https://www.google.com/maps/place/?q=place_id:ChIJJ4e4Ywxx-DkREHDzZGeX7xs,part_316,2026-09-20 20:24:42
ADHIKARY SHOP,Kirana Store,General store,General store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",+91 83890 23457,N/A,,,"Bus Stand, Udaynarayanpur, Howrah, West Bengal 711226",711226,22.7203061,87.9826975,ChIJM27pKTNx-DkRfNO4Jw6VLtY,https://www.google.com/maps/place/?q=place_id:ChIJM27pKTNx-DkRfNO4Jw6VLtY,part_316,2026-09-20 20:24:42
Maa Tara Bhander(Rice & Grocery),Kirana Store,General store,General store,711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",N/A,N/A,,,"PASHPUR,JANGIPARA, Pashpur, West Bengal 712408",711226,22.706275299999998,88.0022944,ChIJTUmQxcdx-DkRTfkjEMvJnAo,https://www.google.com/maps/place/?q=place_id:ChIJTUmQxcdx-DkRTfkjEMvJnAo,part_316,2026-09-20 20:24:42
মান্না মুদিখানা & মা অন্নপূর্ণা কার সার্ভিস,Kirana Store,Indian grocery store,"Indian grocery store, Car leasing service",711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",N/A,N/A,5.0,,"Bus Stand, Rampur, Ashanda, Howrah, West Bengal 711226",711226,22.7622587,87.9667898,ChIJl6w3fpRx-DkRt_g3Ebyrtko,https://www.google.com/maps/place/?q=place_id:ChIJl6w3fpRx-DkRt_g3Ebyrtko,part_316,2026-09-20 20:24:42
Arpan Vr Stores,Kirana Store,Grocery store,"Grocery store, General store",711226,West Bengal Circle,South Bengal Region,Howrah Division,"Udaynarayanpur SO, Bairakurchi BO, Gaza BO",+91 86096 67528,N/A,,,"Charabottala Kurchi Road, Howrah, Kurchi Binodbati, West Bengal 711226",711226,22.7454753,87.9815804,ChIJIwJm6flw-DkRyq659nZ3YGA,https://www.google.com/maps/place/?q=place_id:ChIJIwJm6flw-DkRyq659nZ3YGA,part_316,2026-09-20 20:24:42
