business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GORAI WASHING CENTER,Building Material Supplier,Hardware store,Hardware store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 93391 15851,N/A,,,"IISCO, By Pass, Borodighari More, West Bengal 713326",Borodighari More,23.683624,86.9150841,ChIJO-Fei3Mf9zkRVtFMe7rSENA,https://www.google.com/maps/place/?q=place_id:ChIJO-Fei3Mf9zkRVtFMe7rSENA,part_320,2026-09-20 20:29:14
N.G.HARDWARE,Building Material Supplier,Hardware store,Hardware store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,N/A,N/A,,,West Bengal 713371,713361,23.6960971,86.88363249999999,ChIJIWUMizfg9jkR6g2AhdJ6J4k,https://www.google.com/maps/place/?q=place_id:ChIJIWUMizfg9jkR6g2AhdJ6J4k,part_320,2026-09-20 20:29:14
Uttam Shop,Building Material Supplier,Hardware store,Hardware store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 98320 84358,N/A,,,"Barachak, Asansol, West Bengal 713325","IISCO Steel Plant, Burnpur",23.6658066,86.9207362,ChIJ5X0Afhof9zkR75jATQbRoDU,https://www.google.com/maps/place/?q=place_id:ChIJ5X0Afhof9zkR75jATQbRoDU,part_320,2026-09-20 20:29:14
Building and Construction Materials Supplier - Infra Market,Building Material Supplier,Building materials store,Building materials store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 96063 50000,https://infra.market/?utm_source=Google_Local&utm_medium=organic_local_dealer,5.0,2.0,"Old Panvel, Panvel, Maharashtra 410206","Old Panvel, Panvel",18.987463299999998,73.1077323,ChIJwwP2ZxTo5zsRkWpyF8SCfzE,https://www.google.com/maps/place/?q=place_id:ChIJwwP2ZxTo5zsRkWpyF8SCfzE,part_320,2026-09-20 20:29:15
Construction and building material supplier,Building Material Supplier,Home builder,Home builder,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 73857 43360,N/A,5.0,,"2G89+9JJ, Jambrung, Maharashtra 410201",713361,19.015882899999998,73.5190159,ChIJS7oYe_ZZ3TsR0J5hImjkMAQ,https://www.google.com/maps/place/?q=place_id:ChIJS7oYe_ZZ3TsR0J5hImjkMAQ,part_320,2026-09-20 20:29:16
Santosh Building Material suppliers,Building Material Supplier,Hardware store,Hardware store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 92091 65893,N/A,4.6,,"X88H+4H6, Diksal, Maharashtra 410201",713361,18.9652813,73.32890069999999,ChIJTZ0qDl765zsRS5NxZASdquc,https://www.google.com/maps/place/?q=place_id:ChIJTZ0qDl765zsRS5NxZASdquc,part_320,2026-09-20 20:29:16
Sainath Building Material Supplier,Building Material Supplier,Building materials supplier,"Building materials supplier, Sand plant",713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 97670 14142,N/A,5.0,,"gat no, 161 Ghoti, At, post, At post, Waki, Khambale, Maharashtra 422402",At post,19.7502931,73.60578819999999,ChIJlRZuqj-F3TsRj0BiDkf_yyA,https://www.google.com/maps/place/?q=place_id:ChIJlRZuqj-F3TsRj0BiDkf_yyA,part_320,2026-09-20 20:29:16
SaiRaj Building Materials Supplies,Building Material Supplier,Construction Material Wholesaler,Construction Material Wholesaler,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 96192 63339,N/A,5.0,,"near swami samarth mandir, Khadakpada, Kalyan, Maharashtra 421301",Khadakpada,19.251630799999997,73.1350728,ChIJ04p_WJOX5zsR7sOSscBjp2c,https://www.google.com/maps/place/?q=place_id:ChIJ04p_WJOX5zsR7sOSscBjp2c,part_320,2026-09-20 20:29:16
Krishna building materials supplier,Building Material Supplier,Building materials store,Building materials store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 93245 25530,http://krishnabuildingmaterialsupplier.in/,5.0,,"Bhagwan palce, nr. sadhubella college, Mukund Nagar, Ulhasnagar, Maharashtra 421002",Mukund Nagar,19.239532699999998,73.1659621,ChIJJ8aQBtmV5zsR0xPt8stZoGs,https://www.google.com/maps/place/?q=place_id:ChIJJ8aQBtmV5zsR0xPt8stZoGs,part_320,2026-09-20 20:29:16
Bayan building material,Building Material Supplier,Building materials store,Building materials store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,N/A,N/A,5.0,,"HPWW+Q6M, Bhuwana Bypass Chauraha, Pratap Nagar, Udaipur, Suker, Rajasthan 313001",Pratap Nagar,24.5969576,73.7455348,ChIJtdEVWQDlZzkRB1tv0z2OnoI,https://www.google.com/maps/place/?q=place_id:ChIJtdEVWQDlZzkRB1tv0z2OnoI,part_320,2026-09-20 20:29:16
Divya Building Materials,Building Material Supplier,Building materials store,Building materials store,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,N/A,N/A,5.0,,"WCV6+36, Doogri, Rajasthan 343041",713361,24.94265,71.4105314,ChIJw41a1-rvRDkRBwsMaaj47Os,https://www.google.com/maps/place/?q=place_id:ChIJw41a1-rvRDkRBwsMaaj47Os,part_320,2026-09-20 20:29:16
"Vaibhav Traders, Hardware & Building Materials Suppile. वैभव ट्रेडर्स हार्डवेअर & बिल्डिंग मटेरियल सˈप्लायर",Building Material Supplier,Building materials supplier,Building materials supplier,713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman,+91 92737 57100,N/A,4.9,,"NH3, High way, Dumala Phata, Gondedumala, Igatpuri, Maharashtra 422010","High way, Dumala Phata",19.8296275,73.67487419999999,ChIJ4ftrHcmR3TsRNcj7_XNaKek,https://www.google.com/maps/place/?q=place_id:ChIJ4ftrHcmR3TsRNcj7_XNaKek,part_320,2026-09-20 20:29:16
