business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DressCode Solutions - ( School uniform manufacturer ),Uniform Manufacturer,Manufacturer,Manufacturer,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 90514 36487,N/A,,,"3F, ANITA PLAZA, 10, 24, Lenin Sarani, Mallicpara, Serampore, serampore, West Bengal 712203","Mallicpara, Serampore",22.753490499999998,88.33614159999999,ChIJI7qEdyeb-DkR25tqMeUHgok,https://www.google.com/maps/place/?q=place_id:ChIJI7qEdyeb-DkR25tqMeUHgok,part_316,2026-09-20 20:44:44
INKPRESSO,Uniform Manufacturer,Custom t-shirt store,"Custom t-shirt store, Clothes and fabric manufacturer, Clothes and fabric wholesaler, Clothing manufacturer, Clothing wholesaler, Screen printing shop, T-shirt store",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 70441 36620,N/A,4.8,,"Satyajit Roy C, O Tapan Hore, near Kalupukur Main Road, Chaudhuri Bagan, Last French Colony, Kolupukur Panchanantala, Chandannagar, West Bengal 712136","Chaudhuri Bagan, Last French Colony, Kolupukur Panchanantala",22.8681637,88.36325649999999,ChIJtcW-f8yR-DkR-MwOzbVAq6Q,https://www.google.com/maps/place/?q=place_id:ChIJtcW-f8yR-DkR-MwOzbVAq6Q,part_316,2026-09-20 20:44:44
3 Dots Enterprises,Uniform Manufacturer,Corporate office,Corporate office,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 80 4861 2843,http://3dotsuniform.com/,,,"R.B, Hooghly Bikasyan Mental School, Dunlop Gurudwara, 42/B/1, 712235, Government Colony, Bonhooghly, Konnagar, West Bengal 712233","Government Colony, Bonhooghly, Konnagar",22.6904291,88.3497312,ChIJc-dMa5Gc-DkRVXdlz-mKwzk,https://www.google.com/maps/place/?q=place_id:ChIJc-dMa5Gc-DkRVXdlz-mKwzk,part_316,2026-09-20 20:44:44
Papiya's Tailoring,Uniform Manufacturer,Tailor,Tailor,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",N/A,N/A,,,"W82X+65R, Jasasa, Amarpur, West Bengal 712102",Jasasa,22.9006068,88.34789839999999,ChIJ044UMACT-DkRGZsyBurqu-c,https://www.google.com/maps/place/?q=place_id:ChIJ044UMACT-DkRGZsyBurqu-c,part_316,2026-09-20 20:44:44
Sleekandpeek,Uniform Manufacturer,E-commerce service,"E-commerce service, Clothing manufacturer, Custom t-shirt store",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 62902 77784,http://sleekandpeek.com/,3.7,,"Jalsha Lodge near reliance trends, More Station Road, Bandel, West Bengal 712123",Old Kodalia,22.918614299999998,88.3841468,ChIJjxbQsWST-DkRmntN2IO0HuI,https://www.google.com/maps/place/?q=place_id:ChIJjxbQsWST-DkRmntN2IO0HuI,part_316,2026-09-20 20:44:44
NAVYA GARMENTS,Uniform Manufacturer,Clothing store,"Clothing store, Clothing supplier, Clothing wholesaler, Garment Exporter",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 89811 01078,N/A,5.0,,"Hooghly Sta Rd, Kanagar, Santipally, Bandel, West Bengal 712123","Kanagar, Santipally",22.9063052,88.3746285,ChIJ6_M1HkGT-DkR26esfxEtlpc,https://www.google.com/maps/place/?q=place_id:ChIJ6_M1HkGT-DkR26esfxEtlpc,part_316,2026-09-20 20:44:44
Nuzen Gifts ( Photo frame Sublimation Blanks),Uniform Manufacturer,Picture frame shop,"Picture frame shop, Custom t-shirt store, Print shop, Souvenir manufacturer",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 93306 74259,N/A,5.0,,"South Naldanga, Kodalia, West Bengal 712123",South Naldanga,22.9163011,88.3739222,ChIJUxVYfACT-DkRfiEboOGJF3c,https://www.google.com/maps/place/?q=place_id:ChIJUxVYfACT-DkRfiEboOGJF3c,part_316,2026-09-20 20:44:44
Nuzen Photo Frames(Photo Frame Manufacturer),Uniform Manufacturer,Picture frame shop,"Picture frame shop, Custom t-shirt store, Neon sign shop, Print shop, Rubber stamp store, Trophy shop",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 94335 12559,N/A,5.0,,"New Kazidanga, Bandel, Chinsurah, West Bengal 712123",712102,22.9231981,88.373119,ChIJMdNmVs-T-DkRJtPK4rT8648,https://www.google.com/maps/place/?q=place_id:ChIJMdNmVs-T-DkRJtPK4rT8648,part_316,2026-09-20 20:44:44
Ellora,Uniform Manufacturer,Clothing store,Clothing store,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 93396 22514,N/A,4.1,,"39, NK Banerjee St, Morepukur, Kali Tala, Bangur Park, Rishra, West Bengal 712248","Morepukur, Kali Tala, Bangur Park, Rishra",22.7232384,88.34551859999999,ChIJCUvrmGmb-DkR99dteDeow2Q,https://www.google.com/maps/place/?q=place_id:ChIJCUvrmGmb-DkR99dteDeow2Q,part_316,2026-09-20 20:44:44
Paul Trailer,Uniform Manufacturer,Tailor,Tailor,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 93301 13696,N/A,5.0,,"Hooghly Sta Rd, Santipally, Krishnapur, Chinsurah R S, Bandel, Chinsurah, West Bengal 712123","Santipally, Krishnapur, Chinsurah R S",22.9054511,88.37536519999999,ChIJv9D2S-qT-DkRq_WJnuVftbY,https://www.google.com/maps/place/?q=place_id:ChIJv9D2S-qT-DkRq_WJnuVftbY,part_316,2026-09-20 20:44:44
Moti Lal Om Prakash,Uniform Manufacturer,Uniform store,"Uniform store, Children's clothing store, Medical supply store, Men's clothing store, Sportswear store, Surgical supply store, Tuxedo shop, Clothing store, Women's clothing store, Work clothes store",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 91180 93336,http://www.mlopuniform.com/,4.1,,"Shop No. 111, 31(1)A, Garbarjhala, Mohan Market, Swadeshi Market, Aminabad, Lucknow, Uttar Pradesh 226018","Mohan Market, Swadeshi Market, Aminabad",26.8453435,80.927236,ChIJtY_l-bb9mzkRwA_IH-hPntQ,https://www.google.com/maps/place/?q=place_id:ChIJtY_l-bb9mzkRwA_IH-hPntQ,part_316,2026-09-20 20:44:45
Navy Cap Store,Uniform Manufacturer,Clothing store,Clothing store,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 87777 27414,N/A,3.8,,"167/7, Lenin Sarani, near Loreto Day School, Dharamtala, Chandni Chawk, Market, Kolkata, West Bengal 700072","Chandni Market, Esplanade, Chandni Chawk, Market",22.564553699999998,88.3542951,ChIJ7QOjlvB3AjoRAyXir80oGNc,https://www.google.com/maps/place/?q=place_id:ChIJ7QOjlvB3AjoRAyXir80oGNc,part_316,2026-09-20 20:44:45
