business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BHARATI PLASTIC,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",N/A,N/A,,,"J2W8+3HC, Damra, West Bengal 713339",713339,23.645191999999998,87.016391,ChIJf7yWV8QZ9zkRz8gPwat4iuo,https://www.google.com/maps/place/?q=place_id:ChIJf7yWV8QZ9zkRz8gPwat4iuo,part_320,2026-09-20 20:20:24
ASPA Plast Tech Pvt. Ltd.,Plastic Molding Manufacturer,Plastic Products Supplier,Plastic Products Supplier,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",+91 98830 35882,N/A,3.8,20.0,"A-2, ADDA Industrial Estate, Kanyapur, Asansol, West Bengal 713305","ADDA Industrial Estate, Kanyapur",23.708341299999997,86.9514615,ChIJw47fQw0f9zkRBmdi4Zybwco,https://www.google.com/maps/place/?q=place_id:ChIJw47fQw0f9zkRBmdi4Zybwco,part_320,2026-09-20 20:20:26
Renew Industries Private Limited,Plastic Molding Manufacturer,Manufacturer,"Manufacturer, Plastic Products Supplier",713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",+91 75859 36369,http://www.renewindustries.in/,4.0,1.0,"Plot No 436 - Palasdiha, Asansol, Monohar Bahal B, West Bengal 713341",713339,23.719853699999998,86.9620621,ChIJR9Kao4Uf9zkRoVPxcO1KMgI,https://www.google.com/maps/place/?q=place_id:ChIJR9Kao4Uf9zkRoVPxcO1KMgI,part_320,2026-09-20 20:20:26
New Plastic Centre,Plastic Molding Manufacturer,Plastic Products Supplier,Plastic Products Supplier,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",N/A,N/A,4.8,9.0,"Prem Gupta, New Plastic centre, Baker Ali Ln, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.684938,86.9726416,ChIJSw-ogSYf9zkRM19HrpJM9E8,https://www.google.com/maps/place/?q=place_id:ChIJSw-ogSYf9zkRM19HrpJM9E8,part_320,2026-09-20 20:20:26
ASANSOL BOTTLING & PACKAGING CO. PVT. LTD,Plastic Molding Manufacturer,Manufacturer,Manufacturer,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",N/A,N/A,5.0,3.0,"Road, Bara, Pukuria, Majiara, West Bengal 713340",Bara,23.724295599999998,86.9830278,ChIJtQ9o5goZ9zkRBbWm3WAJ-Y8,https://www.google.com/maps/place/?q=place_id:ChIJtQ9o5goZ9zkRBbWm3WAJ-Y8,part_320,2026-09-20 20:20:26
Shree Plastics,Plastic Molding Manufacturer,Household goods wholesaler,"Household goods wholesaler, Plastic Products Supplier, Toy store, Wholesaler household appliances",713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",+91 94340 29418,N/A,4.3,17.0,"Sirajul Haque, 2, Ganja Gali, near Muslim Musafir Khana, Joynager, Munshi Bazar, Asansol, West Bengal 713301","Joynager, Munshi Bazar",23.685727699999997,86.97336159999999,ChIJBwpf3dce9zkR0eoGhCj-cC8,https://www.google.com/maps/place/?q=place_id:ChIJBwpf3dce9zkR0eoGhCj-cC8,part_320,2026-09-20 20:20:26
Channel Plastics Pvt Ltd,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",+91 98742 45193,http://www.channelplastics.in/,4.0,1.0,"3P9V+W2W, National Highway 2B, Extension, Kharasinpur, West Bengal 731216",Extension,24.069854,87.7425885,ChIJoUg-b_v2-TkR7omSVyxA610,https://www.google.com/maps/place/?q=place_id:ChIJoUg-b_v2-TkR7omSVyxA610,part_320,2026-09-20 20:20:26
Royal plastic,Plastic Molding Manufacturer,Manufacturer,Manufacturer,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",N/A,N/A,5.0,2.0,"C2RH+RPM, Umarpur, Sadhua, West Bengal 742235",713339,24.4420924,88.02929759999999,ChIJCd351v43-jkRuem9q7DYrqI,https://www.google.com/maps/place/?q=place_id:ChIJCd351v43-jkRuem9q7DYrqI,part_320,2026-09-20 20:20:26
Plastosil Moulds,Plastic Molding Manufacturer,Mold maker,Mold maker,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",+91 95946 43410,http://plastosilmoulds.com/,5.0,20.0,"Gala No: 4, Gilbert Compound, Khairani Rd, opp. St. Anthony Church, Yadav Nagar, Chandivali, Saki Naka, Mumbai, Maharashtra 400072","Yadav Nagar, Chandivali, Saki Naka",19.1072597,72.8942579,ChIJg43_7nfI5zsRMQ5vslOpnOs,https://www.google.com/maps/place/?q=place_id:ChIJg43_7nfI5zsRMQ5vslOpnOs,part_320,2026-09-20 20:20:26
Green Plasts Enterprise,Plastic Molding Manufacturer,Manufacturer,Manufacturer,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",+91 90192 52053,N/A,,,"C 36, Industrial estate, Kanyapur, Asansol, West Bengal 713305","Industrial estate, Kanyapur",23.709083099999997,86.9486146,ChIJ17lY5-Af9zkRMjr7SpLh5MA,https://www.google.com/maps/place/?q=place_id:ChIJ17lY5-Af9zkRMjr7SpLh5MA,part_320,2026-09-20 20:20:26
SR plastic gamla,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO",N/A,N/A,,,"MWQW+XRF, Court Rd, Court More, Asansol, West Bengal 713304",Court More,23.6899256,86.9470618,ChIJSwHuZAAf9zkRzyVM39_aoHw,https://www.google.com/maps/place/?q=place_id:ChIJSwHuZAAf9zkRzyVM39_aoHw,part_320,2026-09-20 20:20:26
