business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Premier Honda Khanakul,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 98301 17069,N/A,4.4,437,"MRFR+35W, Rajhati Bhimtala Khanakul, near Electric Office, Khanakul Hooghly, West Bengal 712417",712406,22.6727366,87.8404412,ChIJjbhNOjkL-DkRSF-cHHOYsno,https://www.google.com/maps/place/?q=place_id:ChIJjbhNOjkL-DkRSF-cHHOYsno,part_317,2026-09-20 20:49:00
Rammohan motors,Two Wheeler Showroom and Dealer,Electric motor scooter dealer,Electric motor scooter dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 97328 87890,http://rammohanmotors.in/,5.0,27,"Nangulpara, Khanakul, West Bengal 712406",Nangulpara,22.7419139,87.8534746,ChIJqZgGkGgN-DkRY5Ouxvi9lKM,https://www.google.com/maps/place/?q=place_id:ChIJqZgGkGgN-DkRY5Ouxvi9lKM,part_317,2026-09-20 20:49:00
NEW INDIAN TVS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 80 6291 6006,https://showroom.tvsmotor.com/locator/hooghly/Khanakul-II/new-indian-bike-point-tvs-2-wheeler-ev-in-Khanakul-II-hooghly--1i5s92/home,4.0,48,"nearby Bus Stop, Bandar, Rajhati, Hooghly, West Bengal 712417",Bandar,22.672812099999998,87.8402867,ChIJDzhw4l8L-DkRTLFRYdy29O8,https://www.google.com/maps/place/?q=place_id:ChIJDzhw4l8L-DkRTLFRYdy29O8,part_317,2026-09-20 20:49:00
New Indian Bike Point,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 70474 17617,N/A,4.7,3,"PQ9Q+7RM Mohila Somiti, Khanakul, Hooghly, Kanchra, Bandar Road, Duadanda, West Bengal 712613",712406,22.7182157,87.78954689999999,ChIJgR4n0BAM-DkRA4pgXXyQY8g,https://www.google.com/maps/place/?q=place_id:ChIJgR4n0BAM-DkRA4pgXXyQY8g,part_317,2026-09-20 20:49:00
WELCOME AUTOMOBILE,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,5.0,8,"QRP2+89C, Dongolmore, Gourhati, West Bengal 712613",712406,22.785807,87.8009036,ChIJq_j7HwAN-DkRr4GeB-toSX4,https://www.google.com/maps/place/?q=place_id:ChIJq_j7HwAN-DkRr4GeB-toSX4,part_317,2026-09-20 20:49:00
khanakul Town J B Auto showroom,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,3.7,16,"PR7X+W62, Arambagh, Ramnagar, West Bengal 712406",712406,22.714772099999998,87.8480101,ChIJWxkKsbEM-DkR0vS0AVPuhng,https://www.google.com/maps/place/?q=place_id:ChIJWxkKsbEM-DkR0vS0AVPuhng,part_317,2026-09-20 20:49:00
DREAM ELECTRIC BIKE RAJHATI,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,4.8,5,"Madhyarang, West Bengal 712417",712406,22.6735625,87.83756249999999,ChIJj9Ewz6AL-DkR0mt24HTD7Wk,https://www.google.com/maps/place/?q=place_id:ChIJj9Ewz6AL-DkR0mt24HTD7Wk,part_317,2026-09-20 20:49:00
Bajaj Bike Showroom (Dankuni Bajaj),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 93300 70677,N/A,4.0,2,"MRFR+526, Rajhati - Bandar Rd, Rajhati, West Bengal 712417",712406,22.672937299999997,87.84008449999999,ChIJofn1OwAL-DkREOnwCNzWvLM,https://www.google.com/maps/place/?q=place_id:ChIJofn1OwAL-DkREOnwCNzWvLM,part_317,2026-09-20 20:49:00
Srhi Pali Auto Palace (Bike Showroom),Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 96476 48263,N/A,4.0,5,"PVH9+P2V, BT College Rd, Krishna Nagar, Khanakul, West Bengal 712406",Krishna Nagar,22.7293625,87.86754479999999,ChIJMbSzBC9z-DkRcs2ubhU2XSo,https://www.google.com/maps/place/?q=place_id:ChIJMbSzBC9z-DkRcs2ubhU2XSo,part_317,2026-09-20 20:49:00
Tilakchak Premier Honda Showroom,Two Wheeler Showroom and Dealer,Honda dealer,Honda dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 90733 35181,N/A,4.6,217,"Bharat Petroleum, Petrol Pump -M.M.Fuel Centre, TILAKCHAK. OPOZIT, Helan, West Bengal 712412",712406,22.7740877,87.90373699999999,ChIJ_bn4jFVz-DkRU9jJ-w7xpF8,https://www.google.com/maps/place/?q=place_id:ChIJ_bn4jFVz-DkRU9jJ-w7xpF8,part_317,2026-09-20 20:49:00
Toufik Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 89673 30445,https://www.facebook.com/profile.php?id=61566803553833&mibextid=JRoKGi,4.8,6,"A22, Rajhati, Khanakul, West Bengal 712417",712406,22.6729582,87.83994539999999,ChIJddCz6QAL-DkRzSiplqxLqHM,https://www.google.com/maps/place/?q=place_id:ChIJddCz6QAL-DkRzSiplqxLqHM,part_317,2026-09-20 20:49:00
Raj Automobiles (Tvs),Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 77186 41058,https://showroom.tvsmotor.com/locator/hooghly/Sekendarpur/raj-auto-mobiles-tvs-in-Sekendarpur-hooghly--6nZwUq/home,4.3,18,"QV5W+7HW, Digrui Ghat - Khanakul Rd, Sekendarpur, West Bengal 712412",712406,22.7582485,87.8964544,ChIJSfqo9Epz-DkRnEPQz_nwRE4,https://www.google.com/maps/place/?q=place_id:ChIJSfqo9Epz-DkRnEPQz_nwRE4,part_317,2026-09-20 20:49:00
