business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mondal Hardware,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 90024 98607,N/A,3.9,,"3FW7+V5M, Jirat Station Rd, Ghosh Para, Jirat, Kaliagarh, West Bengal 712501",Ghosh Para,23.0972039,88.4629083,ChIJLSTkuvPp-DkRpZOxjpzjLc8,https://www.google.com/maps/place/?q=place_id:ChIJLSTkuvPp-DkRpZOxjpzjLc8,part_318,2026-09-20 20:24:57
Raja das shop,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",N/A,N/A,3.0,,"4F82+FCV, Sripur, West Bengal 712501",712501,23.116248,88.4510411,ChIJxwiIAwDp-DkRs0yb1rgMpmg,https://www.google.com/maps/place/?q=place_id:ChIJxwiIAwDp-DkRs0yb1rgMpmg,part_318,2026-09-20 20:24:57
Sneha infotech and hardware,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 96794 94037,N/A,4.0,,"Jirat Hospital Rd, Ahmadpur, West Bengal 712501",712501,23.098485,88.4491999,ChIJ1QB0uEfp-DkROOIl_RKGUFU,https://www.google.com/maps/place/?q=place_id:ChIJ1QB0uEfp-DkROOIl_RKGUFU,part_318,2026-09-20 20:24:57
Kalimata Hardware Store,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",N/A,N/A,,,"Jirat Hospital Rd, Asanpur, Jirat, West Bengal 712501",712501,23.1000028,88.4451727,ChIJf2InmrPp-DkRtZTDHoMYRUg,https://www.google.com/maps/place/?q=place_id:ChIJf2InmrPp-DkRtZTDHoMYRUg,part_318,2026-09-20 20:24:57
Roy Hardware,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",N/A,N/A,,,"4F24+3X5, Patuligram, Jirat, Kaliagarh, West Bengal 712501",Patuligram,23.1001262,88.4574817,ChIJfSsACwDp-DkR3dul5nx3vok,https://www.google.com/maps/place/?q=place_id:ChIJfSsACwDp-DkR3dul5nx3vok,part_318,2026-09-20 20:24:57
Chittaranjan Hardware,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 96799 08456,N/A,,,"Netajinagar Block Colony, Ghosh Para, Jirat, Baruipara, West Bengal 712501","Netajinagar Block Colony, Ghosh Para",23.103643299999998,88.459132,ChIJZ8ptA43p-DkRqtUAg1Xh5dg,https://www.google.com/maps/place/?q=place_id:ChIJZ8ptA43p-DkRqtUAg1Xh5dg,part_318,2026-09-20 20:24:57
TAJ HARDWARE,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 96352 20666,N/A,,,"Jirat College Rd, Jirat, West Bengal 712501",712501,23.094203,88.4561238,ChIJ_ZV-Tqnp-DkRLOqfQ3OluXQ,https://www.google.com/maps/place/?q=place_id:ChIJ_ZV-Tqnp-DkRLOqfQ3OluXQ,part_318,2026-09-20 20:24:57
Das Plumbing Center,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 98836 20454,N/A,,,"Ghosh Para, Jirat, Kaliagarh, West Bengal 712501",Ghosh Para,23.0972264,88.46054389999999,ChIJtb-wtmfp-DkR5iXY5cLtnW0,https://www.google.com/maps/place/?q=place_id:ChIJtb-wtmfp-DkR5iXY5cLtnW0,part_318,2026-09-20 20:24:57
Kartik steel BALAGARH,Hardware Store,Hardware store,"Hardware store, Building materials store",712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 72787 40842,https://www.karticksteel.com/,,,"Dakshin chandra, station road, Balagarh, Kolkata, West Bengal 712514",712501,23.1259931,88.4579243,ChIJAQAAAMTp-DkRU6qeYqJo03o,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAMTp-DkRU6qeYqJo03o,part_318,2026-09-20 20:24:57
TARA MAA BUILDERS,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 97344 09721,N/A,5.0,,"Assam road, beside mukterpur bus stand, Khamargachhi, West Bengal 712515",712501,23.0625358,88.4476047,ChIJvTKD19Tr-DkRPaKUhLXv0zM,https://www.google.com/maps/place/?q=place_id:ChIJvTKD19Tr-DkRPaKUhLXv0zM,part_318,2026-09-20 20:24:57
Mondal Hardware & Mesonari & PLY WOOD Store,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 82502 99653,N/A,3.0,,"4FXM+QG6, Balagarghat Road, Balagarghat, Habibpur, Bidyanandapur, West Bengal 741255",Balagarghat,23.149417099999997,88.4837546,ChIJD-eBNpvD-DkRl9BHbpNUJN8,https://www.google.com/maps/place/?q=place_id:ChIJD-eBNpvD-DkRl9BHbpNUJN8,part_318,2026-09-20 20:24:57
Bhai Bhai Hardware,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 89279 81016,N/A,5.0,,"Nil, Raninagar, Chakdaha, West Bengal 741222",712501,23.0743966,88.4997111,ChIJP2LbkDHB-DkR0BzHqhHVblY,https://www.google.com/maps/place/?q=place_id:ChIJP2LbkDHB-DkR0BzHqhHVblY,part_318,2026-09-20 20:24:57
Majumder Builders,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 91631 50461,N/A,,,"Rukespur Rd, Baneswarpur, West Bengal 712515",712501,23.0655952,88.4528768,ChIJf23ANPTr-DkRvyf2Vh2J1IM,https://www.google.com/maps/place/?q=place_id:ChIJf23ANPTr-DkRvyf2Vh2J1IM,part_318,2026-09-20 20:24:57
SHUVECHHA STEEL,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 99335 54433,N/A,4.0,,"Bus Stand, S T, K Rd, near by Honda Showroom, Jirat, Kaliagarh, West Bengal 712501",712501,23.099909399999998,88.45746059999999,ChIJYcJudo3p-DkR88AuZb_2lHI,https://www.google.com/maps/place/?q=place_id:ChIJYcJudo3p-DkR88AuZb_2lHI,part_318,2026-09-20 20:24:57
মণ্ডল টাইলস এঞ্জ হার্ডওয়ার,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",N/A,N/A,,,"3FX5+X4R, SH6, Ghosh Para, Jirat, Kaliagarh, West Bengal 712501",Ghosh Para,23.0999896,88.4577798,ChIJzQj-cI3p-DkRKiayMQ6q31E,https://www.google.com/maps/place/?q=place_id:ChIJzQj-cI3p-DkRKiayMQ6q31E,part_318,2026-09-20 20:24:57
Debasish Das,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",N/A,N/A,,,"4CJQ+234, BALIGORI, KOROLA, Somra, Kolara, West Bengal 712123",KOROLA,23.129141,88.437694,ChIJwS7NDwDp-DkRki4aKUUIFJk,https://www.google.com/maps/place/?q=place_id:ChIJwS7NDwDp-DkRki4aKUUIFJk,part_318,2026-09-20 20:24:57
Rangajoba Hardware Store,Hardware Store,Hardware store,"Hardware store, Laminating equipment supplier, Pipes Wholesaler, Plumber, Plywood supplier, Wholesaler household appliances",712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 92315 45191,N/A,4.9,,"Bongan, Road, Dhankal, Kanchrapara, West Bengal 743145",712501,22.929816499999998,88.4782649,ChIJhyS8bYmV-DkRBFPzILN5x7o,https://www.google.com/maps/place/?q=place_id:ChIJhyS8bYmV-DkRBFPzILN5x7o,part_318,2026-09-20 20:24:58
Sarkar Plumbing & Sanitary,Hardware Store,Hardware store,Hardware store,712501,West Bengal Circle,South Bengal Region,Hooghly North Division,"Balagarh SO, Basna BO, Jirat BO",+91 91263 71289,N/A,5.0,,"Netaji Nagar Road, West, Palpara, Chakdaha, West Bengal 741222","West, Palpara",23.058441,88.52000079999999,ChIJqZ0dJwDB-DkRIJm62BLgwIY,https://www.google.com/maps/place/?q=place_id:ChIJqZ0dJwDB-DkRIJm62BLgwIY,part_318,2026-09-20 20:24:58
