business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RV Fashions,Readymade Garments Shop,Clothing wholesaler,Clothing wholesaler,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",N/A,https://youtu.be/i0EBdhyZtY4,4.8,,"Shop No. 4, Lakshmi Apartment, 3, Vivekananda Nagar Rd, East Belgharia, Vivekanand Nagar, Belghoria, Kolkata, West Bengal 700056","East Belgharia, Vivekanand Nagar, Belghoria",22.6613768,88.39022539999999,ChIJE2SIL8md-DkRnKefRif1txY,https://www.google.com/maps/place/?q=place_id:ChIJE2SIL8md-DkRnKefRif1txY,part_314,2026-09-20 20:21:00
Discovery readymade garments retailer,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 97483 63990,N/A,5.0,,"48/a, Umesh Mukherjee Rd, Kamarhati, Belghoria, Kolkata, West Bengal 700056","Kamarhati, Belghoria",22.6662239,88.3861605,ChIJw6Z66Cmd-DkRb8CjHYgUd6s,https://www.google.com/maps/place/?q=place_id:ChIJw6Z66Cmd-DkRb8CjHYgUd6s,part_314,2026-09-20 20:21:00
EXCLUSIVE READYMADE BAZAR,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 98301 58570,N/A,3.9,,"1/7, Umesh Mukherjee Rd, Adarsha Pally, Belghoria, Kolkata, West Bengal 700056","Adarsha Pally, Belghoria",22.660915199999998,88.3852797,ChIJVVXF7TSc-DkR7WGGjZnMWc8,https://www.google.com/maps/place/?q=place_id:ChIJVVXF7TSc-DkR7WGGjZnMWc8,part_314,2026-09-20 20:21:00
Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",N/A,N/A,5.0,,"2/67, Nandan Nagar, Ramkrishna Pally, Madhyam Pally, Belghoria, Panihati, West Bengal 700083","Nandan Nagar, Ramkrishna Pally, Madhyam Pally, Belghoria",22.674808799999997,88.3929495,ChIJe2aCl8yd-DkRs07JpK124yg,https://www.google.com/maps/place/?q=place_id:ChIJe2aCl8yd-DkRs07JpK124yg,part_314,2026-09-20 20:21:00
Sitala Cloth Stores,Readymade Garments Shop,Clothing store,"Clothing store, Store",700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 79802 21505,N/A,3.7,,"Madhusudan Banerjee Rd, near Nimta Bazar, Lichubagan, Paik Para, Nimta, North Dumdum, West Bengal 700049","Lichubagan, Paik Para, Nimta",22.6648003,88.4011508,ChIJM8CkCCqc-DkRv4_G4O_60EU,https://www.google.com/maps/place/?q=place_id:ChIJM8CkCCqc-DkRv4_G4O_60EU,part_314,2026-09-20 20:21:00
NEW BHOLANATH BASTRALAY,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 91635 54617,N/A,4.0,,"Hawkers Market, 119, Feeder Rd, Belghoria, Kolkata, West Bengal 700056",Belghoria,22.660985099999998,88.3879867,ChIJR-3ZfCed-DkRp4Mp1SQvRsY,https://www.google.com/maps/place/?q=place_id:ChIJR-3ZfCed-DkRp4Mp1SQvRsY,part_314,2026-09-20 20:21:00
FAMANZO,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 98833 40705,https://famanzo.grexa.site/,5.0,,"H/2, 67B, Belgachia Rd, opposite State forensic laboratory, Belgachia, Kolkata, West Bengal 700037",Belgachia,22.6063755,88.38822809999999,ChIJ4Y8sfAB3AjoRqnlIq7rpWhU,https://www.google.com/maps/place/?q=place_id:ChIJ4Y8sfAB3AjoRqnlIq7rpWhU,part_314,2026-09-20 20:21:00
Manjushree Emporium,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 80176 40577,N/A,4.0,,"Auto Stand, 20, E Station Rd, near Post, Kamarhati, Agarpara, Kolkata, Panihati, West Bengal 700109","Kamarhati, Agarpara",22.681705299999997,88.38651709999999,ChIJpYm6dD6c-DkREWNIbtnCfSg,https://www.google.com/maps/place/?q=place_id:ChIJpYm6dD6c-DkREWNIbtnCfSg,part_314,2026-09-20 20:21:00
Bhai Bhai Nighty Centre,Readymade Garments Shop,Clothing store,Clothing store,700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 98756 40140,N/A,3.8,,"1/73, Block 1, Jatindas Nagar, Belghoria, Kolkata, West Bengal 700056","Block 1, Jatindas Nagar, Belghoria",22.6592077,88.3931628,ChIJORgZDUyd-DkRi70VrvLGaNg,https://www.google.com/maps/place/?q=place_id:ChIJORgZDUyd-DkRi70VrvLGaNg,part_314,2026-09-20 20:21:00
Baazar Kolkata - B M Banerjee Road,Readymade Garments Shop,Shopping mall,"Shopping mall, Children's clothing store, Clothing store, Clothing Accessories Store, Men's clothing store, Outlet mall, Women's clothing store",700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO",+91 90739 74074,http://www.baazarkolkata.com/,3.9,,"Railway Station, 4, BM Banerjee Rd, near Belghari, Ward No. 20, Kolkata, West Bengal 700056","Indrapuri, Beehive Garden, Ward No. 20",22.6601268,88.3871619,ChIJAaR8VzOc-DkR-EKvvzGrM1M,https://www.google.com/maps/place/?q=place_id:ChIJAaR8VzOc-DkR-EKvvzGrM1M,part_314,2026-09-20 20:21:00
