business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Architects Planners and Designers Lab,Architects,Architecture firm,Architecture firm,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 81094 65203,N/A,,,"South Naldanga, Bandel, Kodalia, West Bengal 712123",South Naldanga,22.9195317,88.3739228,ChIJf_DTli6T-DkR_rhToJ6a450,https://www.google.com/maps/place/?q=place_id:ChIJf_DTli6T-DkR_rhToJ6a450,part_317,2026-09-20 20:17:16,3256
3D Home & Construction,Architects,Architecture firm,Architecture firm,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 90625 31592,N/A,5.0,5.0,"Naldanga more Bandel, Chinsurah, West Bengal 712123",Old Kodalia,22.9135068,88.3839314,ChIJTXliOt6T-DkRKq3qNOVLtis,https://www.google.com/maps/place/?q=place_id:ChIJTXliOt6T-DkRKq3qNOVLtis,part_317,2026-09-20 20:17:16,3257
KUNDU HOUSE PLANNING & DESIGN,Architects,Architecture firm,"Architecture firm, Building consultant",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 86418 54031,http://www.kunduhousedesign.in/,4.5,8.0,"QWR6+4P4, Hiyatpur To Jashar Rd, Chandraban, West Bengal 712412",712121,22.790253999999997,87.91182719999999,ChIJW91I0DBz-DkR7kiQYxl6vIQ,https://www.google.com/maps/place/?q=place_id:ChIJW91I0DBz-DkR7kiQYxl6vIQ,part_317,2026-09-20 20:17:16,3258
ChickenShop,Architects,Architect,Architect,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62895 95729,N/A,5.0,2.0,"Krishnapur Bazar, Hooghly Sta Rd, Santipally, Krishnapur, Chinsurah R S, Chinsurah, Kodalia, West Bengal 712123","Santipally, Krishnapur, Chinsurah R S",22.907303799999998,88.37890569999999,ChIJ93ohZg-T-DkRoqg6FkDPUYg,https://www.google.com/maps/place/?q=place_id:ChIJ93ohZg-T-DkRoqg6FkDPUYg,part_317,2026-09-20 20:17:16,3259
SATYAM CONSTRUCTION PVT LTD,Architects,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 99030 42524,http://www.asthainfrarealty.com/,4.3,44.0,"Kailash Nagar, Chinsurah, West Bengal 712103",Kailash Nagar,22.9125394,88.3875407,ChIJrdUUKO-T-DkRyV5XGnsReRo,https://www.google.com/maps/place/?q=place_id:ChIJrdUUKO-T-DkRyV5XGnsReRo,part_317,2026-09-20 20:17:16,3260
gallery house(terracotta community centre),Architects,Tourist attraction,Tourist attraction,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.5,17.0,"XC62+772, Bansberia, Mithapukur More, West Bengal 712502",Bansberia,22.960643599999997,88.4006378,ChIJv5fyKzOT-DkRoBCIah5JuNs,https://www.google.com/maps/place/?q=place_id:ChIJv5fyKzOT-DkRoBCIah5JuNs,part_317,2026-09-20 20:17:16,3261
M/S Dream Arch,Architects,Engineering consultant,Engineering consultant,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 70595 83264,https://ms-dream-arch.grexa.site/,5.0,1.0,"W98Q+6QP, Bikramnagar, Olaichanditala, Chinsurah, West Bengal 712103","Bikramnagar, Olaichanditala",22.9153751,88.3895071,ChIJxV7oBwCT-DkRPf-WNwUaxig,https://www.google.com/maps/place/?q=place_id:ChIJxV7oBwCT-DkRPf-WNwUaxig,part_317,2026-09-20 20:17:16,3262
Re-Creation,Architects,Interior Decorator,"Interior Decorator, Service establishment",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,http://www.facebook.com/recreation.id,5.0,1.0,"Re-Creation, 712121, India",712121,22.5567995,88.2243242,ChIJIWKOIX-T-DkRRzivHriqyEA,https://www.google.com/maps/place/?q=place_id:ChIJIWKOIX-T-DkRRzivHriqyEA,part_317,2026-09-20 20:17:16,3263
Abin Design Studio,Architects,Architect,"Architect, Landscape architect",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 2466 6191,http://www.abindesignstudio.com/,4.6,188.0,"62/2, Hindustan Park Rd, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029","Golpark, Hindustan Park, Gariahat",22.517839199999997,88.3641528,ChIJw85od9p2AjoRAxj573zCsUw,https://www.google.com/maps/place/?q=place_id:ChIJw85od9p2AjoRAxj573zCsUw,part_317,2026-09-20 20:17:16,3264
ARCWELL ARCHITECTURE,Architects,Architecture firm,Architecture firm,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 88025 44022,https://arcwell.in/,5.0,16.0,"1st Floor, Renu Bhaban, Gopalpur I, Bablatala, Newtown, Kolkata, West Bengal 700136","Gopalpur I, Bablatala, Newtown",22.6373593,88.46519529999999,ChIJ1diNVPmf-DkR9ZRwmAoapp4,https://www.google.com/maps/place/?q=place_id:ChIJ1diNVPmf-DkR9ZRwmAoapp4,part_317,2026-09-20 20:17:16,3265
PRAKALPA PLANNING SOLUTIONS PVT LTD,Architects,Architecture firm,"Architecture firm, Interior architect office",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 2227 5933,https://prakalpaarchitects.com/,4.4,96.0,"P31, Nani Gopal Roy Chowdhury Ave, Entally, Kolkata, West Bengal 700014",Entally,22.5583363,88.3728253,ChIJsfJ2Aep3AjoRRPvIod7F5RA,https://www.google.com/maps/place/?q=place_id:ChIJsfJ2Aep3AjoRRPvIod7F5RA,part_317,2026-09-20 20:17:16,3266
ArcOn Design,Architects,Architect,"Architect, Interior designer, Landscape designer",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98043 44424,http://www.arcon-design.com/,4.5,108.0,"EC-229 Salt Lake, Sector 1, Kolkata, West Bengal 700064","EC Block, Sector 1, Bidhannagar",22.5851294,88.410474,ChIJywgo9eid-DkRsKG4QX2V53g,https://www.google.com/maps/place/?q=place_id:ChIJywgo9eid-DkRsKG4QX2V53g,part_317,2026-09-20 20:17:16,3267
CHILEKOTHA DESIGN STUDIO,Architects,Interior designer,Interior designer,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 91233 09865,https://www.instagram.com/chilekothadesignstudio_?igsh=Yjhycno3endiem5l,5.0,1.0,"Singhpara Road, Singur, West Bengal 712409",712121,22.7997496,88.20944329999999,ChIJAygK__WH-DkRKCXY_zcTCQ4,https://www.google.com/maps/place/?q=place_id:ChIJAygK__WH-DkRKCXY_zcTCQ4,part_317,2026-09-20 20:17:16,3268
