business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shaon Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Physiotherapist",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98308 90571,N/A,4.7,,"44A, Jaigir Ghat Rd, Sen Mukherjee Bagan, Thakurpukur, Kolkata, West Bengal 700063","Sen Mukherjee Bagan, Thakurpukur",22.468436099999998,88.3059179,ChIJdYI5PgB7AjoR52n4EOflml8,https://www.google.com/maps/place/?q=place_id:ChIJdYI5PgB7AjoR52n4EOflml8,part_312,2026-09-20 20:38:41
Smile pain relief & yoga center,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 82401 99588,https://smile-pain-relief.grexa.site/,5.0,,"33/2 jagat roy chowdhury road, Paris Para Rd, Barisha, Kolkata, West Bengal 700008","Basudevpur Colony, Barisha",22.4832549,88.3082439,ChIJxyXnahZ7AjoRKXEnSp8UkUs,https://www.google.com/maps/place/?q=place_id:ChIJxyXnahZ7AjoRKXEnSp8UkUs,part_312,2026-09-20 20:38:41
Dr. Rupam Chowdhury | Best Orthopedic clinic Doctor Near Me | 10 Years Exp. | Kolkata,Orthopedic and Physiotherapy Clinic,Orthopedic clinic,"Orthopedic clinic, Doctor, Hospital, Pain control clinic, Pain management physician",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98305 25004,https://www.apollo247.com/doctors/dr-rupam-chowdhury-36fc31d4-689a-4182-85a1-ffc64970fd8e?utm_source=gmb_docverse&utm_medium=clinics&utm_campaign=doctors,5.0,,"tram depot, 11A, Sourin Roy Rd, beside Ellora Cinema Hall, Auddy Bagan Basti, Behala, Kolkata, West Bengal 700034","Auddy Bagan Basti, Behala",22.500006,88.318981,ChIJDaSP6hR7AjoRVO3SOa7ALq4,https://www.google.com/maps/place/?q=place_id:ChIJDaSP6hR7AjoRVO3SOa7ALq4,part_312,2026-09-20 20:38:41
Balaji Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 94337 04322,http://www.balajiphysicalrehab.blogspot.com/,4.9,,"112, 2, Netaji Subash Rd, Behala, Kolkata, West Bengal 700060",Behala,22.503611199999998,88.3110292,ChIJ--6y8uJ7AjoRow4eEZ5wJTk,https://www.google.com/maps/place/?q=place_id:ChIJ--6y8uJ7AjoRow4eEZ5wJTk,part_312,2026-09-20 20:38:41
AN HEALING TOUCH,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Alternative medicine practitioner, Medical clinic, Occupational therapist",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98744 52737,https://happyhealthphysiocare.in/book-appointment/,5.0,,"27, Abhoy Biday Lankar Road, Behala, Kolkata, West Bengal 700060","Naskarpur, Behala",22.505880899999998,88.3169765,ChIJV9rlelh7AjoRu2etrSHhRXo,https://www.google.com/maps/place/?q=place_id:ChIJV9rlelh7AjoRu2etrSHhRXo,part_312,2026-09-20 20:38:41
PT Soumyabrata Sengupta Physiotherapist,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 94330 75528,N/A,5.0,,"40/3, Becharam Chatterjee Rd, Vidyasagar Park, Behala, Kolkata, West Bengal 700034","Vidyasagar Park, Behala",22.4980536,88.3139367,ChIJ7-R3GZ57AjoRLgd9EQQby5w,https://www.google.com/maps/place/?q=place_id:ChIJ7-R3GZ57AjoRLgd9EQQby5w,part_312,2026-09-20 20:38:41
R.A. Physio Centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Massage therapist, Orthopedic clinic, Physiotherapist, Yoga studio",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 89615 95521,N/A,4.9,,"Sarada Ma Upanibesh, E/7, Joyrampur Jala Rd, Sreema Pally, Behala, Kolkata, West Bengal 700060","Sreema Pally, Behala",22.4974371,88.3009749,ChIJyTJ_z1J7AjoR7_BMT-AO-Oo,https://www.google.com/maps/place/?q=place_id:ChIJyTJ_z1J7AjoR7_BMT-AO-Oo,part_312,2026-09-20 20:38:41
Neuro Axis Physio clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Sports medicine clinic",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98309 91751,https://neuroaxis.odoo.com/,4.8,,"135/3, Panchanantala Rd, near 41 pally club, opposite Dr. Nani Gopal chakraborty house, Haridevpur, Paschim Putiary, Kolkata, West Bengal 700041","Haridevpur, Paschim Putiary",22.482237899999998,88.3397229,ChIJ56HhVbRxAjoRuK1bCanwwPE,https://www.google.com/maps/place/?q=place_id:ChIJ56HhVbRxAjoRuK1bCanwwPE,part_312,2026-09-20 20:38:41
Abhijit Adhikary (Physiotherapist),Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98305 68099,N/A,5.0,,"428, Diamond Harbour Rd, near Behala Tram Depot, Jele Para, Behala, Kolkata, West Bengal 700034","Jele Para, Behala",22.5007643,88.317343,ChIJiXqekJF7AjoR3ApLnn21xI4,https://www.google.com/maps/place/?q=place_id:ChIJiXqekJF7AjoR3ApLnn21xI4,part_312,2026-09-20 20:38:41
Dr. Sagar Mukhopadhyay,Orthopedic and Physiotherapy Clinic,Orthopedic surgeon,"Orthopedic surgeon, Orthopedic clinic",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98303 68889,N/A,4.7,,"Tram Depot, 2/C, Auddy Bagan Basti, Behala, Kolkata, West Bengal 700034","Auddy Bagan Basti, Behala",22.499140399999998,88.31940209999999,ChIJY8Dvw3FxAjoRovHqY-XlY54,https://www.google.com/maps/place/?q=place_id:ChIJY8Dvw3FxAjoRovHqY-XlY54,part_312,2026-09-20 20:38:42
Dr Sumit Kumar Mukherjee | Physiotherapist in Kolkata,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98310 76487,http://drsumitkumarmukherjee.in/,4.9,,"Pulse Diagnostics, 75, Sarat Bose Rd, Bakul Bagan, Bhowanipore, Kolkata, West Bengal 700026","Bakul Bagan, Bhowanipore",22.526049,88.3523872,ChIJs9hTGyZ3AjoRA2fZIoQptxE,https://www.google.com/maps/place/?q=place_id:ChIJs9hTGyZ3AjoRA2fZIoQptxE,part_312,2026-09-20 20:38:42
